"DMS ORIG","DMS DEST","DMS_MODE","Total KTons in 2002","Total Ton-Mile in 2002","Total M$ in 2002"
"Alabama","Alabama","Truck","158308.6566","15215.82257770","70685.6092"
"Alabama","Alaska","Truck","174.2865","741.17567827","24.6202"
"Alabama","Arizona","Truck","86.2595","144.94544327","302.8009"
"Alabama","Arkansas","Truck","841.8860","393.96667446","1297.1620"
"Alabama","California","Truck","1077.3825","2349.37031815","2606.7018"
"Alabama","Colorado","Truck","159.8500","218.09873274","1559.4732"
"Alabama","Connecticut","Truck","278.4565","311.01729024","266.3962"
"Alabama","Delaware","Truck","10.7108","9.54172028","30.2649"
"Alabama","Washington DC","Truck","3.1140","2.39542284","6.7941"
"Alabama","Florida","Truck","7626.2805","4090.26333807","8139.2990"
"Alabama","Georgia","Truck","14877.2697","3463.76877010","18181.7770"
"Alabama","Idaho","Truck","70.4236","151.06224360","221.3389"
"Alabama","Illinois","Truck","1128.1229","783.60848457","2073.2739"
"Alabama","Indiana","Truck","806.0040","482.43585338","2161.7362"
"Alabama","Iowa","Truck","249.5428","214.73374645","835.1411"
"Alabama","Kansas","Truck","397.2123","323.33596389","656.6966"
"Alabama","Kentucky","Truck","1519.5841","640.26873632","1717.3822"
"Alabama","Louisiana","Truck","2299.0738","852.86767316","2576.4641"
"Alabama","Maine","Truck","155.5621","222.00118375","35.2075"
"Alabama","Maryland","Truck","330.3903","270.99220487","754.9215"
"Alabama","Massachusetts","Truck","472.1134","571.69501073","732.6330"
"Alabama","Michigan","Truck","586.1071","475.92893202","1137.4275"
"Alabama","Minnesota","Truck","470.6235","501.45226072","847.7461"
"Alabama","Mississippi","Truck","11125.3600","2549.26104274","7117.1343"
"Alabama","Missouri","Truck","724.3157","432.16814693","1181.6372"
"Alabama","Montana","Truck","103.5917","209.07231105","418.7571"
"Alabama","Nebraska","Truck","221.8904","222.31555678","290.0565"
"Alabama","Nevada","Truck","21.6790","48.21715011","98.5495"
"Alabama","New Hampshire","Truck","43.2466","55.31618814","89.2129"
"Alabama","New Jersey","Truck","576.9421","567.40684089","957.0558"
"Alabama","New Mexico","Truck","29.3329","37.18696084","73.5171"
"Alabama","New York","Truck","447.7910","484.64231285","1613.1679"
"Alabama","North Carolina","Truck","1576.4667","802.11901773","3264.3226"
"Alabama","North Dakota","Truck","6.1167","8.76086718","12.2443"
"Alabama","Ohio","Truck","1517.2787","1009.52195391","2350.0878"
"Alabama","Oklahoma","Truck","158.9318","114.56946558","446.9151"
"Alabama","Oregon","Truck","368.8724","960.42675242","218.2197"
"Alabama","Pennsylvania","Truck","807.3793","716.54376489","1542.3761"
"Alabama","Rhode Island","Truck","156.1706","189.22312723","374.0051"
"Alabama","South Carolina","Truck","2271.1072","938.15408217","2988.0282"
"Alabama","South Dakota","Truck","17.9864","21.87987581","25.8222"
"Alabama","Tennessee","Truck","7724.3361","2127.47411764","8885.3648"
"Alabama","Texas","Truck","3059.2851","2200.92863359","4739.6564"
"Alabama","Utah","Truck","144.0052","261.40911607","137.1876"
"Alabama","Vermont","Truck","94.6897","122.08691796","209.6540"
"Alabama","Virginia","Truck","495.1882","314.44273223","1012.7733"
"Alabama","Washington","Truck","118.2656","299.75893217","322.0563"
"Alabama","West Virginia","Truck","94.8196","62.91882952","115.0466"
"Alabama","Wisconsin","Truck","1026.9389","913.82568891","945.2248"
"Alabama","Wyoming","Truck","51.3995","83.85150624","32.4884"
"Alaska","Alabama","Truck","1.0992","4.65256762","1.7497"
"Alaska","Alaska","Truck","21791.1169","4006.52020786","4694.7554"
"Alaska","Arizona","Truck","3.2731","11.91582263","3.6709"
"Alaska","Arkansas","Truck","0.8765","3.40177331","1.2564"
"Alaska","California","Truck","212.5378","713.54507544","62.1187"
"Alaska","Colorado","Truck","2.7892","8.95432559","3.2531"
"Alaska","Connecticut","Truck","0.4643","2.05855181","1.0485"
"Alaska","Delaware","Truck","0.2549","1.09960597","0.3506"
"Alaska","Washington DC","Truck","0.1531","0.65241950","0.2298"
"Alaska","Florida","Truck","3.0605","14.42383132","5.3979"
"Alaska","Georgia","Truck","2.2979","9.93267235","3.4261"
"Alaska","Idaho","Truck","1.8646","5.07959868","1.7838"
"Alaska","Illinois","Truck","2.0646","7.40295385","4.7448"
"Alaska","Indiana","Truck","1.1284","4.20076022","2.3355"
"Alaska","Iowa","Truck","0.6546","2.21359616","1.2740"
"Alaska","Kansas","Truck","0.9539","3.42308532","1.3962"
"Alaska","Kentucky","Truck","0.8365","3.27135640","1.6117"
"Alaska","Louisiana","Truck","0.9556","4.11884146","1.6383"
"Alaska","Maine","Truck","0.4005","1.87158698","0.5341"
"Alaska","Maryland","Truck","1.0634","4.53176177","1.9285"
"Alaska","Massachusetts","Truck","0.9276","4.20899823","1.9584"
"Alaska","Michigan","Truck","1.9941","7.50911330","3.9195"
"Alaska","Minnesota","Truck","1.5437","4.83772540","2.5904"
"Alaska","Mississippi","Truck","0.5530","2.30379842","1.0232"
"Alaska","Missouri","Truck","1.5657","5.76265599","2.5416"
"Alaska","Montana","Truck","1.1725","2.96155792","1.1702"
"Alaska","Nebraska","Truck","0.5434","1.81099713","0.8671"
"Alaska","Nevada","Truck","71.3007","227.35513071","14.5699"
"Alaska","New Hampshire","Truck","0.3436","1.55907462","0.5023"
"Alaska","New Jersey","Truck","1.0321","4.47605873","2.5580"
"Alaska","New Mexico","Truck","1.0102","3.62271950","1.1848"
"Alaska","New York","Truck","2.4886","10.70307030","6.7930"
"Alaska","North Carolina","Truck","2.2050","9.59119723","3.3112"
"Alaska","North Dakota","Truck","0.4197","1.18096007","0.5088"
"Alaska","Ohio","Truck","1.8017","6.99549918","4.0202"
"Alaska","Oklahoma","Truck","1.3521","5.17301597","1.7962"
"Alaska","Oregon","Truck","4.5979","12.13976001","5.0993"
"Alaska","Pennsylvania","Truck","1.7715","7.42787941","3.9761"
"Alaska","Rhode Island","Truck","0.1792","0.80650836","0.3442"
"Alaska","South Carolina","Truck","0.8479","3.71561252","1.4551"
"Alaska","South Dakota","Truck","0.4828","1.48633261","0.5711"
"Alaska","Tennessee","Truck","1.2412","5.03342888","2.1993"
"Alaska","Texas","Truck","5.5488","22.71332361","8.9728"
"Alaska","Utah","Truck","1.2366","3.70427238","1.6202"
"Alaska","Vermont","Truck","0.2278","1.01827457","0.3692"
"Alaska","Virginia","Truck","1.9831","8.62325314","3.1757"
"Alaska","Washington","Truck","260.1693","627.07231755","109.1267"
"Alaska","West Virginia","Truck","0.2999","1.22285384","0.6208"
"Alaska","Wisconsin","Truck","1.1590","3.94437252","2.3127"
"Alaska","Wyoming","Truck","0.5570","1.62425706","0.5492"
"Arizona","Alabama","Truck","170.2270","290.61019908","80.6851"
"Arizona","Alaska","Truck","6.2173","22.69133425","1.2649"
"Arizona","Arizona","Truck","102508.4788","7903.04616572","89643.6041"
"Arizona","Arkansas","Truck","376.1383","498.51421485","717.9749"
