"DMS ORIG","DMS DEST","SCTG2","DMS_MODE","Total KTons in 2002","Total Ton-Mile in 2002","Total M$ in 2002"
"Alabama","Alabama","Other ag prods.","Truck","6203.0096","548.77616754","2116.5044"
"Alabama","Arkansas","Other ag prods.","Truck","3.5060","1.61401959","1.5352"
"Alabama","Florida","Other ag prods.","Truck","61.7144","31.83090267","32.8994"
"Alabama","Georgia","Other ag prods.","Truck","286.2067","65.40729964","133.1771"
"Alabama","Illinois","Other ag prods.","Truck","0.1734","0.11402731","0.0856"
"Alabama","Indiana","Other ag prods.","Truck","0.5109","0.30102744","0.2846"
"Alabama","Kentucky","Other ag prods.","Truck","8.3970","3.51629655","3.9279"
"Alabama","Louisiana","Other ag prods.","Truck","20.1335","7.87536712","7.8018"
"Alabama","Mississippi","Other ag prods.","Truck","161.8642","37.32099065","90.3078"
"Alabama","Missouri","Other ag prods.","Truck","0.6975","0.41463109","0.3081"
"Alabama","North Carolina","Other ag prods.","Truck","0.8020","0.42320805","0.4448"
"Alabama","South Carolina","Other ag prods.","Truck","2.5243","0.90634236","1.3933"
"Alabama","Tennessee","Other ag prods.","Truck","116.4853","32.63709011","55.1214"
"Alabama","Virginia","Other ag prods.","Truck","0.0182","0.01107187","0.0104"
"Alaska","Alaska","Other ag prods.","Truck","169.1617","31.10211251","84.7262"
"Arizona","Arizona","Other ag prods.","Truck","2711.2235","221.83793506","1372.3369"
"Arizona","California","Other ag prods.","Truck","80.8434","43.42680865","94.3104"
"Arizona","Colorado","Other ag prods.","Truck","6.4244","5.36218725","19.5846"
"Arizona","Georgia","Other ag prods.","Truck","1.5840","2.91624495","10.3063"
"Arizona","Idaho","Other ag prods.","Truck","0.3520","0.34814830","1.0270"
"Arizona","Illinois","Other ag prods.","Truck","3.9880","7.12788276","22.1295"
"Arizona","Indiana","Other ag prods.","Truck","0.2060","0.36065891","2.4576"
"Arizona","Michigan","Other ag prods.","Truck","0.0000","0.00000000","16.2507"
"Arizona","Nevada","Other ag prods.","Truck","22.1405","6.68582858","13.7017"
"Arizona","New Jersey","Other ag prods.","Truck","0.0090","0.02170651","0.7901"
"Arizona","New Mexico","Other ag prods.","Truck","10.0511","4.77536619","5.0254"
"Arizona","New York","Other ag prods.","Truck","8.6380","21.20932905","3.3201"
"Arizona","Oklahoma","Other ag prods.","Truck","0.0950","0.10487548","1.1006"
"Arizona","Oregon","Other ag prods.","Truck","0.4570","0.59808834","1.6261"
"Arizona","Pennsylvania","Other ag prods.","Truck","1.3380","2.84227773","1.6135"
"Arizona","Texas","Other ag prods.","Truck","27.4701","28.69774975","57.4184"
"Arizona","Utah","Other ag prods.","Truck","10.9054","6.87487726","35.1179"
"Arizona","Washington","Other ag prods.","Truck","8.6580","12.31624477","21.3463"
"Arkansas","Alabama","Other ag prods.","Truck","1.7045","0.77705340","0.9462"
"Arkansas","Arkansas","Other ag prods.","Truck","3069.0741","278.45025377","1682.0341"
"Arkansas","Illinois","Other ag prods.","Truck","1.9155","0.90691650","1.0610"
"Arkansas","Indiana","Other ag prods.","Truck","0.1082","0.06823525","0.0647"
"Arkansas","Kansas","Other ag prods.","Truck","3.7461","1.56687379","2.1960"
"Arkansas","Kentucky","Other ag prods.","Truck","2.3325","1.29270644","1.1095"
"Arkansas","Louisiana","Other ag prods.","Truck","32.0789","11.28546586","15.5485"
"Arkansas","Mississippi","Other ag prods.","Truck","34.3026","11.43587169","83.7942"
"Arkansas","Missouri","Other ag prods.","Truck","68.4717","20.04766435","32.9874"
"Arkansas","Oklahoma","Other ag prods.","Truck","62.0358","19.17335965","29.6529"
"Arkansas","Tennessee","Other ag prods.","Truck","53.7278","14.06394714","62.3073"
"Arkansas","Texas","Other ag prods.","Truck","105.1834","54.90329912","59.0884"
"California","Alabama","Other ag prods.","Truck","57.6980","125.42908067","231.9193"
"California","Arizona","Other ag prods.","Truck","351.1884","186.77544629","447.7353"
"California","Arkansas","Other ag prods.","Truck","180.1030","318.53763027","257.8106"
"California","California","Other ag prods.","Truck","30373.7604","3091.74498204","26727.6133"
"California","Colorado","Other ag prods.","Truck","248.1861","283.32117068","337.9298"
"California","Connecticut","Other ag prods.","Truck","105.9130","313.31175320","131.2438"
"California","Washington DC","Other ag prods.","Truck","3.1880","8.85690949","0.2082"
"California","Florida","Other ag prods.","Truck","195.4320","531.96902148","394.5053"
"California","Georgia","Other ag prods.","Truck","41.4749","101.12155146","69.4198"
"California","Idaho","Other ag prods.","Truck","79.6980","61.60964106","26.9192"
"California","Illinois","Other ag prods.","Truck","241.9910","498.03932908","442.1970"
"California","Indiana","Other ag prods.","Truck","140.2620","310.96891315","137.8678"
"California","Iowa","Other ag prods.","Truck","38.6960","71.48517630","47.0212"
"California","Kansas","Other ag prods.","Truck","89.0690","152.51055185","39.7567"
"California","Kentucky","Other ag prods.","Truck","502.0410","1144.24148354","385.0245"
"California","Louisiana","Other ag prods.","Truck","63.0899","133.50164240","70.3800"
"California","Maine","Other ag prods.","Truck","48.8580","158.41285504","40.4961"
"California","Maryland","Other ag prods.","Truck","250.7370","683.46199438","524.8406"
"California","Massachusetts","Other ag prods.","Truck","248.4540","766.30046379","354.3863"
"California","Michigan","Other ag prods.","Truck","140.0960","325.57452152","565.4584"
"California","Minnesota","Other ag prods.","Truck","165.5820","329.50814500","162.2558"
"California","Mississippi","Other ag prods.","Truck","3.5140","7.19620920","11.9313"
"California","Missouri","Other ag prods.","Truck","155.6990","289.09710507","36.2378"
"California","Montana","Other ag prods.","Truck","121.6020","144.16643041","100.5113"
"California","Nebraska","Other ag prods.","Truck","38.0700","59.62071835","87.3150"
"California","Nevada","Other ag prods.","Truck","147.6627","48.71886272","65.5684"
"California","New Hampshire","Other ag prods.","Truck","34.1350","105.49081171","64.8715"
"California","New Jersey","Other ag prods.","Truck","143.3980","409.85305201","134.9848"
"California","New Mexico","Other ag prods.","Truck","23.9180","22.63917410","20.8507"
"California","New York","Other ag prods.","Truck","203.0959","579.91288913","114.2008"
"California","North Carolina","Other ag prods.","Truck","155.4440","411.47297503","307.3927"
"California","North Dakota","Other ag prods.","Truck","69.0920","120.35368461","26.9468"
"California","Ohio","Other ag prods.","Truck","86.5170","207.29454844","205.5211"
"California","Oklahoma","Other ag prods.","Truck","41.5700","64.68699900","29.8311"
"California","Oregon","Other ag prods.","Truck","192.1594","129.83201473","303.5345"
"California","Pennsylvania","Other ag prods.","Truck","175.0450","472.43150984","233.7744"
"California","Rhode Island","Other ag prods.","Truck","4.8370","14.86762303","11.8151"
"California","South Carolina","Other ag prods.","Truck","80.4060","207.98409948","129.5268"
"California","South Dakota","Other ag prods.","Truck","4.8450","8.08834512","5.3924"
"California","Tennessee","Other ag prods.","Truck","148.5060","328.41988788","80.6909"
"California","Texas","Other ag prods.","Truck","387.8753","629.47798933","3281.9702"
"California","Utah","Other ag prods.","Truck","306.9460","220.98137668","28.8477"
"California","Vermont","Other ag prods.","Truck","11.8360","35.74733541","15.1041"
"California","Virginia","Other ag prods.","Truck","31.6021","88.82569598","43.2345"
"California","Washington","Other ag prods.","Truck","136.0350","129.23271001","291.4514"
"California","Wisconsin","Other ag prods.","Truck","80.9720","173.14365718","207.6935"
"Colorado","Arizona","Other ag prods.","Truck","0.2199","0.16737162","0.1341"
"Colorado","Colorado","Other ag prods.","Truck","2209.3053","149.79485994","1083.8798"
"Colorado","Illinois","Other ag prods.","Truck","0.8800","0.92950188","0.3301"
"Colorado","Kansas","Other ag prods.","Truck","13.7688","7.48899810","5.4669"
"Colorado","Nebraska","Other ag prods.","Truck","13.4477","7.32095415","4.3544"
"Colorado","New Mexico","Other ag prods.","Truck","9.3653","4.17822493","5.0242"
