"DMS ORIG","DMS DEST","SCTG2","DMS_MODE","Total KTons in 2002","Total Ton-Mile in 2002","Total M$ in 2002"
"Alabama","Alabama","Logs","Truck","25472.0715","2677.71044529","613.5092"
"Alabama","Arkansas","Logs","Truck","8.5672","4.07649455","0.2525"
"Alabama","Florida","Logs","Truck","286.2641","145.64056034","8.3019"
"Alabama","Georgia","Logs","Truck","1743.2124","462.73437957","48.8935"
"Alabama","Illinois","Logs","Truck","0.0989","0.06755906","0.0069"
"Alabama","Indiana","Logs","Truck","0.8748","0.54274586","0.0455"
"Alabama","Kentucky","Logs","Truck","25.1369","11.25948500","0.7891"
"Alabama","Louisiana","Logs","Truck","42.6054","15.38661065","1.5884"
"Alabama","Mississippi","Logs","Truck","2173.3181","494.51491977","67.3907"
"Alabama","Missouri","Logs","Truck","0.8690","0.53330373","0.0295"
"Alabama","North Carolina","Logs","Truck","10.1686","5.61118773","0.2913"
"Alabama","South Carolina","Logs","Truck","16.7613","7.04945765","0.5420"
"Alabama","Tennessee","Logs","Truck","398.3300","121.40758991","11.9047"
"Alabama","Virginia","Logs","Truck","0.1169","0.07440301","0.0034"
"Alaska","Alaska","Logs","Truck","2478.8392","455.75999580","66.0315"
"Arizona","Arizona","Logs","Truck","300.6926","41.99866464","32.5560"
"Arizona","California","Logs","Truck","0.8554","0.36841513","0.5829"
"Arizona","Colorado","Logs","Truck","3.0558","2.33563502","0.0873"
"Arizona","Nevada","Logs","Truck","3.8477","1.15924551","1.2866"
"Arizona","New Mexico","Logs","Truck","12.6082","6.04545711","0.4481"
"Arizona","Texas","Logs","Truck","0.1982","0.20201030","0.0092"
"Arizona","Utah","Logs","Truck","3.1014","1.79461440","0.0943"
"Arkansas","Alabama","Logs","Truck","25.9520","12.02002989","0.7576"
"Arkansas","Arkansas","Logs","Truck","17055.7683","1547.43184971","808.1975"
"Arkansas","Illinois","Logs","Truck","2.1210","1.04642294","0.1370"
"Arkansas","Indiana","Logs","Truck","0.1155","0.07283892","0.0090"
"Arkansas","Kansas","Logs","Truck","4.3659","1.90108525","0.4108"
"Arkansas","Kentucky","Logs","Truck","3.5953","1.99256911","0.1399"
"Arkansas","Louisiana","Logs","Truck","613.8518","218.14223409","34.8132"
"Arkansas","Mississippi","Logs","Truck","187.5311","62.51950576","5.5121"
"Arkansas","Missouri","Logs","Truck","191.7897","55.08660979","6.5601"
"Arkansas","Oklahoma","Logs","Truck","289.1153","91.11615000","8.7964"
"Arkansas","Tennessee","Logs","Truck","156.9747","48.69097139","5.7859"
"Arkansas","Texas","Logs","Truck","776.6290","407.83599677","21.3224"
"California","Arizona","Logs","Truck","0.2061","0.10901185","0.1404"
"California","California","Logs","Truck","15187.4045","1559.24960597","577.4033"
"California","Nevada","Logs","Truck","100.3486","32.18026942","3.8630"
"California","Oregon","Logs","Truck","1277.6999","788.97025867","33.1452"
"Colorado","Arizona","Logs","Truck","1.5035","1.13416991","0.3244"
"Colorado","California","Logs","Truck","0.0970","0.10489396","3.4292"
"Colorado","Colorado","Logs","Truck","1177.4305","126.98867102","209.3488"
"Colorado","Illinois","Logs","Truck","0.0160","0.01701334","0.3162"
"Colorado","Kansas","Logs","Truck","0.0843","0.04425987","3.5396"
"Colorado","Kentucky","Logs","Truck","0.0020","0.00246477","0.1909"
"Colorado","Maryland","Logs","Truck","0.0100","0.01726683","0.1610"
"Colorado","Nebraska","Logs","Truck","1.0411","0.58876890","0.0590"
"Colorado","New Jersey","Logs","Truck","0.0130","0.02367214","0.0437"
"Colorado","New Mexico","Logs","Truck","35.1683","15.49892512","1.2360"
"Colorado","North Carolina","Logs","Truck","0.0010","0.00176422","0.2576"
"Colorado","Ohio","Logs","Truck","0.0030","0.00408707","0.2817"
"Colorado","Oklahoma","Logs","Truck","0.0016","0.00117091","0.0012"
"Colorado","South Dakota","Logs","Truck","0.0014","0.00093892","0.0009"
"Colorado","Texas","Logs","Truck","0.1569","0.13918805","0.8588"
"Colorado","Utah","Logs","Truck","32.1663","15.78101842","4.1238"
"Colorado","Virginia","Logs","Truck","0.0090","0.01556226","0.5232"
"Colorado","Washington","Logs","Truck","0.1091","0.13970681","3.7213"
"Colorado","Wyoming","Logs","Truck","46.2300","16.77504100","350.0111"
"Connecticut","Connecticut","Logs","Truck","439.1096","13.23707989","30.2995"
"Connecticut","Delaware","Logs","Truck","0.3466","0.08121068","0.0686"
"Connecticut","Washington DC","Logs","Truck","0.0126","0.00378874","0.0086"
"Connecticut","Maine","Logs","Truck","5.0684","1.40435333","0.2689"
"Connecticut","Maryland","Logs","Truck","0.6178","0.18319294","0.1197"
"Connecticut","Massachusetts","Logs","Truck","76.8198","7.49396447","5.9742"
"Connecticut","New Hampshire","Logs","Truck","13.7635","2.03519821","3.0716"
"Connecticut","New Jersey","Logs","Truck","13.1449","1.88292629","2.1035"
"Connecticut","New York","Logs","Truck","46.6465","5.94675376","10.9613"
"Connecticut","Pennsylvania","Logs","Truck","13.2363","3.53853767","0.8766"
"Connecticut","Rhode Island","Logs","Truck","30.1687","2.26904611","1.8592"
"Connecticut","Vermont","Logs","Truck","8.2488","1.80442145","0.2591"
"Connecticut","Virginia","Logs","Truck","0.0057","0.00188440","0.0039"
"Delaware","Connecticut","Logs","Truck","0.4266","0.09688107","0.0625"
"Delaware","Delaware","Logs","Truck","104.1748","3.59023718","3.2167"
"Delaware","Washington DC","Logs","Truck","0.1430","0.01483735","0.0622"
"Delaware","Maryland","Logs","Truck","95.0083","10.26282255","2.2892"
"Delaware","Massachusetts","Logs","Truck","0.0121","0.00412559","0.0039"
"Delaware","New Jersey","Logs","Truck","11.6078","0.94500625","0.8053"
"Delaware","New York","Logs","Truck","2.9948","0.53946028","0.4592"
"Delaware","North Carolina","Logs","Truck","1.2838","0.57524276","0.0368"
"Delaware","Pennsylvania","Logs","Truck","31.6905","4.45677215","1.6717"
"Delaware","Rhode Island","Logs","Truck","0.0033","0.00111725","0.0015"
"Delaware","Virginia","Logs","Truck","12.1813","2.81282908","0.5385"
"Delaware","West Virginia","Logs","Truck","1.3058","0.49555783","0.0377"
"Washington DC","Connecticut","Logs","Truck","0.0009","0.00026771","0.0006"
"Washington DC","Delaware","Logs","Truck","0.0039","0.00040359","0.0026"
"Washington DC","Washington DC","Logs","Truck","0.5389","0.00231727","0.3673"
"Washington DC","Maryland","Logs","Truck","0.3284","0.00837309","0.2237"
"Washington DC","New Jersey","Logs","Truck","0.0131","0.00258414","0.0089"
"Washington DC","New York","Logs","Truck","0.0143","0.00352947","0.0098"
"Washington DC","North Carolina","Logs","Truck","0.0030","0.00089529","0.0020"
"Washington DC","Ohio","Logs","Truck","0.0001","0.00004102","0.0001"
"Washington DC","Pennsylvania","Logs","Truck","0.0236","0.00411115","0.0161"
"Washington DC","Virginia","Logs","Truck","0.1795","0.00776007","0.1222"
"Washington DC","West Virginia","Logs","Truck","0.0010","0.00029449","0.0007"
"Florida","Alabama","Logs","Truck","792.9853","399.28923873","21.5680"
"Florida","Florida","Logs","Truck","27379.2965","3029.67535037","874.3090"
"Florida","Georgia","Logs","Truck","2037.8778","735.98574785","89.1127"
"Florida","Illinois","Logs","Truck","16.6040","17.75103082","1.1270"
"Florida","Kentucky","Logs","Truck","0.4500","0.36431380","0.1748"
"Florida","Louisiana","Logs","Truck","5.4554","3.63668376","0.3883"
"Florida","Mississippi","Logs","Truck","60.8952","38.33356115","1.7765"
"Florida","South Carolina","Logs","Truck","57.7260","24.41632957","17.8728"
"Georgia","Alabama","Logs","Truck","1160.5308","308.06509410","31.4405"
"Georgia","Florida","Logs","Truck","1010.7918","359.23955186","38.5030"
"Georgia","Georgia","Logs","Truck","25926.3834","2562.81857040","720.6284"
"Georgia","Illinois","Logs","Truck","0.0000","0.00000000","0.0000"
"Georgia","Indiana","Logs","Truck","0.0227","0.01573484","0.0011"
"Georgia","Kentucky","Logs","Truck","17.2740","7.94841490","0.4847"
"Georgia","Mississippi","Logs","Truck","20.4501","8.63966729","0.5592"
"Georgia","North Carolina","Logs","Truck","252.1783","86.27845575","7.5087"
"Georgia","South Carolina","Logs","Truck","991.8801","240.43526087","33.1334"
"Georgia","Tennessee","Logs","Truck","232.6765","70.44993079","7.0329"
"Georgia","Virginia","Logs","Truck","6.9707","3.31829619","0.1920"
"Georgia","West Virginia","Logs","Truck","0.0086","0.00503856","0.0003"
"Hawaii","Hawaii","Logs","Truck","6.5157","0.16245385","4.3989"
"Idaho","California","Logs","Truck","16.7790","13.28037738","1.1684"
"Idaho","Colorado","Logs","Truck","38.6070","32.67706764","11.3827"
"Idaho","Idaho","Logs","Truck","8289.4808","883.84612280","508.6313"
"Idaho","Michigan","Logs","Truck","3.8030","7.23298054","3.2534"
"Idaho","Montana","Logs","Truck","292.6517","129.74507338","12.7817"
"Idaho","Nevada","Logs","Truck","2.5314","1.40009245","0.3401"
"Idaho","New Hampshire","Logs","Truck","0.0009","0.00237834","0.0006"
"Idaho","Oregon","Logs","Truck","202.2737","107.43270492","9.1654"
"Idaho","Utah","Logs","Truck","102.9056","38.54224477","14.2478"
"Idaho","Virginia","Logs","Truck","7.1210","17.18979963","9.0436"
"Idaho","Washington","Logs","Truck","812.2894","392.63994879","114.6219"
"Idaho","Wyoming","Logs","Truck","1.3996","0.81000453","0.1590"
"Illinois","Alabama","Logs","Truck","2.6264","1.68208997","0.0932"
"Illinois","Arkansas","Logs","Truck","3.6832","1.79568232","0.1780"
"Illinois","Georgia","Logs","Truck","0.0002","0.00014881","0.0001"
"Illinois","Illinois","Logs","Truck","1359.9670","109.44053088","259.6895"
"Illinois","Indiana","Logs","Truck","178.7084","38.02847740","25.5276"
"Illinois","Iowa","Logs","Truck","83.0720","27.74124292","7.6763"
"Illinois","Kansas","Logs","Truck","0.6723","0.25139517","0.2080"
"Illinois","Kentucky","Logs","Truck","73.9012","26.07620611","3.8004"
"Illinois","Michigan","Logs","Truck","11.2444","3.10431607","5.2828"
"Illinois","Minnesota","Logs","Truck","0.7822","0.45117554","0.1194"
"Illinois","Mississippi","Logs","Truck","3.6639","2.34283963","0.1418"
"Illinois","Missouri","Logs","Truck","185.4994","46.27040984","22.6561"
"Illinois","Nebraska","Logs","Truck","0.0006","0.00030847","0.0004"
"Illinois","New Mexico","Logs","Truck","0.0060","0.00656496","0.0000"
"Illinois","Ohio","Logs","Truck","6.5764","2.27954564","2.2864"
"Illinois","Tennessee","Logs","Truck","47.2150","22.47034516","2.2024"
"Illinois","Wisconsin","Logs","Truck","60.8587","13.85816189","17.4320"
"Indiana","Alabama","Logs","Truck","0.2614","0.15346957","0.0184"
"Indiana","Arkansas","Logs","Truck","0.0154","0.00964833","0.0011"
"Indiana","California","Logs","Truck","9.5750","19.93708495","0.7797"
"Indiana","Georgia","Logs","Truck","0.0003","0.00019931","0.0002"
"Indiana","Illinois","Logs","Truck","94.2425","18.46243670","8.2601"
"Indiana","Indiana","Logs","Truck","1869.6987","175.05270197","69.4242"
"Indiana","Iowa","Logs","Truck","0.5764","0.22486916","0.0417"
"Indiana","Kentucky","Logs","Truck","115.6498","24.91101026","4.3730"
"Indiana","Michigan","Logs","Truck","22.2734","6.05131632","1.7992"
"Indiana","Mississippi","Logs","Truck","0.0159","0.01026683","0.0011"
"Indiana","Missouri","Logs","Truck","4.0649","1.65103122","0.4383"
"Indiana","Ohio","Logs","Truck","106.7433","22.45623161","5.6000"
"Indiana","Pennsylvania","Logs","Truck","0.1145","0.05560781","0.0123"
"Indiana","Tennessee","Logs","Truck","15.7362","6.04905234","0.6270"
"Indiana","Virginia","Logs","Truck","0.1084","0.05861535","0.0036"
"Indiana","Washington","Logs","Truck","9.8810","22.09428401","0.5071"
"Indiana","West Virginia","Logs","Truck","0.8294","0.30743278","0.0531"
"Indiana","Wisconsin","Logs","Truck","16.3408","6.13435737","1.6684"
"Iowa","Illinois","Logs","Truck","51.0072","16.05257900","3.4638"
"Iowa","Indiana","Logs","Truck","1.2470","0.54072261","0.1103"
"Iowa","Iowa","Logs","Truck","3773.9661","344.18697162","354.3240"
"Iowa","Kansas","Logs","Truck","1.4163","0.52590837","0.2918"
"Iowa","Michigan","Logs","Truck","0.8058","0.47432764","0.0499"
"Iowa","Minnesota","Logs","Truck","53.1869","15.79717854","4.7117"
"Iowa","Missouri","Logs","Truck","13.0490","4.56397345","1.5248"
"Iowa","Nebraska","Logs","Truck","27.9125","7.47590458","1.7722"
"Iowa","North Dakota","Logs","Truck","0.0674","0.03964433","0.0025"
"Iowa","Oklahoma","Logs","Truck","0.0000","0.00000000","0.0000"
"Iowa","South Dakota","Logs","Truck","1.6302","0.69944509","0.2090"
"Iowa","Wisconsin","Logs","Truck","140.4920","44.68658236","9.0523"
"Kansas","Arkansas","Logs","Truck","5.7532","2.60152408","0.2248"
"Kansas","Colorado","Logs","Truck","5.5300","2.84788868","0.2929"
"Kansas","Illinois","Logs","Truck","0.0314","0.01015945","0.0164"
"Kansas","Iowa","Logs","Truck","15.2318","6.85636313","0.5094"
"Kansas","Kansas","Logs","Truck","345.9013","32.45766337","16.2548"
"Kansas","Minnesota","Logs","Truck","0.0000","0.00000000","0.0000"
"Kansas","Missouri","Logs","Truck","62.4604","14.56114962","4.3010"
"Kansas","Nebraska","Logs","Truck","24.4084","6.70680338","1.1074"
"Kansas","New Mexico","Logs","Truck","0.0323","0.02112958","0.0035"
"Kansas","Oklahoma","Logs","Truck","10.6038","2.65311650","1.1634"
"Kansas","South Dakota","Logs","Truck","0.0018","0.00093315","0.0013"
"Kansas","Texas","Logs","Truck","0.3772","0.22971027","0.0687"
"Kansas","Wyoming","Logs","Truck","0.0005","0.00038375","0.0003"
"Kentucky","Alabama","Logs","Truck","27.1968","12.43021191","2.1152"
"Kentucky","Arkansas","Logs","Truck","29.8839","17.39104902","1.7862"
"Kentucky","Georgia","Logs","Truck","9.0397","3.87661558","0.3807"
"Kentucky","Illinois","Logs","Truck","25.8869","9.85156681","0.9734"
"Kentucky","Indiana","Logs","Truck","282.3068","67.83271141","9.3589"
"Kentucky","Kentucky","Logs","Truck","3864.9517","365.61829161","106.9778"
"Kentucky","Maryland","Logs","Truck","0.1222","0.07341862","0.0037"
"Kentucky","Michigan","Logs","Truck","0.2732","0.11804381","0.0525"
"Kentucky","Mississippi","Logs","Truck","8.6542","5.04107467","0.2727"
"Kentucky","Missouri","Logs","Truck","31.5290","15.06520144","1.2009"
"Kentucky","North Carolina","Logs","Truck","48.2624","21.91245264","1.4218"
"Kentucky","Ohio","Logs","Truck","207.1984","58.10675547","10.2774"
"Kentucky","Pennsylvania","Logs","Truck","0.6120","0.26037396","0.0325"
"Kentucky","South Carolina","Logs","Truck","4.1294","1.63700787","0.1694"
"Kentucky","Tennessee","Logs","Truck","536.0768","120.41568463","15.5537"
"Kentucky","Virginia","Logs","Truck","83.3556","31.29948463","2.2508"
"Kentucky","West Virginia","Logs","Truck","55.4211","15.93446769","1.6909"
"Louisiana","Alabama","Logs","Truck","81.7577","31.29318014","2.3019"
"Louisiana","Arkansas","Logs","Truck","1559.2440","589.00305723","54.0792"
"Louisiana","Florida","Logs","Truck","2.5430","1.73268692","0.1452"
"Louisiana","Kentucky","Logs","Truck","0.9670","0.71619168","0.1679"
"Louisiana","Louisiana","Logs","Truck","16300.5479","1585.99313407","412.4421"
"Louisiana","Mississippi","Logs","Truck","1398.3085","358.02567976","39.3280"
"Louisiana","Missouri","Logs","Truck","0.1531","0.09107720","0.1219"
"Louisiana","Oklahoma","Logs","Truck","31.5241","17.05367103","0.8216"
"Louisiana","Tennessee","Logs","Truck","11.3267","5.32895630","0.5357"
"Louisiana","Texas","Logs","Truck","1451.7534","664.51471804","68.3258"
"Maine","Connecticut","Logs","Truck","10.4140","2.91666446","0.5608"
"Maine","Maine","Logs","Truck","11876.4234","834.60304461","310.1516"
"Maine","Massachusetts","Logs","Truck","119.6614","22.87588478","5.1779"
"Maine","New Hampshire","Logs","Truck","304.9138","45.72436331","8.4606"
"Maine","New York","Logs","Truck","5.3757","2.06309869","0.2637"
"Maine","Rhode Island","Logs","Truck","10.8118","2.51361886","0.4311"
"Maine","Vermont","Logs","Truck","89.1831","20.67005828","2.4073"
"Maryland","Connecticut","Logs","Truck","0.9775","0.29026019","0.1004"
"Maryland","Delaware","Logs","Truck","63.1765","8.88102510","2.0057"
"Maryland","Washington DC","Logs","Truck","13.5970","0.41897135","2.4449"
"Maryland","Kentucky","Logs","Truck","0.0370","0.02223517","0.0013"
"Maryland","Maryland","Logs","Truck","1461.8570","93.84378154","50.1852"
"Maryland","Massachusetts","Logs","Truck","0.0021","0.00087645","0.0003"
"Maryland","New Jersey","Logs","Truck","34.1499","6.11618093","1.9221"
"Maryland","New York","Logs","Truck","12.5037","3.15604607","1.3199"
"Maryland","North Carolina","Logs","Truck","20.2158","7.39807395","0.6179"
"Maryland","Ohio","Logs","Truck","11.2395","4.62102524","0.3473"
"Maryland","Pennsylvania","Logs","Truck","249.1345","42.06480434","8.8470"
"Maryland","Virginia","Logs","Truck","263.6645","42.89762053","10.1092"
"Maryland","West Virginia","Logs","Truck","171.7329","45.44640294","4.5364"
"Massachusetts","Connecticut","Logs","Truck","137.5185","14.10287734","5.6549"
"Massachusetts","Delaware","Logs","Truck","0.2309","0.07641439","0.0196"
"Massachusetts","Maine","Logs","Truck","38.1691","7.73086441","1.3046"
"Massachusetts","Maryland","Logs","Truck","0.0243","0.01029329","0.0010"
"Massachusetts","Massachusetts","Logs","Truck","1755.5433","87.47461123","68.0996"
"Massachusetts","New Hampshire","Logs","Truck","179.2803","16.44604178","5.7974"
"Massachusetts","New Jersey","Logs","Truck","20.1980","4.85869670","1.7225"
"Massachusetts","New York","Logs","Truck","161.5568","31.53962314","7.2145"
"Massachusetts","Pennsylvania","Logs","Truck","19.7603","7.01999287","0.7935"
"Massachusetts","Rhode Island","Logs","Truck","74.2171","4.56957710","3.4639"
"Massachusetts","Vermont","Logs","Truck","128.5086","24.09686429","3.4878"
"Michigan","Illinois","Logs","Truck","42.5617","11.90756777","11.1239"
"Michigan","Indiana","Logs","Truck","312.3226","86.59879146","13.6158"
"Michigan","Iowa","Logs","Truck","0.9102","0.52527497","0.0556"
"Michigan","Kentucky","Logs","Truck","8.6129","3.51277751","5.9575"
"Michigan","Michigan","Logs","Truck","7906.8971","916.10441975","418.4605"
"Michigan","Minnesota","Logs","Truck","37.1461","23.07256271","1.2365"
"Michigan","Missouri","Logs","Truck","0.0001","0.00007191","0.0001"
"Michigan","Nebraska","Logs","Truck","0.0029","0.00232305","0.0003"
"Michigan","New York","Logs","Truck","0.0036","0.00190956","0.0004"
"Michigan","North Carolina","Logs","Truck","8.2270","6.59418983","2.5887"
"Michigan","North Dakota","Logs","Truck","0.0132","0.01383488","0.0004"
"Michigan","Ohio","Logs","Truck","61.4868","15.64899623","6.2868"
"Michigan","Pennsylvania","Logs","Truck","9.9774","5.31117493","3.2385"
"Michigan","South Dakota","Logs","Truck","0.0255","0.02460705","0.0038"
"Michigan","Virginia","Logs","Truck","5.3450","3.95115048","1.8550"
"Michigan","Washington","Logs","Truck","25.9910","56.56016895","1.7917"
"Michigan","West Virginia","Logs","Truck","0.0492","0.01979299","0.0165"
"Michigan","Wisconsin","Logs","Truck","1316.8573","471.67047640","35.3952"
"Minnesota","Illinois","Logs","Truck","1.5191","0.74748864","1.1667"
"Minnesota","Indiana","Logs","Truck","0.0240","0.01104828","0.0242"
"Minnesota","Iowa","Logs","Truck","27.3421","8.51291618","1.3555"
"Minnesota","Kansas","Logs","Truck","0.0000","0.00000000","0.0000"
"Minnesota","Michigan","Logs","Truck","43.6571","29.63090801","1.7055"
"Minnesota","Minnesota","Logs","Truck","6158.6175","693.11397926","202.5347"
"Minnesota","Missouri","Logs","Truck","0.0010","0.00060932","0.0007"
"Minnesota","Nebraska","Logs","Truck","0.5156","0.21731368","0.7235"
"Minnesota","North Dakota","Logs","Truck","187.0312","68.46001675","5.6711"
"Minnesota","Ohio","Logs","Truck","0.1310","0.09850868","0.1829"
"Minnesota","South Dakota","Logs","Truck","7.2258","2.77866786","0.5348"
"Minnesota","Washington","Logs","Truck","0.1160","0.18555152","0.0540"
"Minnesota","Wisconsin","Logs","Truck","776.3640","259.47331412","25.5914"
"Minnesota","Wyoming","Logs","Truck","1.2310","1.11845694","6.1778"
