"DMS ORIG","DMS DEST","SCTG2","DMS_MODE","Total KTons in 2007","Total Ton-Mile in 2007","Total M$ in 2007"
"Alabama","Alabama","Cereal grains","Truck","2846.7741","265.23413038","531.3435"
"Alabama","Arkansas","Cereal grains","Truck","0","0","0"
"Alabama","Florida","Cereal grains","Truck","118.3848","56.44860075","68.4204"
"Alabama","Georgia","Cereal grains","Truck","21.0024","4.92576548","2.996"
"Alabama","Illinois","Cereal grains","Truck","0","0","0"
"Alabama","Indiana","Cereal grains","Truck","0","0","0"
"Alabama","Kentucky","Cereal grains","Truck","0","0","0"
"Alabama","Louisiana","Cereal grains","Truck","24.9244","3.82642743","15.416"
"Alabama","Michigan","Cereal grains","Truck","0","0","0"
"Alabama","Mississippi","Cereal grains","Truck","37.1112","7.72646728","20.6435"
"Alabama","Missouri","Cereal grains","Truck","0","0","0"
"Alabama","New York","Cereal grains","Truck","0","0","0"
"Alabama","North Carolina","Cereal grains","Truck","0","0","0"
"Alabama","Ohio","Cereal grains","Truck","0","0","0"
"Alabama","Pennsylvania","Cereal grains","Truck","0","0","0"
"Alabama","South Carolina","Cereal grains","Truck","0","0","0"
"Alabama","Tennessee","Cereal grains","Truck","21.8619","5.35002659","3.7082"
"Alabama","Texas","Cereal grains","Truck","0","0","0"
"Alabama","Virginia","Cereal grains","Truck","0","0","0"
"Alabama","West Virginia","Cereal grains","Truck","0","0","0"
"Alaska","Alaska","Cereal grains","Truck","52.5227","10.96974696","24.9368"
"Alaska","California","Cereal grains","Truck","0","0","0"
"Alaska","Colorado","Cereal grains","Truck","0","0","0"
"Alaska","Idaho","Cereal grains","Truck","0","0","0"
"Alaska","Illinois","Cereal grains","Truck","0","0","0"
"Alaska","Iowa","Cereal grains","Truck","0","0","0"
"Alaska","Michigan","Cereal grains","Truck","0","0","0"
"Alaska","Minnesota","Cereal grains","Truck","0","0","0"
"Alaska","New York","Cereal grains","Truck","0","0","0"
"Alaska","Oregon","Cereal grains","Truck","0","0","0"
"Alaska","Texas","Cereal grains","Truck","0","0","0"
"Alaska","Washington","Cereal grains","Truck","0","0","0"
"Alaska","Wisconsin","Cereal grains","Truck","0","0","0"
"Arizona","Alabama","Cereal grains","Truck","0","0","0"
"Arizona","Arizona","Cereal grains","Truck","4228.4027","407.850414","745.9113"
"Arizona","Arizona","Cereal grains","Other and unknown","15.776","0.80250994","8.2649"
"Arizona","Arkansas","Cereal grains","Truck","0","0","0"
"Arizona","California","Cereal grains","Truck","19.9957","12.74726041","3.0035"
"Arizona","Colorado","Cereal grains","Truck","0.0001","7.158E-05","0"
"Arizona","Florida","Cereal grains","Truck","0","0","0"
"Arizona","Georgia","Cereal grains","Truck","0","0","0"
"Arizona","Idaho","Cereal grains","Truck","0","0","0"
"Arizona","Illinois","Cereal grains","Truck","0","0","0"
"Arizona","Indiana","Cereal grains","Truck","0","0","0"
"Arizona","Iowa","Cereal grains","Truck","0","0","0"
"Arizona","Kansas","Cereal grains","Truck","0","0","0"
"Arizona","Kentucky","Cereal grains","Truck","0","0","0"
"Arizona","Louisiana","Cereal grains","Truck","0","0","0"
"Arizona","Michigan","Cereal grains","Truck","0","0","0"
"Arizona","Minnesota","Cereal grains","Truck","0","0","0"
"Arizona","Mississippi","Cereal grains","Truck","0","0","0"
"Arizona","Missouri","Cereal grains","Truck","0","0","0"
"Arizona","Missouri","Cereal grains","Rail","13.018","18.94486746","2.0002"
"Arizona","Montana","Cereal grains","Truck","0","0","0"
"Arizona","Nebraska","Cereal grains","Truck","0","0","0"
"Arizona","Nevada","Cereal grains","Truck","0.0064","0.00195825","0.001"
"Arizona","New Mexico","Cereal grains","Truck","4.9811","2.13105532","0.9825"
"Arizona","New York","Cereal grains","Truck","0","0","0"
"Arizona","Ohio","Cereal grains","Truck","0","0","0"
"Arizona","Oklahoma","Cereal grains","Truck","0","0","0"
"Arizona","Oregon","Cereal grains","Truck","0","0","0"
"Arizona","South Dakota","Cereal grains","Truck","0","0","0"
"Arizona","Tennessee","Cereal grains","Truck","0","0","0"
"Arizona","Texas","Cereal grains","Truck","0.0001","5.005E-05","0"
"Arizona","Utah","Cereal grains","Truck","0.0002","0.00012145","0"
"Arizona","Washington","Cereal grains","Truck","0","0","0"
"Arizona","Wisconsin","Cereal grains","Truck","0","0","0"
"Arizona","Wyoming","Cereal grains","Truck","0","0","0"
"Arkansas","Alabama","Cereal grains","Truck","4.9987","2.23565512","0.9978"
"Arkansas","Arkansas","Cereal grains","Truck","18543.0266","1755.91306496","3368.4354"
"Arkansas","Arkansas","Cereal grains","Rail","2.4677","0.26630421","1.5396"
"Arkansas","Arkansas","Cereal grains","Water","44.001","4.79710296","7.9995"
"Arkansas","Arkansas","Cereal grains","Multiple modes & mail","1.6097","0.20703285","0.5515"
"Arkansas","Arkansas","Cereal grains","Other and unknown","10.858","1.13813974","23.945"
"Arkansas","California","Cereal grains","Truck","3.0952","5.43516117","9.4534"
"Arkansas","California","Cereal grains","Rail","1.5858","3.5273008","19.849"
"Arkansas","California","Cereal grains","Multiple modes & mail","1.1643","2.60456678","21.954"
