"DMS ORIG","DMS DEST","SCTG2","DMS_MODE","Total KTons in 2007","Total Ton-Mile in 2007","Total M$ in 2007"
"Alabama","Alabama","Wood prods.","Truck","10880.2482","1041.40099999","2395.2757"
"Alabama","Alabama","Nonmetal min. prods.","Truck","21747.79","1644.99969547","2788.3576"
"Alabama","Alabama","Machinery","Truck","1581.2391","101.00320205","12144.0209"
"Alabama","Alaska","Nonmetal min. prods.","Truck","0","0","0"
"Alabama","Alaska","Machinery","Truck","0.9742","4.08799528","4.9998"
"Alabama","Arizona","Wood prods.","Truck","0.0001","0.00017134","0.0001"
"Alabama","Arizona","Nonmetal min. prods.","Truck","12.886","21.88028967","10.1647"
"Alabama","Arizona","Machinery","Truck","0.7826","1.26570291","3.1859"
"Alabama","Arkansas","Wood prods.","Truck","79.6034","37.61796534","29.5175"
"Alabama","Arkansas","Nonmetal min. prods.","Truck","145.5751","68.02479677","27.4425"
"Alabama","Arkansas","Machinery","Truck","8.8702","4.0538758","38.0608"
"Alabama","California","Wood prods.","Truck","7.3273","15.26054389","5.5158"
"Alabama","California","Nonmetal min. prods.","Truck","31.5981","65.01886184","36.7196"
"Alabama","California","Machinery","Truck","25.3689","53.15694402","93.6178"
"Alabama","Colorado","Wood prods.","Truck","7.8871","10.75385358","3.0296"
"Alabama","Colorado","Nonmetal min. prods.","Truck","24.6297","33.76905442","27.5227"
"Alabama","Colorado","Machinery","Truck","2.0178","2.84923751","17.2473"
"Alabama","Connecticut","Wood prods.","Truck","1.9681","2.23939962","1.8236"
"Alabama","Connecticut","Nonmetal min. prods.","Truck","6.0189","6.86057978","12.8801"
"Alabama","Connecticut","Machinery","Truck","0.0116","0.01270144","2.5669"
"Alabama","Delaware","Wood prods.","Truck","0.3447","0.30231853","0.1533"
"Alabama","Delaware","Nonmetal min. prods.","Truck","0.2615","0.2281683","0.8953"
"Alabama","Delaware","Machinery","Truck","0.0008","0.00071688","0.0066"
