"DMS ORIG","DMS DEST","SCTG2","DMS_MODE","Total KTons in 2012","Total Ton-Mile in 2012","Total M$ in 2012","Total Current M$ in 2012"
"Alabama","Alabama","Cereal grains","Truck","2560.6566","239.80647847","485.9232","484.1869"
"Alabama","Arkansas","Cereal grains","Truck","0","0","0","0"
"Alabama","Florida","Cereal grains","Truck","133.0226","63.42824144","77.7351","77.4573"
"Alabama","Georgia","Cereal grains","Truck","23.5992","5.53479527","3.4038","3.3917"
"Alabama","Illinois","Cereal grains","Truck","0","0","0","0"
"Alabama","Indiana","Cereal grains","Truck","0","0","0","0"
"Alabama","Kentucky","Cereal grains","Truck","0","0","0","0"
"Alabama","Louisiana","Cereal grains","Truck","28.0062","4.29954967","17.5147","17.4521"
"Alabama","Michigan","Cereal grains","Truck","0","0","0","0"
"Alabama","Mississippi","Cereal grains","Truck","41.6998","8.68181364","23.4539","23.37"
"Alabama","Missouri","Cereal grains","Truck","0","0","0","0"
"Alabama","New York","Cereal grains","Truck","0","0","0","0"
"Alabama","North Carolina","Cereal grains","Truck","0","0","0","0"
"Alabama","Ohio","Cereal grains","Truck","0","0","0","0"
"Alabama","Pennsylvania","Cereal grains","Truck","0","0","0","0"
"Alabama","South Carolina","Cereal grains","Truck","0","0","0","0"
"Alabama","Tennessee","Cereal grains","Truck","24.5649","6.01150344","4.213","4.198"
"Alabama","Texas","Cereal grains","Truck","0","0","0","0"
"Alabama","Virginia","Cereal grains","Truck","0","0","0","0"
"Alabama","West Virginia","Cereal grains","Truck","0","0","0","0"
"Alaska","Alaska","Cereal grains","Truck","56.4829","11.79685532","26.8574","26.7615"
"Alaska","California","Cereal grains","Truck","0","0","0","0"
"Alaska","Colorado","Cereal grains","Truck","0","0","0","0"
"Alaska","Idaho","Cereal grains","Truck","0","0","0","0"
"Alaska","Illinois","Cereal grains","Truck","0","0","0","0"
"Alaska","Iowa","Cereal grains","Truck","0","0","0","0"
"Alaska","Michigan","Cereal grains","Truck","0","0","0","0"
"Alaska","Minnesota","Cereal grains","Truck","0","0","0","0"
"Alaska","New York","Cereal grains","Truck","0","0","0","0"
"Alaska","Oregon","Cereal grains","Truck","0","0","0","0"
"Alaska","Texas","Cereal grains","Truck","0","0","0","0"
"Alaska","Washington","Cereal grains","Truck","0","0","0","0"
"Alaska","Wisconsin","Cereal grains","Truck","0","0","0","0"
"Arizona","Alabama","Cereal grains","Truck","0","0","0","0"
"Arizona","Arizona","Cereal grains","Truck","4149.8842","408.38469587","749.1313","746.4546"
"Arizona","Arizona","Cereal grains","Other and unknown","14.4122","0.73313403","8.191","7.5504"
"Arizona","Arkansas","Cereal grains","Truck","0","0","0","0"
"Arizona","California","Cereal grains","Truck","22.4684","14.32360298","3.4124","3.4002"
"Arizona","Colorado","Cereal grains","Truck","0.0001","8.09E-05","0","0"
"Arizona","Florida","Cereal grains","Truck","0","0","0","0"
"Arizona","Georgia","Cereal grains","Truck","0","0","0","0"
"Arizona","Idaho","Cereal grains","Truck","0","0","0","0"
"Arizona","Illinois","Cereal grains","Truck","0","0","0","0"
"Arizona","Indiana","Cereal grains","Truck","0","0","0","0"
"Arizona","Iowa","Cereal grains","Truck","0","0","0","0"
"Arizona","Kansas","Cereal grains","Truck","0","0","0","0"
"Arizona","Kentucky","Cereal grains","Truck","0","0","0","0"
"Arizona","Louisiana","Cereal grains","Truck","0","0","0","0"
"Arizona","Michigan","Cereal grains","Truck","0","0","0","0"
"Arizona","Minnesota","Cereal grains","Truck","0","0","0","0"
"Arizona","Mississippi","Cereal grains","Truck","0","0","0","0"
"Arizona","Missouri","Cereal grains","Truck","0","0","0","0"
"Arizona","Missouri","Cereal grains","Rail","14.6276","21.28732354","2.2456","2.2644"
"Arizona","Montana","Cereal grains","Truck","0","0","0","0"
"Arizona","Nebraska","Cereal grains","Truck","0","0","0","0"
"Arizona","Nevada","Cereal grains","Truck","0.0072","0.00220096","0.0011","0.0011"
"Arizona","New Mexico","Cereal grains","Truck","5.597","2.39455167","1.1163","1.1123"
"Arizona","New York","Cereal grains","Truck","0","0","0","0"
"Arizona","Ohio","Cereal grains","Truck","0","0","0","0"
"Arizona","Oklahoma","Cereal grains","Truck","0","0","0","0"
"Arizona","Oregon","Cereal grains","Truck","0","0","0","0"
"Arizona","South Dakota","Cereal grains","Truck","0","0","0","0"
"Arizona","Tennessee","Cereal grains","Truck","0","0","0","0"
"Arizona","Texas","Cereal grains","Truck","0.0002","0.00012187","0","0"
"Arizona","Utah","Cereal grains","Truck","0.0002","0.00013726","0","0"
"Arizona","Washington","Cereal grains","Truck","0","0","0","0"
"Arizona","Wisconsin","Cereal grains","Truck","0","0","0","0"
"Arizona","Wyoming","Cereal grains","Truck","0","0","0","0"
"Arkansas","Alabama","Cereal grains","Truck","5.6168","2.51208481","1.1336","1.1296"
"Arkansas","Arkansas","Cereal grains","Truck","18786.8927","1779.00571981","3417.8773","3405.6647"
"Arkansas","Arkansas","Cereal grains","Rail","2.1385","0.23077385","1.3395","1.3507"
"Arkansas","Arkansas","Cereal grains","Water","49.4415","5.3902453","9.0953","9.0561"
"Arkansas","Arkansas","Cereal grains","Multiple modes & mail","1.6295","0.20958382","0.5492","0.536"
"Arkansas","Arkansas","Cereal grains","Other and unknown","10.9226","1.14490757","24.1194","22.2332"
"Arkansas","California","Cereal grains","Truck","3.4779","6.10719682","10.7403","10.702"
"Arkansas","California","Cereal grains","Rail","1.7819","3.96343725","22.2845","22.4706"
"Arkansas","California","Cereal grains","Multiple modes & mail","1.1637","2.60319325","21.5864","21.0651"
"Arkansas","Florida","Cereal grains","Truck","0","0","0","0"
"Arkansas","Georgia","Cereal grains","Truck","0","0","0","0"
"Arkansas","Illinois","Cereal grains","Truck","0","0","0","0"
"Arkansas","Indiana","Cereal grains","Truck","0","0","0","0"
"Arkansas","Iowa","Cereal grains","Truck","0.6596","0.39252644","0.6979","0.6954"
"Arkansas","Kansas","Cereal grains","Truck","2.2321","0.97758627","4.5472","4.5309"
"Arkansas","Kentucky","Cereal grains","Truck","0","0","0","0"
"Arkansas","Louisiana","Cereal grains","Truck","108.9865","39.81558417","21.4096","21.333"
"Arkansas","Louisiana","Cereal grains","Rail","8.5853","3.90330936","1.7241","1.7385"
"Arkansas","Louisiana","Cereal grains","Water","1764.2498","1099.48924836","272.1905","271.0169"
"Arkansas","Michigan","Cereal grains","Truck","0","0","0","0"
"Arkansas","Minnesota","Cereal grains","Truck","0.2482","0.20022664","0.2213","0.2205"
"Arkansas","Mississippi","Cereal grains","Truck","59.5867","19.91760786","11.6233","11.5818"
"Arkansas","Missouri","Cereal grains","Truck","167.8154","48.04590931","36.448","36.3178"
"Arkansas","Nebraska","Cereal grains","Truck","0","0","0","0"
"Arkansas","North Carolina","Cereal grains","Truck","3.3949","3.0279976","6.8124","6.7881"
"Arkansas","Ohio","Cereal grains","Truck","2.2631","1.85763278","2.3016","2.2934"
"Arkansas","Oklahoma","Cereal grains","Truck","16.9484","5.42235015","2.2204","2.2124"
"Arkansas","Pennsylvania","Cereal grains","Truck","2.2583","2.48727566","10.2409","10.2043"
"Arkansas","South Carolina","Cereal grains","Truck","0","0","0","0"
"Arkansas","Tennessee","Cereal grains","Truck","255.4076","107.86773017","50.0183","49.8396"
"Arkansas","Texas","Cereal grains","Truck","353.3348","151.68905446","72.2161","71.958"
"Arkansas","Wisconsin","Cereal grains","Truck","0","0","0","0"
"California","Arizona","Cereal grains","Truck","6.7492","4.3097794","4.5333","4.5171"
"California","California","Cereal grains","Truck","31056.319","4630.09925349","4709.1368","4692.3104"
"California","California","Cereal grains","Multiple modes & mail","1.8924","0.2750186","0.8697","0.8487"
"California","California","Cereal grains","Other and unknown","20.634","2.38509688","70.24","64.747"
"California","Colorado","Cereal grains","Truck","0","0","0","0"
"California","Florida","Cereal grains","Multiple modes & mail","0.2054","0.61913737","0.209","0.2039"
"California","Georgia","Cereal grains","Truck","1.2153","3.1388119","0.8612","0.8581"
"California","Idaho","Cereal grains","Truck","0","0","0","0"
"California","Illinois","Cereal grains","Truck","5.5727","11.33931879","11.3184","11.278"
"California","Iowa","Cereal grains","Truck","0.2948","0.52501673","1.1213","1.1172"
"California","Iowa","Cereal grains","Rail","501.5495","1020.02971559","94.4247","95.2135"
"California","Maryland","Cereal grains","Truck","4.7998","13.15350018","2.2356","2.2276"
"California","Minnesota","Cereal grains","Rail","15.8619","32.60870621","6.5646","6.6195"
"California","Missouri","Cereal grains","Truck","0.1002","0.17269584","0.8505","0.8475"
"California","Missouri","Cereal grains","Other and unknown","3.1902","6.46953838","13.8862","12.8003"
"California","Montana","Cereal grains","Truck","0","0","0","0"
"California","Nevada","Cereal grains","Truck","385.844","117.6654292","69.9842","69.7341"
"California","Nevada","Cereal grains","Rail","6.2121","1.41854652","0.1349","0.136"
"California","New Jersey","Cereal grains","Truck","2.2511","6.33180003","1.1373","1.1332"
"California","New Mexico","Cereal grains","Truck","0","0","0","0"
"California","New York","Cereal grains","Truck","1.1003","3.12234777","1.1359","1.1319"
"California","Oregon","Cereal grains","Truck","2.2464","1.31025215","1.1325","1.1284"
"California","Texas","Cereal grains","Truck","4.462","7.01236458","7.954","7.9255"
"California","Texas","Cereal grains","Rail","262.71","481.05414948","52.9269","53.369"
"California","Utah","Cereal grains","Truck","4.609","3.02274841","2.2967","2.2885"
"California","Washington","Cereal grains","Truck","15.83","15.71513572","14.5914","14.5393"
"California","Washington","Cereal grains","Rail","21.0032","26.8968916","0.8571","0.8642"
"Colorado","Arizona","Cereal grains","Truck","0","0","0","0"
"Colorado","Arkansas","Cereal grains","Truck","0","0","0","0"
"Colorado","California","Cereal grains","Truck","0","0","0","0"
"Colorado","California","Cereal grains","Rail","238.8015","299.74712133","37.04","37.3495"
"Colorado","Colorado","Cereal grains","Truck","20018.3382","2376.76820587","2391.1134","2382.5696"
"Colorado","Colorado","Cereal grains","Other and unknown","6.502","0.8875339","6.514","6.0046"
"Colorado","Georgia","Cereal grains","Truck","0","0","0","0"
"Colorado","Idaho","Cereal grains","Truck","0","0","0","0"
"Colorado","Illinois","Cereal grains","Truck","2.1284","2.12823749","1.1408","1.1367"
"Colorado","Indiana","Cereal grains","Truck","0","0","0","0"
"Colorado","Iowa","Cereal grains","Truck","1.1289","0.92914871","0.1275","0.127"
"Colorado","Kansas","Cereal grains","Truck","731.4473","439.10363875","102.0997","101.735"
"Colorado","Kansas","Cereal grains","Rail","319.602","231.99083421","75.7991","76.4324"
