"DMS ORIG","DMS DEST","DMS_MODE","Total KTons in 2012","Total Ton-Mile in 2012","Total M$ in 2012","Total Current M$ in 2012"
"Alabama","Alabama","Truck","236211.7116","19069.07685986","96178.8091","96199.0917"
"Alabama","Alaska","Truck","1.1243","4.71778815","9.0141","9.0208"
"Alabama","Arizona","Truck","137.4803","233.76110444","497.9052","500.4582"
"Alabama","Arkansas","Truck","877.5158","405.66856198","1110.4408","1115.136"
"Alabama","California","Truck","597.5219","1272.4045579","2411.2316","2416.8257"
"Alabama","Colorado","Truck","141.292","192.2502593","394.8902","395.5065"
"Alabama","Connecticut","Truck","74.9913","84.49114294","263.2066","265.7988"
"Alabama","Delaware","Truck","53.6544","46.95748926","217.732","217.766"
"Alabama","Washington DC","Truck","1.7388","1.3255069","7.6819","7.6982"
"Alabama","Florida","Truck","5740.4394","3060.56463835","7259.0503","7279.0912"
"Alabama","Georgia","Truck","11835.5887","2675.67099209","12596.0741","12654.4606"
"Alabama","Idaho","Truck","30.4617","65.74302401","124.4815","125.1404"
"Alabama","Illinois","Truck","1372.1029","949.636795909999","2501.8109","2506.0048"
"Alabama","Indiana","Truck","712.9126","413.98331317","1306.9726","1309.6699"
"Alabama","Iowa","Truck","176.7334","150.43007692","435.6854","436.3694"
"Alabama","Kansas","Truck","165.3629","134.28610329","498.5262","499.6289"
"Alabama","Kentucky","Truck","1675.7793","687.1834505","2484.7028","2489.2744"
"Alabama","Louisiana","Truck","1932.5751","639.96308025","2074.979","2083.7076"
"Alabama","Maine","Truck","76.4046","107.37688389","140.5429","140.6038"
"Alabama","Maryland","Truck","381.1602","309.97721565","1126.1656","1127.246"
"Alabama","Massachusetts","Truck","265.7525","325.4540308","641.2684","643.5358"
"Alabama","Michigan","Truck","397.5764","310.97483533","1534.3759","1539.3238"
"Alabama","Minnesota","Truck","260.7859","281.37939511","489.1258","490.1902"
"Alabama","Mississippi","Truck","9420.1206","2163.85121622","5560.6386","5569.7674"
"Alabama","Missouri","Truck","740.7941","439.10780803","1109.3212","1111.9295"
"Alabama","Montana","Truck","22.4471","45.82111668","42.3666","42.5426"
"Alabama","Nebraska","Truck","280.4064","273.31311356","405.1844","406.3567"
"Alabama","Nevada","Truck","20.357","43.30640758","89.2178","89.4408"
"Alabama","New Hampshire","Truck","36.1822","46.107808","125.78","125.7378"
"Alabama","New Jersey","Truck","300.3594","289.62698909","1044.343","1049.1042"
"Alabama","New Mexico","Truck","36.958","46.66694005","188.9223","191.5689"
"Alabama","New York","Truck","322.7662","328.64300217","1035.706","1039.6189"
"Alabama","North Carolina","Truck","1942.9308","995.18739089","3472.2079","3484.6172"
"Alabama","North Dakota","Truck","11.3465","15.91476842","36.8866","37.1369"
"Alabama","Ohio","Truck","1108.8648","726.0834668","2264.3053","2269.5682"
"Alabama","Oklahoma","Truck","368.2547","271.11244152","687.0181","688.6848"
"Alabama","Oregon","Truck","109.2095","281.29053275","176.7815","177.3795"
"Alabama","Pennsylvania","Truck","1036.0395","887.902884399999","2286.4498","2299.3052"
"Alabama","Rhode Island","Truck","19.9066","24.04594006","28.6804","28.7871"
"Alabama","South Carolina","Truck","2141.5342","801.442642479999","2663.7471","2677.6162"
"Alabama","South Dakota","Truck","21.8056","26.43094741","40.1015","40.2105"
"Alabama","Tennessee","Truck","7205.5314","1877.34583279","6175.1685","6187.1751"
"Alabama","Texas","Truck","2800.3211","1999.49481491","4614.8356","4627.4565"
"Alabama","Utah","Truck","72.3198","131.94992578","233.5664","234.9725"
"Alabama","Vermont","Truck","4.5893","5.70976624","22.2796","22.3343"
"Alabama","Virginia","Truck","489.4637","318.02441757","962.5885","967.9146"
"Alabama","Washington","Truck","133.8498","347.22391433","908.3352","914.4729"
"Alabama","West Virginia","Truck","165.9712","105.98738843","272.0617","273.2579"
"Alabama","Wisconsin","Truck","566.0912","495.81765286","837.4345","840.542"
"Alabama","Wyoming","Truck","8.9021","14.49511915","22.7499","22.8483"
"Alaska","Alabama","Truck","0.078","0.33437986","0.06","0.0599000000000001"
"Alaska","Alaska","Truck","27774.8596","5800.9809076","15845.762","15874.4877"
"Alaska","Arizona","Truck","0.1238","0.45475452","0.0931","0.0931"
"Alaska","Arkansas","Truck","0.0672","0.26493872","0.0341","0.0341"
"Alaska","California","Truck","5.795","19.10200961","31.5715","31.6711"
"Alaska","Colorado","Truck","0.2018","0.65123753","0.1373","0.1372"
"Alaska","Connecticut","Truck","0.616999999999999","2.76590639","0.614799999999999","0.619799999999999"
"Alaska","Delaware","Truck","0.3496","1.51469587","0.4499","0.4526"
"Alaska","Washington DC","Truck","0.1787","0.76471948","0.2181","0.2195"
"Alaska","Florida","Truck","6.2312","29.49449254","7.91630000000001","7.9646"
"Alaska","Georgia","Truck","5.1962","22.39473643","6.3243","6.3619"
"Alaska","Idaho","Truck","1.4912","4.06723668","1.7717","1.7818"
"Alaska","Illinois","Truck","4.7333","16.99740043","6.17470000000001","6.20660000000001"
"Alaska","Indiana","Truck","2.1303","7.98483287","2.4539","2.4682"
"Alaska","Iowa","Truck","1.1443","3.89263033","1.2661","1.2735"
"Alaska","Kansas","Truck","1.0543","3.79186716","1.1817","1.1888"
"Alaska","Kentucky","Truck","1.8162","7.14156056","2.0659","2.0786"
"Alaska","Louisiana","Truck","2.0318","8.80983365","2.3228","2.3372"
"Alaska","Maine","Truck","0.3907","1.83123498","0.4661","0.469"
"Alaska","Maryland","Truck","1.586","6.7908235","1.8542","1.8654"
"Alaska","Massachusetts","Truck","1.3508","6.15779321","2.1616","2.1724"
"Alaska","Michigan","Truck","2.5165","9.52351037","2.9999","3.0171"
"Alaska","Minnesota","Truck","2.2686","7.15722102","2.5616","2.5761"
"Alaska","Mississippi","Truck","1.4888","6.22824322","1.6611","1.6714"
"Alaska","Missouri","Truck","3.33","12.35139213","3.988","4.0118"
"Alaska","Montana","Truck","3.3342","8.25576974","4.5784","4.5521"
"Alaska","Nebraska","Truck","0.8328","2.79083619","0.9661","0.9717"
"Alaska","Nevada","Truck","2.2687","7.56267671","2.9407","2.9585"
