"DMS ORIG","DMS DEST","SCTG2","DMS_MODE","Total KTons in 2012","Total Ton-Mile in 2012","Total M$ in 2012","Total Current M$ in 2012"
"Alabama","Alabama","Other ag prods.","Truck","2799.1528","238.61766025","1031.4111","1028.2293"
"Alabama","Arizona","Other ag prods.","Truck","0.0002","0.00039751","0.0001","0.0001"
"Alabama","Arkansas","Other ag prods.","Truck","0.6054","0.30745757","0.0451","0.045"
"Alabama","California","Other ag prods.","Truck","0.4765","1.05755021","5.2245","5.2083"
"Alabama","Colorado","Other ag prods.","Truck","2.0595","2.74350622","3.1794","3.1696"
"Alabama","Connecticut","Other ag prods.","Truck","0.0007","0.00076187","0.0003","0.0003"
"Alabama","Delaware","Other ag prods.","Truck","0.0004","0.00037816","0.0002","0.0002"
"Alabama","Washington DC","Other ag prods.","Truck","0.0012","0.00094995","0.0005","0.0005"
"Alabama","Florida","Other ag prods.","Truck","71.7574","33.78871619","38.3847","38.2665"
"Alabama","Georgia","Other ag prods.","Truck","216.0739","47.46629951","59.1158","58.9333"
"Alabama","Idaho","Other ag prods.","Truck","0","0","0","0"
"Alabama","Illinois","Other ag prods.","Truck","1.0599","0.77051056","1.6721","1.6669"
"Alabama","Indiana","Other ag prods.","Truck","1.0513","0.77064931","7.4719","7.4488"
"Alabama","Iowa","Other ag prods.","Truck","0.0895","0.0736451","0.2909","0.29"
"Alabama","Kansas","Other ag prods.","Truck","0.0024","0.00197098","0.0012","0.0012"
"Alabama","Kentucky","Other ag prods.","Truck","2.3547","1.45620186","4.8445","4.8295"
"Alabama","Louisiana","Other ag prods.","Truck","56.6054","23.81412766","48.4933","48.3435"
"Alabama","Maine","Other ag prods.","Truck","0.0001","0.00017206","0","0"
"Alabama","Maryland","Other ag prods.","Truck","0.0051","0.00408307","0.0026","0.0026"
"Alabama","Massachusetts","Other ag prods.","Truck","0.0011","0.0014359","0.0006","0.0006"
"Alabama","Michigan","Other ag prods.","Truck","0.0088","0.00696246","0.0048","0.0048"
"Alabama","Minnesota","Other ag prods.","Truck","0.0943","0.09929831","0.5807","0.5789"
"Alabama","Mississippi","Other ag prods.","Truck","74.6132","17.22242596","35.9334","35.8226"
"Alabama","Missouri","Other ag prods.","Truck","0.4488","0.31491845","0.148","0.1474"
"Alabama","Montana","Other ag prods.","Truck","0","0","0","0"
"Alabama","Nebraska","Other ag prods.","Truck","0.0009","0.00085257","0.0003","0.0003"
"Alabama","Nevada","Other ag prods.","Truck","0.0001","0.00014045","0","0"
"Alabama","New Hampshire","Other ag prods.","Truck","0.0001","0.000123","0.0001","0.0001"
"Alabama","New Jersey","Other ag prods.","Truck","0.0033","0.00324885","0.0016","0.0016"
"Alabama","New Mexico","Other ag prods.","Truck","0.0002","0.00028682","0.0001","0.0001"
"Alabama","New York","Other ag prods.","Truck","0.0062","0.00624877","0.0029","0.0029"
"Alabama","North Carolina","Other ag prods.","Truck","45.8718","25.59388038","39.1501","39.0294"
"Alabama","North Dakota","Other ag prods.","Truck","0","0","0","0"
"Alabama","Ohio","Other ag prods.","Truck","15.9389","9.8587856","7.9222","7.8977"
"Alabama","Oklahoma","Other ag prods.","Truck","0.2835","0.20823037","1.1297","1.1262"
"Alabama","Oregon","Other ag prods.","Truck","0","0","0","0"
"Alabama","Pennsylvania","Other ag prods.","Truck","0.0079","0.00691993","0.004","0.004"
"Alabama","Rhode Island","Other ag prods.","Truck","0.0001","0.00011063","0.0001","0.0001"
"Alabama","South Carolina","Other ag prods.","Truck","8.1607","4.58330446","14.5065","14.4618"
"Alabama","South Dakota","Other ag prods.","Truck","0.0001","0.00013659","0.0001","0.0001"
"Alabama","Tennessee","Other ag prods.","Truck","104.0555","30.29279453","49.3417","49.1894"
"Alabama","Texas","Other ag prods.","Truck","19.7921","12.92461283","13.9159","13.8729"
"Alabama","Utah","Other ag prods.","Truck","0","0","0","0"
"Alabama","Vermont","Other ag prods.","Truck","0.0001","0.0001251","0","0"
"Alabama","Virginia","Other ag prods.","Truck","7.0996","5.53092325","4.4517","4.438"
"Alabama","Washington","Other ag prods.","Truck","0","0","0","0"
"Alabama","West Virginia","Other ag prods.","Truck","0.0031","0.00208414","0.0017","0.0017"
"Alabama","Wisconsin","Other ag prods.","Truck","0.4151","0.3197522","0.0091","0.009"
"Alabama","Wyoming","Other ag prods.","Truck","0","0","0","0"
"Alaska","Alabama","Other ag prods.","Truck","0.0024","0.01016061","0.0011","0.0011"
"Alaska","Alaska","Other ag prods.","Truck","193.8154","40.47975143","147.2239","146.7697"
"Alaska","Arizona","Other ag prods.","Truck","0.0055","0.0201381","0.0028","0.0028"
"Alaska","Arkansas","Other ag prods.","Truck","0.0021","0.00823433","0.001","0.001"
"Alaska","California","Other ag prods.","Truck","0.0504","0.16509833","0.026","0.0259"
"Alaska","Colorado","Other ag prods.","Truck","0.0081","0.02615307","0.0041","0.0041"
"Alaska","Connecticut","Other ag prods.","Truck","0.0017","0.00785324","0.001","0.001"
"Alaska","Delaware","Other ag prods.","Truck","0.0004","0.00193526","0.0002","0.0002"
"Alaska","Washington DC","Other ag prods.","Truck","0.0006","0.00240175","0.0003","0.0003"
"Alaska","Florida","Other ag prods.","Truck","0.0057","0.0267037","0.0029","0.0029"
"Alaska","Georgia","Other ag prods.","Truck","0.0044","0.01925236","0.0024","0.0024"
"Alaska","Idaho","Other ag prods.","Truck","0.0052","0.01409942","0.0026","0.0026"
"Alaska","Illinois","Other ag prods.","Truck","0.0132","0.04727151","0.0067","0.0066"
"Alaska","Indiana","Other ag prods.","Truck","0.0052","0.0192441","0.0026","0.0026"
"Alaska","Iowa","Other ag prods.","Truck","0.0034","0.01143145","0.0017","0.0017"
"Alaska","Kansas","Other ag prods.","Truck","0.003","0.01082502","0.0015","0.0015"
"Alaska","Kentucky","Other ag prods.","Truck","0.0027","0.01064334","0.0014","0.0014"
"Alaska","Louisiana","Other ag prods.","Truck","0.0021","0.00943547","0.001","0.001"
"Alaska","Maine","Other ag prods.","Truck","0.0004","0.00210581","0.0002","0.0002"
"Alaska","Maryland","Other ag prods.","Truck","0.0029","0.01238783","0.0015","0.0015"
"Alaska","Massachusetts","Other ag prods.","Truck","0.0031","0.01434432","0.0016","0.0016"
"Alaska","Michigan","Other ag prods.","Truck","0.0069","0.0263228","0.0036","0.0036"
"Alaska","Minnesota","Other ag prods.","Truck","0.0088","0.02772199","0.0045","0.0045"
"Alaska","Mississippi","Other ag prods.","Truck","0.0013","0.00539997","0.0007","0.0007"
"Alaska","Missouri","Other ag prods.","Truck","0.0056","0.02051057","0.0028","0.0028"
"Alaska","Montana","Other ag prods.","Truck","0.0031","0.00770023","0.0016","0.0016"
"Alaska","Nebraska","Other ag prods.","Truck","0.0023","0.0075498","0.0011","0.0011"
"Alaska","Nevada","Other ag prods.","Truck","0.0042","0.01370317","0.0021","0.0021"
"Alaska","New Hampshire","Other ag prods.","Truck","0.0006","0.00255749","0.0003","0.0003"
"Alaska","New Jersey","Other ag prods.","Truck","0.0043","0.01892313","0.0022","0.0022"
"Alaska","New Mexico","Other ag prods.","Truck","0.0014","0.00516963","0.0007","0.0007"
"Alaska","New York","Other ag prods.","Truck","0.0092","0.03988002","0.0046","0.0046"
