"DMS ORIG","DMS DEST","SCTG2","DMS_MODE","Total KTons in 1997","Total Ton-Mile in 1997","Total M$ in 1997"
"Alabama","Alabama","Logs","Truck","37575.7758","3782.23039929","983.1370"
"Alabama","Arkansas","Logs","Truck","6.0775","2.79462147","0.3487"
"Alabama","Connecticut","Logs","Truck","0.0600","0.06595611","0.0052"
"Alabama","Delaware","Logs","Truck","0.7900","0.69595358","0.0026"
"Alabama","Florida","Logs","Truck","1141.3885","642.87951143","30.8441"
"Alabama","Georgia","Logs","Truck","477.3028","115.08637903","31.4495"
"Alabama","Illinois","Logs","Truck","0.6881","0.43934155","0.4576"
"Alabama","Indiana","Logs","Truck","1.3374","0.77400072","0.5380"
"Alabama","Kansas","Logs","Truck","0.3499","0.27921595","0.4567"
"Alabama","Kentucky","Logs","Truck","25.0974","10.44600809","3.8156"
"Alabama","Louisiana","Logs","Truck","67.1923","26.57298796","1.7665"
"Alabama","Maine","Logs","Truck","0.2010","0.27761319","0.0232"
"Alabama","Minnesota","Logs","Truck","0.5020","0.54496479","0.0052"
"Alabama","Mississippi","Logs","Truck","5762.9873","1324.39322949","151.9915"
"Alabama","Missouri","Logs","Truck","2.7346","1.65840642","0.5809"
"Alabama","New Hampshire","Logs","Truck","0.1020","0.12674246","0.0051"
"Alabama","New Mexico","Logs","Truck","0.3510","0.44443839","0.4489"
"Alabama","New York","Logs","Truck","0.2869","0.29511955","0.2825"
"Alabama","North Carolina","Logs","Truck","5.9707","3.08540131","0.6210"
"Alabama","Ohio","Logs","Truck","4.2800","2.62671884","0.4580"
"Alabama","Oklahoma","Logs","Truck","0.2340","0.16654537","0.0078"
"Alabama","Pennsylvania","Logs","Truck","0.7110","0.60315935","0.8398"
"Alabama","South Carolina","Logs","Truck","6.5580","2.44618677","0.9006"
"Alabama","South Dakota","Logs","Truck","0.5280","0.64076273","0.0026"
"Alabama","Tennessee","Logs","Truck","2027.6392","520.53269809","72.7631"
"Alabama","Texas","Logs","Truck","0.9650","0.73807788","0.4465"
"Alabama","Virginia","Logs","Truck","4.7267","3.24882911","0.4137"
"Alabama","Washington","Logs","Truck","0.0060","0.01533744","0.0259"
"Alabama","West Virginia","Logs","Truck","0.3390","0.21394422","0.4502"
"Alabama","Wisconsin","Logs","Truck","10.9740","9.18345247","0.4490"
"Alaska","Alaska","Logs","Truck","803.7132","264.86869872","42.8329"
"Arizona","Arizona","Logs","Truck","6420.0350","447.61106527","348.7804"
"Arizona","California","Logs","Truck","56.0292","24.72168724","3.5793"
"Arizona","Colorado","Logs","Truck","5.1055","3.94112406","0.6981"
"Arizona","Nevada","Logs","Truck","30.1825","8.93287584","2.8956"
"Arizona","New Mexico","Logs","Truck","42.2787","18.69719449","2.2598"
"Arizona","Texas","Logs","Truck","0.1977","0.20383239","0.0149"
"Arizona","Utah","Logs","Truck","4.8977","2.73046819","0.6897"
"Arkansas","Alabama","Logs","Truck","283.1253","125.30720463","2.2951"
"Arkansas","Arizona","Logs","Truck","0.7680","0.99631316","0.0374"
"Arkansas","Arkansas","Logs","Truck","9734.0040","923.83801399","425.4214"
"Arkansas","California","Logs","Truck","61.6140","112.53739450","2.2640"
"Arkansas","Colorado","Logs","Truck","2.2640","2.17693530","0.4515"
"Arkansas","Connecticut","Logs","Truck","0.1300","0.17816204","0.5624"
"Arkansas","Delaware","Logs","Truck","0.8020","0.93790008","1.0230"
"Arkansas","Washington DC","Logs","Truck","0.0440","0.04614477","0.1858"
"Arkansas","Florida","Logs","Truck","12.8610","12.57062871","0.3522"
"Arkansas","Georgia","Logs","Truck","0.7280","0.45450663","0.0026"
"Arkansas","Idaho","Logs","Truck","0.5670","0.99290106","0.4515"
"Arkansas","Illinois","Logs","Truck","2.6486","1.31255815","0.2042"
