"DMS ORIG","DMS DEST","SCTG2","DMS_MODE","Total KTons in 1997","Total Ton-Mile in 1997","Total M$ in 1997"
"Alabama","Alabama","Wood prods.","Truck","5603.0091","520.04664734","1449.4100"
"Alabama","Alabama","Nonmetal min. prods.","Truck","13671.2826","1271.54192922","1201.0221"
"Alabama","Alabama","Machinery","Truck","1984.8592","177.62698471","9979.6123"
"Alabama","Alaska","Machinery","Truck","0.3300","1.38723172","0.2658"
"Alabama","Arizona","Wood prods.","Truck","1.5410","2.55156539","0.3947"
"Alabama","Arizona","Nonmetal min. prods.","Truck","0.2740","0.45333097","0.2890"
"Alabama","Arizona","Machinery","Truck","0.3250","0.53759078","68.6255"
"Alabama","Arkansas","Wood prods.","Truck","110.5414","49.48608431","53.9478"
"Alabama","Arkansas","Nonmetal min. prods.","Truck","3.5321","1.61723197","1.0202"
"Alabama","Arkansas","Machinery","Truck","16.6580","7.51610620","123.9527"
"Alabama","California","Wood prods.","Truck","5.4980","12.06760853","0.3560"
"Alabama","California","Nonmetal min. prods.","Truck","0.3281","0.72441501","0.3922"
"Alabama","California","Machinery","Truck","94.5221","207.16473404","238.1328"
"Alabama","Colorado","Wood prods.","Truck","15.1980","20.63132278","0.4413"
"Alabama","Colorado","Nonmetal min. prods.","Truck","0.3560","0.48367247","0.4335"
"Alabama","Colorado","Machinery","Truck","1.5840","2.15231936","25.1188"
"Alabama","Connecticut","Wood prods.","Truck","1.3999","1.54112697","0.4490"
"Alabama","Connecticut","Nonmetal min. prods.","Truck","0.3420","0.37813370","0.4362"
"Alabama","Connecticut","Machinery","Truck","2.2830","2.52603484","0.5986"
"Alabama","Delaware","Wood prods.","Truck","0.6060","0.53506567","0.0103"
"Alabama","Delaware","Nonmetal min. prods.","Truck","0.3810","0.33770238","0.3031"
"Alabama","Delaware","Machinery","Truck","0.2560","0.22714555","0.3741"
"Alabama","Washington DC","Nonmetal min. prods.","Truck","524.7500","400.36859913","2.7245"
"Alabama","Florida","Wood prods.","Truck","1288.7990","726.76342288","303.4768"
"Alabama","Florida","Nonmetal min. prods.","Truck","590.0578","321.40423206","140.0399"
"Alabama","Florida","Machinery","Truck","139.7906","73.26565101","742.4077"
"Alabama","Georgia","Wood prods.","Truck","895.5141","202.26237449","500.0796"
"Alabama","Georgia","Nonmetal min. prods.","Truck","1813.0770","413.52977352","252.8767"
"Alabama","Georgia","Machinery","Truck","498.1374","108.70343552","2279.0703"
"Alabama","Idaho","Wood prods.","Truck","0.3420","0.71777320","0.4864"
"Alabama","Idaho","Nonmetal min. prods.","Truck","0.3220","0.67668767","2.1736"
"Alabama","Idaho","Machinery","Truck","4.4320","9.31575868","1.6203"
"Alabama","Illinois","Wood prods.","Truck","121.1127","75.20342758","89.4102"
"Alabama","Illinois","Nonmetal min. prods.","Truck","19.8390","12.41437558","30.4558"
"Alabama","Illinois","Machinery","Truck","12.1630","7.62972577","288.0552"
"Alabama","Indiana","Wood prods.","Truck","129.0914","74.92863972","75.2247"
"Alabama","Indiana","Nonmetal min. prods.","Truck","51.6233","30.24573495","2.7428"
"Alabama","Indiana","Machinery","Truck","10.7156","6.30390589","87.4785"
"Alabama","Iowa","Wood prods.","Truck","32.9360","27.65059969","19.4106"
"Alabama","Iowa","Nonmetal min. prods.","Truck","0.3490","0.29430449","0.4515"
"Alabama","Iowa","Machinery","Truck","21.2830","17.95783613","121.5503"
"Alabama","Kansas","Wood prods.","Truck","9.9860","7.97912001","0.4566"
"Alabama","Kansas","Nonmetal min. prods.","Truck","0.3921","0.31399917","0.4489"
"Alabama","Kansas","Machinery","Truck","13.3100","10.66305686","76.9098"
"Alabama","Kentucky","Wood prods.","Truck","120.2645","48.43131340","60.5154"
"Alabama","Kentucky","Nonmetal min. prods.","Truck","27.0655","11.30831664","3.0229"
"Alabama","Kentucky","Machinery","Truck","18.1958","7.79227896","191.1075"
"Alabama","Louisiana","Wood prods.","Truck","161.3335","65.45052612","56.5958"
"Alabama","Louisiana","Nonmetal min. prods.","Truck","170.6375","67.62266103","22.1587"
"Alabama","Louisiana","Machinery","Truck","78.3969","29.94013865","416.7087"
"Alabama","Maine","Nonmetal min. prods.","Truck","0.1970","0.26568387","0.1871"
"Alabama","Maine","Machinery","Truck","0.3190","0.44301216","3.0727"
"Alabama","Maryland","Wood prods.","Truck","6.7600","5.39332526","0.3610"
"Alabama","Maryland","Nonmetal min. prods.","Truck","0.3989","0.32142650","0.3188"
"Alabama","Maryland","Machinery","Truck","0.2530","0.20235571","0.9417"
"Alabama","Massachusetts","Wood prods.","Truck","10.0420","12.09188080","10.2981"
"Alabama","Massachusetts","Nonmetal min. prods.","Truck","0.3380","0.40861544","0.4334"
"Alabama","Massachusetts","Machinery","Truck","0.6639","0.80327429","0.4709"
"Alabama","Michigan","Wood prods.","Truck","39.8320","30.86263625","31.8063"
"Alabama","Michigan","Nonmetal min. prods.","Truck","34.5730","26.99182724","17.6189"
"Alabama","Michigan","Machinery","Truck","19.8240","15.50698355","272.0857"
"Alabama","Minnesota","Wood prods.","Truck","18.0180","19.58765016","10.4657"
"Alabama","Minnesota","Nonmetal min. prods.","Truck","5.9890","6.53068059","3.8713"
"Alabama","Minnesota","Machinery","Truck","6.8410","7.46269805","134.4825"
"Alabama","Mississippi","Wood prods.","Truck","584.1604","134.04760305","170.4003"
