"DMS ORIG","DMS DEST","SCTG2","DMS_MODE","Total KTons in 2002","Total Ton-Mile in 2002","Total M$ in 2002"
"Alabama","Alabama","Cereal grains","Truck","5637.3410","455.32569779","325.7226"
"Alabama","Arkansas","Cereal grains","Truck","5.3901","2.46853256","0.3116"
"Alabama","Florida","Cereal grains","Truck","36.5937","18.91039856","2.1173"
"Alabama","Georgia","Cereal grains","Truck","201.9470","49.38658576","11.6810"
"Alabama","Illinois","Cereal grains","Truck","0.1944","0.12803222","0.0112"
"Alabama","Indiana","Cereal grains","Truck","0.3329","0.19738372","0.0193"
"Alabama","Kentucky","Cereal grains","Truck","10.9470","4.53511480","0.6329"
"Alabama","Louisiana","Cereal grains","Truck","8.6137","3.46285495","0.4993"
"Alabama","Mississippi","Cereal grains","Truck","200.6455","46.16448144","11.5954"
"Alabama","Missouri","Cereal grains","Truck","1.0531","0.62430295","0.0608"
"Alabama","North Carolina","Cereal grains","Truck","0.4584","0.23903812","0.0265"
"Alabama","South Carolina","Cereal grains","Truck","1.6854","0.60719268","0.0978"
"Alabama","Tennessee","Cereal grains","Truck","141.7716","40.39549774","8.1964"
"Alabama","Virginia","Cereal grains","Truck","0.0047","0.00286828","0.0002"
"Alaska","Alaska","Cereal grains","Truck","1684.6198","309.73461811","95.6299"
"Arizona","Arizona","Cereal grains","Truck","660.3059","49.12146297","38.2112"
"Arizona","California","Cereal grains","Truck","12.2696","7.54460615","0.7105"
"Arizona","Colorado","Cereal grains","Truck","0.2125","0.16226841","0.0123"
"Arizona","Nevada","Cereal grains","Truck","0.3721","0.11783702","0.0245"
"Arizona","New Mexico","Cereal grains","Truck","2.4075","1.13541390","0.1395"
"Arizona","Texas","Cereal grains","Truck","0.0045","0.00461953","0.0002"
"Arizona","Utah","Cereal grains","Truck","0.7597","0.43987816","0.0439"
"Arkansas","Alabama","Cereal grains","Truck","1.8996","0.86882661","0.1099"
"Arkansas","Arkansas","Cereal grains","Truck","6379.1090","578.76234396","378.7559"
"Arkansas","California","Cereal grains","Rail","39.6600","87.71329247","2.1908"
"Arkansas","Illinois","Cereal grains","Truck","1.9666","0.97001716","0.1138"
"Arkansas","Indiana","Cereal grains","Truck","0.0542","0.03418069","0.0031"
"Arkansas","Kansas","Cereal grains","Truck","3.7283","1.63531060","0.2160"
"Arkansas","Kentucky","Cereal grains","Truck","4.5757","2.53592148","0.2645"
"Arkansas","Louisiana","Cereal grains","Truck","59.2844","20.83988538","3.4266"
"Arkansas","Louisiana","Cereal grains","Water","19.0600","12.43152900","2.6703"
"Arkansas","Mississippi","Cereal grains","Truck","60.5293","20.17938315","3.4986"
"Arkansas","Missouri","Cereal grains","Truck","130.6561","37.45564238","7.8011"
"Arkansas","Oklahoma","Cereal grains","Truck","127.7581","40.20010054","7.3842"
"Arkansas","Tennessee","Cereal grains","Truck","26.4585","9.47881181","1.5334"
"Arkansas","Texas","Cereal grains","Truck","44.8510","23.77672365","2.5942"
"California","Arizona","Cereal grains","Truck","34.9551","15.05339788","10.3874"
"California","California","Cereal grains","Truck","21735.4299","1739.35567783","1531.2008"
"California","California","Cereal grains","Other and unknown","18.4369","2.12734841","0.1818"
"California","Florida","Cereal grains","Rail","16.9830","57.30905762","31.6940"
"California","Georgia","Cereal grains","Truck","2.9960","7.49773818","0.4589"
"California","Hawaii","Cereal grains","Water","18.8890","47.89320514","89.8208"
"California","Indiana","Cereal grains","Truck","1.6000","3.32790863","3.9296"
"California","Louisiana","Cereal grains","Truck","5.1860","11.82677701","1.6756"
"California","Louisiana","Cereal grains","Rail","0.0000","0.00000000","0.8004"
"California","Maryland","Cereal grains","Rail","3.7900","11.10193747","36.1031"
"California","Michigan","Cereal grains","Rail","59.6020","144.28995986","22.4296"
"California","Minnesota","Cereal grains","Truck","4.5060","9.21441264","1.8343"
"California","Minnesota","Cereal grains","Rail","143.1620","294.21331038","13.7437"
"California","Missouri","Cereal grains","Multiple modes & mail","5.1990","10.60248091","0.3692"
"California","Montana","Cereal grains","Truck","0.0000","0.00000000","0.1150"
"California","Nevada","Cereal grains","Truck","4.7157","1.36154112","0.2745"
"California","Oregon","Cereal grains","Truck","5.9209","3.60381037","1.3023"
"California","Pennsylvania","Cereal grains","Truck","0.9000","2.49955200","0.4715"
"California","Texas","Cereal grains","Truck","4.2800","8.19530130","0.4255"
"California","Texas","Cereal grains","Rail","555.9770","1030.13185769","67.1035"
"California","Utah","Cereal grains","Truck","1.1370","0.74399973","0.0736"
"Colorado","Alabama","Cereal grains","Truck","109.1860","151.26255437","9.0251"
"Colorado","Arizona","Cereal grains","Truck","6.4470","5.07343832","15.1947"
"Colorado","California","Cereal grains","Truck","46.7670","48.17908778","6.6182"
"Colorado","California","Cereal grains","Rail","31.9490","38.95194484","32.5438"
"Colorado","Colorado","Cereal grains","Truck","4753.9250","441.19918794","412.0381"
"Colorado","Connecticut","Cereal grains","Truck","16.2660","31.83930346","7.2208"
"Colorado","Illinois","Cereal grains","Rail","3.5510","3.84817687","0.7970"
"Colorado","Kansas","Cereal grains","Truck","1066.0925","619.31141136","128.7706"
"Colorado","Kansas","Cereal grains","Rail","61.6520","44.51140117","8.2616"
"Colorado","Missouri","Cereal grains","Truck","21.6400","14.51174831","1.5398"
"Colorado","Missouri","Cereal grains","Rail","457.6490","344.77705312","10.5099"
"Colorado","Montana","Cereal grains","Truck","353.6790","284.61053306","4.9116"
"Colorado","Nebraska","Cereal grains","Truck","526.9144","297.65102082","34.3468"
"Colorado","New Jersey","Cereal grains","Rail","39.0500","79.96947599","27.7932"
"Colorado","New Mexico","Cereal grains","Truck","6.4965","2.89604050","0.3758"
"Colorado","Ohio","Cereal grains","Truck","29.4340","39.93243835","8.6882"
"Colorado","Oklahoma","Cereal grains","Truck","201.8846","147.07259636","2.2499"
"Colorado","South Dakota","Cereal grains","Truck","0.0027","0.00179491","0.0001"
"Colorado","Tennessee","Cereal grains","Truck","182.3240","238.71793426","29.5895"
"Colorado","Texas","Cereal grains","Truck","683.7882","597.54152696","54.3808"
"Colorado","Texas","Cereal grains","Rail","148.6621","158.39899035","27.2055"
"Colorado","Utah","Cereal grains","Truck","2.2529","1.11877797","0.1304"
"Colorado","Washington","Cereal grains","Multiple modes & mail","14.6640","23.59028201","0.0000"
"Colorado","Wyoming","Cereal grains","Truck","10.4952","3.80238174","0.6066"
"Connecticut","Connecticut","Cereal grains","Truck","1587.3678","47.09638899","91.7202"
"Connecticut","Delaware","Cereal grains","Truck","2.2307","0.47625392","0.1290"
"Connecticut","Washington DC","Cereal grains","Truck","0.0006","0.00018042","0.0001"
"Connecticut","Maine","Cereal grains","Truck","0.5107","0.14962602","0.0296"
"Connecticut","Maryland","Cereal grains","Truck","2.7374","0.82868725","0.1584"
"Connecticut","Massachusetts","Cereal grains","Truck","31.2378","3.25520664","1.8085"
"Connecticut","New Hampshire","Cereal grains","Truck","1.7157","0.28665062","0.0994"
"Connecticut","New Jersey","Cereal grains","Truck","19.8354","2.65252381","1.1491"
"Connecticut","New York","Cereal grains","Truck","68.3076","7.69636291","3.9559"
"Connecticut","Pennsylvania","Cereal grains","Truck","21.3821","5.23145415","1.2367"
"Connecticut","Rhode Island","Cereal grains","Truck","4.9654","0.44882276","0.2876"
"Connecticut","Vermont","Cereal grains","Truck","2.5976","0.59655061","0.1502"
"Connecticut","Virginia","Cereal grains","Truck","0.0002","0.00006612","0.0000"
"Delaware","Connecticut","Cereal grains","Truck","0.6798","0.16995314","0.0395"
"Delaware","Delaware","Cereal grains","Truck","960.8293","33.11362324","67.3567"
"Delaware","Delaware","Cereal grains","Other and unknown","25.6370","0.73654052","1.6698"
"Delaware","Washington DC","Cereal grains","Truck","0.0043","0.00044616","0.0005"
"Delaware","Maryland","Cereal grains","Truck","214.7695","23.80768314","11.8219"
"Delaware","Massachusetts","Cereal grains","Truck","0.0595","0.02019281","0.0035"
"Delaware","New Jersey","Cereal grains","Truck","256.2135","14.48234280","15.9118"
"Delaware","New York","Cereal grains","Truck","10.1929","3.00771132","4.3853"
"Delaware","North Carolina","Cereal grains","Truck","0.3439","0.15409408","0.0199"
