"DMS ORIG","DMS DEST","SCTG2","DMS_MODE","Total KTons in 2007","Total Ton-Mile in 2007","Total M$ in 2007"
"Alabama","Alabama","Other ag prods.","Truck","2993.9527","256.39493015","1091.723"
"Alabama","Arizona","Other ag prods.","Truck","0.0002","0.00034268","0.0001"
"Alabama","Arkansas","Other ag prods.","Truck","0.5142","0.26088514","0.0409"
"Alabama","California","Other ag prods.","Truck","0.4072","0.90362813","4.4545"
"Alabama","Colorado","Other ag prods.","Truck","1.917","2.55367587","2.9536"
"Alabama","Connecticut","Other ag prods.","Truck","0.0007","0.00076728","0.0003"
"Alabama","Delaware","Other ag prods.","Truck","0.0005","0.00043589","0.0002"
"Alabama","Washington DC","Other ag prods.","Truck","0.0011","0.00084642","0.0005"
"Alabama","Florida","Other ag prods.","Truck","73.6831","34.65649846","39.0395"
"Alabama","Georgia","Other ag prods.","Truck","250.7726","54.83118765","65.8144"
"Alabama","Idaho","Other ag prods.","Truck","0","0","0"
"Alabama","Illinois","Other ag prods.","Truck","1.0537","0.76140069","1.5762"
"Alabama","Indiana","Other ag prods.","Truck","1.0311","0.75626568","7.3293"
"Alabama","Iowa","Other ag prods.","Truck","0.0797","0.06557646","0.2562"
"Alabama","Kansas","Other ag prods.","Truck","0.0026","0.00213684","0.0014"
"Alabama","Kentucky","Other ag prods.","Truck","2.0275","1.25074685","4.0419"
"Alabama","Louisiana","Other ag prods.","Truck","49.6499","20.90751168","42.2457"
"Alabama","Maine","Other ag prods.","Truck","0.0001","0.00013989","0"
"Alabama","Maryland","Other ag prods.","Truck","0.0047","0.00379794","0.0024"
"Alabama","Massachusetts","Other ag prods.","Truck","0.0011","0.00136435","0.0006"
"Alabama","Michigan","Other ag prods.","Truck","0.0081","0.00643162","0.0043"
"Alabama","Minnesota","Other ag prods.","Truck","0.084","0.08844047","0.5114"
"Alabama","Mississippi","Other ag prods.","Truck","79.4225","18.4077218","36.3429"
"Alabama","Missouri","Other ag prods.","Truck","0.4079","0.28561304","0.1349"
"Alabama","Montana","Other ag prods.","Truck","0","0","0"
"Alabama","Nebraska","Other ag prods.","Truck","0.0008","0.00079423","0.0003"
"Alabama","Nevada","Other ag prods.","Truck","0.0001","0.0001848","0"
"Alabama","New Hampshire","Other ag prods.","Truck","0.0001","0.00012551","0.0001"
"Alabama","New Jersey","Other ag prods.","Truck","0.0035","0.0034407","0.0017"
"Alabama","New Mexico","Other ag prods.","Truck","0.0002","0.00025526","0.0001"
"Alabama","New York","Other ag prods.","Truck","0.0058","0.00593346","0.0029"
"Alabama","North Carolina","Other ag prods.","Truck","47.126","26.07891548","38.4188"
"Alabama","North Dakota","Other ag prods.","Truck","0","0","0"
"Alabama","Ohio","Other ag prods.","Truck","14.1998","8.78116024","6.9785"
"Alabama","Oklahoma","Other ag prods.","Truck","0.247","0.18136269","0.9804"
"Alabama","Oregon","Other ag prods.","Truck","0","0","0"
"Alabama","Pennsylvania","Other ag prods.","Truck","0.0081","0.00694527","0.0041"
"Alabama","Rhode Island","Other ag prods.","Truck","0.0001","0.00011896","0.0001"
"Alabama","South Carolina","Other ag prods.","Truck","7.9157","4.44600789","14.0631"
"Alabama","South Dakota","Other ag prods.","Truck","0.0001","0.00012156","0.0001"
"Alabama","Tennessee","Other ag prods.","Truck","99.1921","28.819912","46.4723"
