"DMS ORIG","DMS DEST","DMS_MODE","Total KTons in 2007","Total Ton-Mile in 2007","Total M$ in 2007"
"Alabama","Alabama","Truck","235684.3723","19157.4380602","94815.3038"
"Alabama","Alaska","Truck","1.0006","4.19878084","7.9733"
"Alabama","Arizona","Truck","130.749","222.38296265","470.5302"
"Alabama","Arkansas","Truck","795.5405","367.0836803","1042.5144"
"Alabama","California","Truck","577.7773","1230.37531851","2349.1123"
"Alabama","Colorado","Truck","131.1814","178.50455517","366.9865"
"Alabama","Connecticut","Truck","68.8526","77.59458841","240.6658"
"Alabama","Delaware","Truck","48.1528","42.13390086","197.7903"
"Alabama","Washington DC","Truck","1.5198","1.15821957","6.6928"
"Alabama","Florida","Truck","5534.4123","2951.73435966","7092.2062"
"Alabama","Georgia","Truck","11567.9254","2604.16075495","12315.5682"
"Alabama","Idaho","Truck","27.8626","60.11058667","131.3387"
"Alabama","Illinois","Truck","1289.9905","893.07063304","2342.6495"
"Alabama","Indiana","Truck","692.4703","401.14896919","1267.931"
"Alabama","Iowa","Truck","165.2217","140.64487735","402.032"
"Alabama","Kansas","Truck","154.9141","125.69357206","462.5791"
"Alabama","Kentucky","Truck","1637.5715","671.23868103","2446.6041"
"Alabama","Louisiana","Truck","1756.2605","579.88564889","1868.7514"
"Alabama","Maine","Truck","70.7283","99.33531385","130.8766"
"Alabama","Maryland","Truck","370.2015","301.02100702","1081.9273"
"Alabama","Massachusetts","Truck","247.7501","303.36577605","607.6867"
"Alabama","Michigan","Truck","397.2612","310.4439436","1553.3127"
"Alabama","Minnesota","Truck","239.8201","258.73384211","454.4303"
"Alabama","Mississippi","Truck","9064.594","2083.59635242","5274.1336"
"Alabama","Missouri","Truck","704.5814","418.18082435","1066.7679"
"Alabama","Montana","Truck","22.2866","45.49198704","40.4998"
"Alabama","Nebraska","Truck","261.4132","254.72733791","364.7547"
"Alabama","Nevada","Truck","19.7888","42.43210793","88.867"
"Alabama","New Hampshire","Truck","37.3832","47.72122367","122.1235"
"Alabama","New Jersey","Truck","281.3197","271.09440633","995.7658"
"Alabama","New Mexico","Truck","34.1528","43.14065141","173.5661"
"Alabama","New York","Truck","295.8206","301.48610064","956.3108"
"Alabama","North Carolina","Truck","1871.2007","954.22598591","3403.7775"
"Alabama","North Dakota","Truck","9.6704","13.56670632","32.7542"
"Alabama","Ohio","Truck","1079.423","705.794345229999","2214.9342"
"Alabama","Oklahoma","Truck","328.1438","241.4512669","617.387"
"Alabama","Oregon","Truck","104.1299","268.19727831","168.3095"
"Alabama","Pennsylvania","Truck","969.918199999999","830.62263566","2115.8234"
"Alabama","Rhode Island","Truck","19.2223","23.20711936","27.3978"
"Alabama","South Carolina","Truck","2153.148","799.14636338","2536.2415"
"Alabama","South Dakota","Truck","19.7456","23.93276062","35.8371"
"Alabama","Tennessee","Truck","6937.4201","1802.22443767","6006.2572"
"Alabama","Texas","Truck","2552.1477","1821.61811955","4253.4155"
"Alabama","Utah","Truck","67.5346","123.20992346","227.8628"
"Alabama","Vermont","Truck","4.3072","5.35900337","20.6167"
"Alabama","Virginia","Truck","458.1773","297.75536933","911.2795"
"Alabama","Washington","Truck","127.0318","329.54206031","931.7471"
"Alabama","West Virginia","Truck","146.027","93.32921999","245.9853"
"Alabama","Wisconsin","Truck","518.6575","454.05874452","790.8139"
"Alabama","Wyoming","Truck","7.6843","12.51434988","19.7946"
"Alaska","Alabama","Truck","0.0688","0.29365047","0.0539"
"Alaska","Alaska","Truck","25428.0506","5310.83285527","14504.6374"
"Alaska","Arizona","Truck","0.11","0.40258036","0.0834"
"Alaska","Arkansas","Truck","0.0595","0.23363956","0.0306"
"Alaska","California","Truck","5.1535","16.98584619","27.9799"
"Alaska","Colorado","Truck","0.1746","0.56170073","0.1226"
"Alaska","Connecticut","Truck","0.6218","2.78427049","0.6245"
"Alaska","Delaware","Truck","0.3605","1.56076583","0.4333"
"Alaska","Washington DC","Truck","0.1652","0.7062165","0.201"
"Alaska","Florida","Truck","6.1062","28.88964594","7.3993"
"Alaska","Georgia","Truck","5.4461","23.47034538","6.8096"
"Alaska","Idaho","Truck","1.3419","3.66044657","1.5798"
"Alaska","Illinois","Truck","4.7499","17.05681408","6.3772"
"Alaska","Indiana","Truck","2.0687","7.75368951","2.3795"
"Alaska","Iowa","Truck","1.132","3.85016591","1.2996"
"Alaska","Kansas","Truck","1.0525","3.78457596","1.2306"
"Alaska","Kentucky","Truck","1.6837","6.61812478","1.9948"
"Alaska","Louisiana","Truck","1.8776","8.13713026","2.2594"
"Alaska","Maine","Truck","0.3454","1.61827866","0.4135"
"Alaska","Maryland","Truck","1.6761","7.17407906","2.0169"
"Alaska","Massachusetts","Truck","1.2345","5.62698363","2.023"
"Alaska","Michigan","Truck","2.4419","9.23920467","2.8329"
"Alaska","Minnesota","Truck","2.2557","7.11708982","2.5952"
"Alaska","Mississippi","Truck","1.4471","6.05290272","1.7311"
"Alaska","Missouri","Truck","3.2819","12.16521519","3.9123"
"Alaska","Montana","Truck","3.0501","7.55191821","4.1971"
"Alaska","Nebraska","Truck","0.8298","2.78066087","0.9733"
"Alaska","Nevada","Truck","2.0561","6.85598804","2.6507"
"Alaska","New Hampshire","Truck","0.2456","1.11799962","0.2891"
"Alaska","New Jersey","Truck","1.5275","6.65862028","1.8155"
"Alaska","New Mexico","Truck","1.0281","3.70118372","1.2402"
"Alaska","New York","Truck","4.1118","17.85907435","9.58999999999999"
"Alaska","North Carolina","Truck","4.6434","20.26850641","5.568"
"Alaska","North Dakota","Truck","0.4634","1.30606227","0.5468"
"Alaska","Ohio","Truck","3.6083","14.07718276","4.2241"
"Alaska","Oklahoma","Truck","2.1616","8.29693215","3.5138"
"Alaska","Oregon","Truck","7.9683","20.17777175","9.4277"
"Alaska","Pennsylvania","Truck","2.6282","11.07893716","3.6172"
"Alaska","Rhode Island","Truck","0.1923","0.87430422","0.2271"
"Alaska","South Carolina","Truck","2.4873","10.95017305","2.9856"
"Alaska","South Dakota","Truck","0.3915","1.21029562","0.4568"
"Alaska","Tennessee","Truck","2.6506","10.7694607","3.5116"
"Alaska","Texas","Truck","11.7662","48.36069488","14.2801"
"Alaska","Utah","Truck","2.2849","6.89592297","2.689"
"Alaska","Vermont","Truck","0.1457","0.65346688","0.1724"
"Alaska","Virginia","Truck","6.7169","29.09023932","8.122"
"Alaska","Washington","Truck","155.4877","361.74298158","102.6672"
"Alaska","West Virginia","Truck","0.5085","2.08344923","0.6074"
"Alaska","Wisconsin","Truck","1.9086","6.54709647","2.1593"
"Alaska","Wyoming","Truck","1.4217","4.06030551","1.5052"
"Arizona","Alabama","Truck","50.2084000000002","85.0604934300001","113.2968"
"Arizona","Alaska","Truck","2.0496","7.43708468","211.3508"
"Arizona","Arizona","Truck","210920.8433","16366.41486087","129706.7899"
"Arizona","Arkansas","Truck","79.2228000000001","103.6705758","591.3895"
"Arizona","California","Truck","6551.8229","3145.79535498","12032.0371"
"Arizona","Colorado","Truck","750.9839","599.12708972","1219.1915"
"Arizona","Connecticut","Truck","4.3924","11.22680737","350.804199999999"
"Arizona","Delaware","Truck","2.9024","6.85897448","26.1148"
"Arizona","Washington DC","Truck","0.6104","1.41107207","23.4005"
"Arizona","Florida","Truck","71.3247000000002","155.54741211","528.505899999998"
"Arizona","Georgia","Truck","127.464","236.34985871","249.7591"
"Arizona","Idaho","Truck","49.6966","50.61393405","111.0924"
"Arizona","Illinois","Truck","268.0993","462.81972383","633.657299999998"
"Arizona","Indiana","Truck","49.6272","87.34868763","1071.626"
"Arizona","Iowa","Truck","163.743","261.6102671","982.4393"
"Arizona","Kansas","Truck","21.1946","26.42495162","240.178"
"Arizona","Kentucky","Truck","123.0143","218.7835601","1869.1707"
"Arizona","Louisiana","Truck","101.8896","148.19448937","182.227"
"Arizona","Maine","Truck","1.7056","4.8275434","5.2535"
"Arizona","Maryland","Truck","17.8483","41.6174382","65.9606000000002"
"Arizona","Massachusetts","Truck","14.3424","38.29513228","84.9753000000001"
"Arizona","Michigan","Truck","51.7139","102.30259376","340.024699999999"
"Arizona","Minnesota","Truck","34.1355","60.61617549","289.9745"
"Arizona","Mississippi","Truck","5.1277","7.7330445","17.6798"
"Arizona","Missouri","Truck","115.0345","160.14523428","267.5221"
"Arizona","Montana","Truck","27.4375","33.29135568","80.8194"
"Arizona","Nebraska","Truck","15.6517","20.50935949","61.5262000000001"
"Arizona","Nevada","Truck","2313.7915","804.662122129999","3468.9243"
"Arizona","New Hampshire","Truck","2.165","5.78779719","6.1583"
"Arizona","New Jersey","Truck","34.7045","84.43416212","199.313"
"Arizona","New Mexico","Truck","2500.2058","1181.33105332","5266.3993"
"Arizona","New York","Truck","89.1858000000003","212.58548847","299.655"
"Arizona","North Carolina","Truck","73.8739000000003","157.9343255","578.561699999998"
"Arizona","North Dakota","Truck","16.1719","26.68259733","66.5854000000001"
"Arizona","Ohio","Truck","161.584200000001","321.57208007","596.977299999997"
"Arizona","Oklahoma","Truck","47.7382000000001","49.00205251","328.8786"
"Arizona","Oregon","Truck","107.9771","139.04666475","673.938699999999"
"Arizona","Pennsylvania","Truck","195.6397","456.37112979","408.3345"
"Arizona","Rhode Island","Truck","2.6192","6.78945987","10.874"
"Arizona","South Carolina","Truck","36.003","73.73557751","158.7448"
"Arizona","South Dakota","Truck","14.0794","20.33088436","24.5486"
"Arizona","Tennessee","Truck","80.4124000000002","132.95239954","120.3766"
"Arizona","Texas","Truck","1288.6949","1044.1948064","4285.84740000002"
"Arizona","Utah","Truck","1100.7181","710.77236109","1556.2937"
"Arizona","Vermont","Truck","1.4376","3.77680616","28.01"
"Arizona","Virginia","Truck","26.9704","60.64553342","165.8478"
"Arizona","Washington","Truck","180.0048","265.20909714","1114.5462"
"Arizona","West Virginia","Truck","9.94139999999999","20.00108795","274.3516"
"Arizona","Wisconsin","Truck","102.6813","194.62846471","315.4978"
"Arizona","Wyoming","Truck","35.5425","35.20886095","97.3442"
"Arkansas","Alabama","Truck","1126.2883","501.19289832","1660.8667"
"Arkansas","Alaska","Truck","1.1451","4.48094778","4.0006"
"Arkansas","Arizona","Truck","198.8069","260.57886298","358.9073"
"Arkansas","Arkansas","Truck","125760.2511","11908.7392109","52086.5157"
"Arkansas","California","Truck","944.936499999999","1610.47591596","2633.8413"
"Arkansas","Colorado","Truck","247.0571","236.51519254","420.2359"
"Arkansas","Connecticut","Truck","33.122","45.46981418","123.6031"
"Arkansas","Delaware","Truck","45.0588","51.84584071","46.2552"
"Arkansas","Washington DC","Truck","0.7323","0.77303876","3.1607"
"Arkansas","Florida","Truck","635.1641","629.9769868","1682.8368"
"Arkansas","Georgia","Truck","883.174","550.82332474","1729.2689"
"Arkansas","Idaho","Truck","33.7002","58.54010498","78.8523"
"Arkansas","Illinois","Truck","1499.3576","868.2530784","1958.3283"
"Arkansas","Indiana","Truck","720.6155","441.95291303","1504.7455"
"Arkansas","Iowa","Truck","227.2093","135.21579805","427.0912"
"Arkansas","Kansas","Truck","801.3011","321.70475269","916.1152"
"Arkansas","Kentucky","Truck","978.8238","543.99624911","1734.9578"
"Arkansas","Louisiana","Truck","3794.6266","1404.75680232","2603.1977"
"Arkansas","Maine","Truck","12.2608","20.2656625","37.2673"
"Arkansas","Maryland","Truck","89.3364000000001","98.7414853099999","522.5599"
"Arkansas","Massachusetts","Truck","69.0729","101.87574944","159.6723"
"Arkansas","Michigan","Truck","382.9998","330.3681543","1080.3875"
"Arkansas","Minnesota","Truck","256.5044","214.26037699","426.8543"
"Arkansas","Mississippi","Truck","1912.5535","639.29494206","2203.4464"
"Arkansas","Missouri","Truck","3020.1919","908.65372954","2779.9615"
"Arkansas","Montana","Truck","14.5407","24.0811593","58.2955"
"Arkansas","Nebraska","Truck","151.717","92.83787364","238.9554"
"Arkansas","Nevada","Truck","75.0279","120.88793131","191.9268"
"Arkansas","New Hampshire","Truck","10.9307","16.50039644","40.208"
"Arkansas","New Jersey","Truck","161.0855","200.27601653","608.5393"
"Arkansas","New Mexico","Truck","49.5757","43.46186987","85.7894"
"Arkansas","New York","Truck","327.548","393.66607431","672.0108"
"Arkansas","North Carolina","Truck","794.8205","675.57499491","1311.2454"
"Arkansas","North Dakota","Truck","32.2421","35.32805147","34.2356"
"Arkansas","Ohio","Truck","1302.7048","1046.80133454","1643.2429"
"Arkansas","Oklahoma","Truck","3590.0445","1122.28466366","4071.2162"
"Arkansas","Oregon","Truck","107.3208","236.14466548","170.5422"
"Arkansas","Pennsylvania","Truck","613.8618","671.10708774","1341.0923"
"Arkansas","Rhode Island","Truck","20.1304","29.51033205","20.9624"
"Arkansas","South Carolina","Truck","650.7704","550.30178565","997.3086"
"Arkansas","South Dakota","Truck","37.2791","32.07441618","46.3473"
"Arkansas","Tennessee","Truck","3381.5572","1114.27512455","4532.9834"
"Arkansas","Texas","Truck","7689.9272","3504.44983006","8328.628"
"Arkansas","Utah","Truck","134.2956","192.64171445","1126.4071"
"Arkansas","Vermont","Truck","1.1033","1.59984133","3.1765"
"Arkansas","Virginia","Truck","344.231","341.34475099","841.7393"
"Arkansas","Washington","Truck","74.0106","165.25522331","185.4306"
"Arkansas","West Virginia","Truck","70.4434","56.65565604","114.7564"
"Arkansas","Wisconsin","Truck","409.6575","325.11588779","647.5295"
"Arkansas","Wyoming","Truck","21.2432","26.4475714","53.2981"
"California","Alabama","Truck","383.355799999999","804.874612869999","2121.7933"
"California","Alaska","Truck","87.0984","289.9431745","345.1775"
"California","Arizona","Truck","10192.9732","4637.18070633","23310.7637"
"California","Arkansas","Truck","308.0243","524.6348031","1424.3079"
"California","California","Truck","995199.7172","94974.3258031401","857286.368300001"
"California","Colorado","Truck","2035.6129","2218.52545951","7147.95100000001"
"California","Connecticut","Truck","264.3038","782.18280681","1080.9366"
"California","Delaware","Truck","74.4437000000001","203.25138985","856.1208"
"California","Washington DC","Truck","16.2632","43.34065831","332.7444"
"California","Florida","Truck","2113.6884","5657.85780916","12260.2805"
"California","Georgia","Truck","1228.358","2834.43295185","5028.0476"
"California","Idaho","Truck","675.8024","559.64045695","1938.9237"
"California","Illinois","Truck","2705.4715","5485.6103444","9843.42549999998"
"California","Indiana","Truck","1063.7925","2276.79289388","5522.63710000001"
"California","Iowa","Truck","547.1978","981.144682539999","2347.2808"
"California","Kansas","Truck","414.474799999999","647.29848524","1938.8541"
"California","Kentucky","Truck","599.380299999999","1299.05111062","9714.49509999999"
"California","Louisiana","Truck","286.1614","540.96816166","1103.769"
"California","Maine","Truck","65.889","211.63318633","506.1036"
"California","Maryland","Truck","614.953299999999","1665.61501225","6125.554"
"California","Massachusetts","Truck","674.8448","2064.60509132","4966.789"
"California","Michigan","Truck","709.577399999999","1627.52489854","3374.19110000001"
"California","Minnesota","Truck","717.2461","1422.97307845","3014.9105"
"California","Mississippi","Truck","131.6046","257.475544","992.0952"
"California","Missouri","Truck","786.187999999999","1434.78789571","3302.05010000001"
"California","Montana","Truck","233.7408","277.4637429","947.508599999999"
"California","Nebraska","Truck","335.4672","517.04899881","1234.1939"
"California","Nevada","Truck","13406.1079","4415.63079616","17505.1962"
