"DMS ORIG","DMS DEST","SCTG2","DMS_MODE","Total KTons in 2012","Total Ton-Mile in 2012","Total M$ in 2012","Total Current M$ in 2012"
"Alabama","Alabama","Logs","Truck","75029.7094","6597.59942548","1905.3609","1806.1142"
"Alabama","Arizona","Logs","Truck","0.0001","0.00013879","0","0"
"Alabama","Arkansas","Logs","Truck","21.9874","10.15527888","8.892","8.4288"
"Alabama","California","Logs","Truck","0.0001","0.00016406","0","0"
"Alabama","Colorado","Logs","Truck","0.0003","0.00043436","0","0"
"Alabama","Connecticut","Logs","Truck","0.0004","0.00045822","0","0"
"Alabama","Delaware","Logs","Truck","0.0003","0.00027626","0","0"
"Alabama","Washington DC","Logs","Truck","0.0007","0.00054627","0","0"
"Alabama","Florida","Logs","Truck","166.5218","79.51664973","2.7023","2.5617"
"Alabama","Georgia","Logs","Truck","202.1342","51.09095291","8.5463","8.1011"
"Alabama","Idaho","Logs","Truck","0","0","0","0"
"Alabama","Illinois","Logs","Truck","49.5451","31.64759615","21.5696","20.446"
"Alabama","Indiana","Logs","Truck","0.0189","0.01087102","0.0009","0.0009"
"Alabama","Iowa","Logs","Truck","0.0964","0.0958671","0.0428","0.0405"
"Alabama","Kansas","Logs","Truck","3.3514","2.88374986","1.1897","1.1278"
"Alabama","Kentucky","Logs","Truck","215.9219","87.22273782","69.3474","65.7351"
"Alabama","Louisiana","Logs","Truck","7.8305","4.12157173","3.5995","3.4122"
"Alabama","Maine","Logs","Truck","0","0","0","0"
"Alabama","Maryland","Logs","Truck","0.0038","0.00304965","0.0002","0.0002"
"Alabama","Massachusetts","Logs","Truck","0.0005","0.00064725","0","0"
"Alabama","Michigan","Logs","Truck","0.0047","0.0035643","0.0001","0.0001"
"Alabama","Minnesota","Logs","Truck","0.0016","0.00186226","0","0"
"Alabama","Mississippi","Logs","Truck","2253.1442","531.51803476","90.624","85.9035"
"Alabama","Missouri","Logs","Truck","83.7719","49.94539466","23.3805","22.1626"
"Alabama","Montana","Logs","Truck","0","0","0","0"
"Alabama","Nebraska","Logs","Truck","0.0008","0.00081575","0","0"
"Alabama","Nevada","Logs","Truck","0","0","0","0"
"Alabama","New Hampshire","Logs","Truck","0.0002","0.00030562","0","0"
"Alabama","New Jersey","Logs","Truck","0.0031","0.00296832","0","0"
"Alabama","New Mexico","Logs","Truck","0.0002","0.00031078","0","0"
"Alabama","New York","Logs","Truck","0.0032","0.0032641","0.0001","0.0001"
"Alabama","North Carolina","Logs","Truck","0.0437","0.02191761","0.0022","0.0021"
"Alabama","North Dakota","Logs","Truck","0","0","0","0"
"Alabama","Ohio","Logs","Truck","27.4036","18.71172939","11.8488","11.2316"
"Alabama","Oklahoma","Logs","Truck","0.003","0.0024233","0","0"
"Alabama","Oregon","Logs","Truck","5.6332","14.97605918","2.3748","2.2511"
"Alabama","Pennsylvania","Logs","Truck","0.0041","0.0036229","0.0002","0.0002"
"Alabama","Rhode Island","Logs","Truck","0.0001","0.0001368","0","0"
"Alabama","South Carolina","Logs","Truck","0.0466","0.01857233","0.0024","0.0023"
"Alabama","South Dakota","Logs","Truck","0","0","0","0"
"Alabama","Tennessee","Logs","Truck","743.8068","204.15229612","64.8863","61.5065"
"Alabama","Texas","Logs","Truck","0.0319","0.02108265","0.0016","0.0015"
"Alabama","Utah","Logs","Truck","0","0","0","0"
"Alabama","Vermont","Logs","Truck","0","0","0","0"
"Alabama","Virginia","Logs","Truck","0.0115","0.00768333","0.0004","0.0004"
"Alabama","Washington","Logs","Truck","5.5824","15.21288707","2.3771","2.2533"
"Alabama","West Virginia","Logs","Truck","9.0543","5.82782405","4.7548","4.5071"
"Alabama","Wisconsin","Logs","Truck","0.0048","0.00422811","0","0"
"Alabama","Wyoming","Logs","Truck","0","0","0","0"
"Alaska","Alabama","Logs","Truck","0.0003","0.00144172","0","0"
"Alaska","Alaska","Logs","Truck","1524.7799","318.46134231","51.4426","48.763"
"Alaska","Arizona","Logs","Truck","0.0012","0.0045396","0","0"
"Alaska","Arkansas","Logs","Truck","0.0003","0.00133135","0","0"
"Alaska","California","Logs","Truck","0.0099","0.03241171","0.0006","0.0006"
"Alaska","Colorado","Logs","Truck","0.0017","0.00543795","0.0001","0.0001"
"Alaska","Connecticut","Logs","Truck","0.0002","0.00101077","0","0"
"Alaska","Delaware","Logs","Truck","0.0001","0.00048929","0","0"
"Alaska","Washington DC","Logs","Truck","0.0001","0.00048313","0","0"
"Alaska","Florida","Logs","Truck","0.0017","0.00848059","0","0"
"Alaska","Georgia","Logs","Truck","0.0008","0.0033922","0","0"
"Alaska","Idaho","Logs","Truck","0.0015","0.00398462","0.0001","0.0001"
"Alaska","Illinois","Logs","Truck","0.0023","0.00808257","0.0001","0.0001"
"Alaska","Indiana","Logs","Truck","0.001","0.00381083","0","0"
"Alaska","Iowa","Logs","Truck","0.0007","0.00230635","0","0"
"Alaska","Kansas","Logs","Truck","0.0005","0.00202762","0","0"
"Alaska","Kentucky","Logs","Truck","0.0004","0.00177743","0","0"
"Alaska","Louisiana","Logs","Truck","0.0003","0.00146827","0","0"
"Alaska","Maine","Logs","Truck","0.0001","0.00052951","0","0"
"Alaska","Maryland","Logs","Truck","0.0004","0.00193332","0","0"
"Alaska","Massachusetts","Logs","Truck","0.0006","0.00257434","0","0"
"Alaska","Michigan","Logs","Truck","0.0012","0.00472385","0","0"
"Alaska","Minnesota","Logs","Truck","0.0014","0.00464434","0.0001","0.0001"
"Alaska","Mississippi","Logs","Truck","0.0002","0.00094545","0","0"
"Alaska","Missouri","Logs","Truck","0.001","0.00375599","0","0"
"Alaska","Montana","Logs","Truck","0.001","0.00250389","0.0001","0.0001"
"Alaska","Nebraska","Logs","Truck","0.0005","0.00151488","0","0"
"Alaska","Nevada","Logs","Truck","0.001","0.00336055","0","0"
"Alaska","New Hampshire","Logs","Truck","0.0001","0.00051446","0","0"
"Alaska","New Jersey","Logs","Truck","0.0007","0.00295554","0","0"
"Alaska","New Mexico","Logs","Truck","0.0003","0.00122059","0","0"
"Alaska","New York","Logs","Truck","0.0014","0.00635692","0","0"
"Alaska","North Carolina","Logs","Truck","0.0006","0.00295241","0","0"
"Alaska","North Dakota","Logs","Truck","0.0007","0.00205887","0","0"
"Alaska","Ohio","Logs","Truck","0.0013","0.0052924","0","0"
"Alaska","Oklahoma","Logs","Truck","0.0003","0.00130176","0","0"
"Alaska","Oregon","Logs","Truck","0.0043","0.0108033","0.0002","0.0002"
"Alaska","Pennsylvania","Logs","Truck","0.0011","0.00474096","0","0"
"Alaska","Rhode Island","Logs","Truck","0.0001","0.00051384","0","0"
"Alaska","South Carolina","Logs","Truck","0.0003","0.00148286","0","0"
"Alaska","South Dakota","Logs","Truck","0.0002","0.00069877","0","0"
"Alaska","Tennessee","Logs","Truck","0.0006","0.00275267","0","0"
"Alaska","Texas","Logs","Truck","0.0025","0.01018324","0","0"
"Alaska","Utah","Logs","Truck","0.0012","0.00373801","0","0"
"Alaska","Vermont","Logs","Truck","0","0","0","0"
"Alaska","Virginia","Logs","Truck","0.0007","0.00341357","0","0"
"Alaska","Washington","Logs","Truck","0.013","0.0301356","0.0008","0.0008"
"Alaska","West Virginia","Logs","Truck","0.0001","0.00046305","0","0"
"Alaska","Wisconsin","Logs","Truck","0.0012","0.00426238","0","0"
"Alaska","Wyoming","Logs","Truck","0.0002","0.00064554","0","0"
"Arizona","Alabama","Logs","Truck","0.005","0.00865893","0.0001","0.0001"
"Arizona","Alaska","Logs","Truck","0","0","0","0"
"Arizona","Arizona","Logs","Truck","1544.7386","122.4254632","96.4419","91.4187"
"Arizona","Arkansas","Logs","Truck","0.0058","0.00762986","0.0002","0.0002"
"Arizona","California","Logs","Truck","13.8778","5.82175803","3.7894","3.592"
"Arizona","Colorado","Logs","Truck","2.4718","1.88201712","1.1986","1.1362"
"Arizona","Connecticut","Logs","Truck","0.0007","0.00185995","0","0"
"Arizona","Delaware","Logs","Truck","0.0002","0.00057602","0","0"
"Arizona","Washington DC","Logs","Truck","0.0001","0.00017211","0","0"
"Arizona","Florida","Logs","Truck","0.0071","0.01551458","0.0001","0.0001"
"Arizona","Georgia","Logs","Truck","0.0054","0.01009532","0.0001","0.0001"
"Arizona","Idaho","Logs","Truck","0.0175","0.01704783","0.0009","0.0009"
"Arizona","Illinois","Logs","Truck","0.0091","0.01569472","0.0003","0.0003"
"Arizona","Indiana","Logs","Truck","0.0047","0.00832749","0.0002","0.0002"
"Arizona","Iowa","Logs","Truck","0.0039","0.0061678","0.0001","0.0001"
"Arizona","Kansas","Logs","Truck","0.0116","0.01343935","0.0007","0.0007"
"Arizona","Kentucky","Logs","Truck","0.0032","0.00577416","0.0001","0.0001"
"Arizona","Louisiana","Logs","Truck","0.008","0.0115564","0.0002","0.0002"
"Arizona","Maine","Logs","Truck","0.0002","0.00068601","0","0"
"Arizona","Maryland","Logs","Truck","0.0022","0.00536211","0","0"
"Arizona","Massachusetts","Logs","Truck","0.0012","0.00309246","0","0"
"Arizona","Michigan","Logs","Truck","0.0048","0.00946053","0.0001","0.0001"
"Arizona","Minnesota","Logs","Truck","0.0054","0.00971371","0.0001","0.0001"
"Arizona","Mississippi","Logs","Truck","0.0026","0.00390433","0.0001","0.0001"
"Arizona","Missouri","Logs","Truck","0.0108","0.01561967","0.0005","0.0005"
"Arizona","Montana","Logs","Truck","0.0046","0.00564128","0.0002","0.0002"
"Arizona","Nebraska","Logs","Truck","0.0055","0.00704446","0.0002","0.0002"
"Arizona","Nevada","Logs","Truck","11.1867","3.44237773","0.6153","0.5833"
"Arizona","New Hampshire","Logs","Truck","0.0002","0.00065017","0","0"
"Arizona","New Jersey","Logs","Truck","0.0027","0.00637962","0","0"
"Arizona","New Mexico","Logs","Truck","1.7596","0.75769049","0.1089","0.1032"
"Arizona","New York","Logs","Truck","0.0027","0.00677584","0.0001","0.0001"
"Arizona","North Carolina","Logs","Truck","0.0043","0.00946723","0","0"
"Arizona","North Dakota","Logs","Truck","0.0012","0.00199991","0","0"
"Arizona","Ohio","Logs","Truck","0.0076","0.01501007","0","0"
"Arizona","Oklahoma","Logs","Truck","0.0196","0.02011995","0.001","0.001"
"Arizona","Oregon","Logs","Truck","0.0089","0.01141015","0.0004","0.0004"
"Arizona","Pennsylvania","Logs","Truck","0.0051","0.01147681","0","0"
"Arizona","Rhode Island","Logs","Truck","0.0002","0.00064045","0","0"
"Arizona","South Carolina","Logs","Truck","0.0022","0.00473345","0","0"
"Arizona","South Dakota","Logs","Truck","0.0017","0.00240864","0.0001","0.0001"
"Arizona","Tennessee","Logs","Truck","0.0049","0.00788101","0.0003","0.0003"
"Arizona","Texas","Logs","Truck","0.2129","0.1708729","0.0131","0.0122"
"Arizona","Utah","Logs","Truck","0.3864","0.23085021","0.0237","0.0226"
"Arizona","Vermont","Logs","Truck","0.0002","0.0006378","0","0"
"Arizona","Virginia","Logs","Truck","0.0029","0.00615709","0","0"
"Arizona","Washington","Logs","Truck","0.0113","0.01603656","0.0006","0.0005"
"Arizona","West Virginia","Logs","Truck","0.0004","0.00081465","0","0"
"Arizona","Wisconsin","Logs","Truck","0.0033","0.00620465","0.0001","0.0001"
"Arizona","Wyoming","Logs","Truck","0.0078","0.00745974","0.0004","0.0003"
"Arkansas","Alabama","Logs","Truck","0.0324","0.01430823","0.0018","0.0018"
"Arkansas","Arizona","Logs","Truck","0.0005","0.00080366","0","0"
"Arkansas","Arkansas","Logs","Truck","21105.5057","1998.56442404","656.7133","622.5063"
"Arkansas","California","Logs","Truck","0.0009","0.001712","0","0"
"Arkansas","Colorado","Logs","Truck","0.0019","0.00179911","0","0"
"Arkansas","Connecticut","Logs","Truck","0.0002","0.000379","0","0"
"Arkansas","Delaware","Logs","Truck","0.0002","0.0001864","0","0"
"Arkansas","Washington DC","Logs","Truck","0.0002","0.00025704","0","0"
"Arkansas","Florida","Logs","Truck","0.0089","0.00883298","0.0002","0.0002"
"Arkansas","Georgia","Logs","Truck","0.0164","0.01006161","0.0009","0.0009"
"Arkansas","Idaho","Logs","Truck","0","0","0","0"
"Arkansas","Illinois","Logs","Truck","0.0326","0.01722175","0.0019","0.0019"
"Arkansas","Indiana","Logs","Truck","0.0129","0.00786385","0.0008","0.0008"
"Arkansas","Iowa","Logs","Truck","0.0047","0.00280854","0.0002","0.0002"
"Arkansas","Kansas","Logs","Truck","0.0344","0.01414111","0.0021","0.002"
"Arkansas","Kentucky","Logs","Truck","0.0193","0.01075109","0.0013","0.0012"
"Arkansas","Louisiana","Logs","Truck","1194.9545","421.10898799","42.5987","40.3798"
"Arkansas","Maine","Logs","Truck","0","0","0","0"
"Arkansas","Maryland","Logs","Truck","0.0018","0.00186607","0","0"
"Arkansas","Massachusetts","Logs","Truck","0.0002","0.00023926","0","0"
"Arkansas","Michigan","Logs","Truck","0.0032","0.00277468","0.0001","0.0001"
"Arkansas","Minnesota","Logs","Truck","0.0029","0.0024298","0.0001","0.0001"
"Arkansas","Mississippi","Logs","Truck","0.3716","0.1242066","0.0203","0.0193"
"Arkansas","Missouri","Logs","Truck","1.2474","0.35777137","0.6094","0.5776"
"Arkansas","Montana","Logs","Truck","0","0","0","0"
"Arkansas","Nebraska","Logs","Truck","0.0028","0.00171894","0.0001","0.0001"
"Arkansas","Nevada","Logs","Truck","0.0002","0.00035782","0","0"
"Arkansas","New Hampshire","Logs","Truck","0","0","0","0"
"Arkansas","New Jersey","Logs","Truck","0.0011","0.001394","0","0"
"Arkansas","New Mexico","Logs","Truck","0.0012","0.00106736","0","0"
"Arkansas","New York","Logs","Truck","0.0018","0.00239289","0","0"
"Arkansas","North Carolina","Logs","Truck","0.0051","0.00438413","0.0002","0.0002"
"Arkansas","North Dakota","Logs","Truck","0.0002","0.0002668","0","0"
"Arkansas","Ohio","Logs","Truck","0.0066","0.00492893","0.0003","0.0003"
"Arkansas","Oklahoma","Logs","Truck","37.6348","11.91004283","0.9585","0.9086"
"Arkansas","Oregon","Logs","Truck","0","0","0","0"
"Arkansas","Pennsylvania","Logs","Truck","0.0023","0.00227613","0","0"
"Arkansas","Rhode Island","Logs","Truck","0","0","0","0"
"Arkansas","South Carolina","Logs","Truck","0.0027","0.00221464","0.0002","0.0002"
"Arkansas","South Dakota","Logs","Truck","0.0007","0.00062852","0","0"
"Arkansas","Tennessee","Logs","Truck","2.8796","0.61802908","0.1576","0.1494"
"Arkansas","Texas","Logs","Truck","1.2303","0.60125761","0.076","0.072"
"Arkansas","Utah","Logs","Truck","0.0001","0.00017141","0","0"
"Arkansas","Vermont","Logs","Truck","0","0","0","0"
"Arkansas","Virginia","Logs","Truck","0.0039","0.00394629","0","0"
"Arkansas","Washington","Logs","Truck","0","0","0","0"
"Arkansas","West Virginia","Logs","Truck","0.0015","0.00117503","0","0"
"Arkansas","Wisconsin","Logs","Truck","0.0032","0.00253694","0.0002","0.0002"
"Arkansas","Wyoming","Logs","Truck","0.0002","0.00030316","0","0"
"California","Alabama","Logs","Truck","0.0009","0.00198356","0","0"
"California","Alaska","Logs","Truck","0","0","0","0"
