"DMS ORIG","DMS DEST","SCTG2","DMS_MODE","Total KTons in 2012","Total Ton-Mile in 2012","Total M$ in 2012","Total Current M$ in 2012"
"Alabama","Alabama","Wood prods.","Truck","10984.6909","1050.78564796","2396.118","2402.5071"
"Alabama","Alabama","Nonmetal min. prods.","Truck","22691.8199","1701.78330464","2838.7075","2817.687"
"Alabama","Alabama","Machinery","Truck","1574.3506","101.45140681","12057.6673","12096.0886"
"Alabama","Alaska","Nonmetal min. prods.","Truck","0","0","0","0"
"Alabama","Alaska","Machinery","Truck","1.0947","4.59345933","5.6422","5.6602"
"Alabama","Arizona","Wood prods.","Truck","0.0001","0.00019253","0.0001","0.0001"
"Alabama","Arizona","Nonmetal min. prods.","Truck","14.4793","24.58577001","11.5931","11.5072"
"Alabama","Arizona","Machinery","Truck","0.8793","1.42220196","3.5952","3.6066"
"Alabama","Arkansas","Wood prods.","Truck","78.9382","37.26075159","29.4367","29.5152"
"Alabama","Arkansas","Nonmetal min. prods.","Truck","181.4179","84.77119185","32.9698","32.7257"
"Alabama","Arkansas","Machinery","Truck","9.2685","4.24790777","40.3663","40.4949"
"Alabama","California","Wood prods.","Truck","6.7704","14.10868347","5.1876","5.2015"
"Alabama","California","Nonmetal min. prods.","Truck","35.5061","73.0606386","41.8796","41.5694"
"Alabama","California","Machinery","Truck","25.6063","53.78347639","100.1079","100.4268"
"Alabama","Colorado","Wood prods.","Truck","7.1386","9.72910358","2.693","2.7002"
"Alabama","Colorado","Nonmetal min. prods.","Truck","27.6752","37.94490899","31.3904","31.1579"
"Alabama","Colorado","Machinery","Truck","1.9219","2.71371768","16.7436","16.797"
"Alabama","Connecticut","Wood prods.","Truck","2.1127","2.40407355","1.9103","1.9155"
"Alabama","Connecticut","Nonmetal min. prods.","Truck","6.7548","7.69967228","14.674","14.5654"
"Alabama","Connecticut","Machinery","Truck","0.0129","0.01425314","2.8651","2.8742"
"Alabama","Delaware","Wood prods.","Truck","0.3927","0.34444721","0.1745","0.175"
"Alabama","Delaware","Nonmetal min. prods.","Truck","0.2587","0.22561444","0.8678","0.8613"
"Alabama","Delaware","Machinery","Truck","0.0009","0.00081287","0.0075","0.0076"
"Alabama","Washington DC","Wood prods.","Truck","0.001","0.00078203","0.0007","0.0007"
"Alabama","Washington DC","Nonmetal min. prods.","Truck","0.0016","0.00126897","0.0002","0.0002"
"Alabama","Washington DC","Machinery","Truck","0.4757","0.35788706","1.2055","1.2094"
"Alabama","Florida","Wood prods.","Truck","538.0478","272.50705549","259.6796","260.372"
"Alabama","Florida","Nonmetal min. prods.","Truck","820.2137","425.95549883","294.2336","292.0549"
"Alabama","Florida","Machinery","Truck","91.1776","47.00502344","439.9904","441.3924"
"Alabama","Georgia","Wood prods.","Truck","1277.0962","295.21913924","584.4802","586.0387"
"Alabama","Georgia","Nonmetal min. prods.","Truck","2447.1724","527.01381328","490.8722","487.2372"
"Alabama","Georgia","Machinery","Truck","47.5708","11.04614322","339.5411","340.623"
"Alabama","Idaho","Wood prods.","Truck","22.4528","48.6560824","4.179","4.1902"
"Alabama","Idaho","Nonmetal min. prods.","Truck","0.0002","0.00052104","0","0"
"Alabama","Idaho","Machinery","Truck","0.0145","0.03259919","0.3661","0.3673"
"Alabama","Illinois","Wood prods.","Truck","91.0784","62.59886303","77.1649","77.3706"
"Alabama","Illinois","Nonmetal min. prods.","Truck","74.4043","52.06240341","46.2093","45.8671"
"Alabama","Illinois","Machinery","Truck","12.2503","7.52757399","56.2347","56.4139"
"Alabama","Indiana","Wood prods.","Truck","71.1976","43.51783652","38.1782","38.2803"
"Alabama","Indiana","Nonmetal min. prods.","Truck","116.617","69.63676014","66.6166","66.1234"
"Alabama","Indiana","Machinery","Truck","6.8308","3.98579625","55.1066","55.2821"
"Alabama","Iowa","Wood prods.","Truck","23.3232","19.95153052","15.108","15.1483"
"Alabama","Iowa","Nonmetal min. prods.","Truck","5.2667","4.53216197","4.1805","4.1495"
"Alabama","Iowa","Machinery","Truck","1.6799","1.41325654","16.3937","16.446"
"Alabama","Kansas","Wood prods.","Truck","4.9297","4.0010734","3.878","3.8884"
"Alabama","Kansas","Nonmetal min. prods.","Truck","20.0173","16.47259143","23.5878","23.4131"
"Alabama","Kansas","Machinery","Truck","2.4361","2.01220278","13.9466","13.991"
"Alabama","Kentucky","Wood prods.","Truck","213.8913","87.83247949","80.9114","81.127"
"Alabama","Kentucky","Nonmetal min. prods.","Truck","290.7397","117.53283725","64.0203","63.5462"
"Alabama","Kentucky","Machinery","Truck","177.0988","72.68353265","1327.0272","1331.2558"
"Alabama","Louisiana","Wood prods.","Truck","309.9861","79.32465283","123.527","123.8564"
"Alabama","Louisiana","Nonmetal min. prods.","Truck","373.1472","122.24573782","90.9355","90.262"
"Alabama","Louisiana","Machinery","Truck","18.9228","7.84432273","123.9683","124.3633"
"Alabama","Maine","Wood prods.","Truck","8.124","11.27487582","5.0301","5.0435"
"Alabama","Maine","Nonmetal min. prods.","Truck","1.1246","1.57322429","1.1305","1.1221"
"Alabama","Maine","Machinery","Truck","1.8778","2.54833844","5.4893","5.5068"
"Alabama","Maryland","Wood prods.","Truck","39.0118","31.49083572","25.3348","25.4023"
"Alabama","Maryland","Nonmetal min. prods.","Truck","23.2369","19.06604619","12.5989","12.5056"
"Alabama","Maryland","Machinery","Truck","2.2215","1.71100603","11.2071","11.2429"
"Alabama","Massachusetts","Wood prods.","Truck","19.0551","23.23972827","9.1127","9.1371"
"Alabama","Massachusetts","Nonmetal min. prods.","Truck","4.2104","5.14403417","5.5762","5.535"
"Alabama","Massachusetts","Machinery","Truck","1.0818","1.3294198","10.5031","10.5367"
"Alabama","Michigan","Wood prods.","Truck","23.4905","18.63295093","16.6529","16.6973"
"Alabama","Michigan","Nonmetal min. prods.","Truck","18.1601","14.15937371","22.9211","22.7514"
"Alabama","Michigan","Machinery","Truck","10.8297","8.51426269","180.0473","180.621"
"Alabama","Minnesota","Wood prods.","Truck","10.24","11.10966498","12.6069","12.6405"
"Alabama","Minnesota","Nonmetal min. prods.","Truck","36.4987","38.52714048","30.4936","30.2677"
"Alabama","Minnesota","Machinery","Truck","3.8765","4.23451329","25.3033","25.3839"
"Alabama","Mississippi","Wood prods.","Truck","780.5138","176.33145676","229.0916","229.7025"
"Alabama","Mississippi","Nonmetal min. prods.","Truck","1522.4172","328.1500688","197.9297","196.4642"
"Alabama","Mississippi","Machinery","Truck","19.4077","4.32548541","144.266","144.7257"
"Alabama","Missouri","Wood prods.","Truck","56.988","32.3074832","16.6677","16.7121"
"Alabama","Missouri","Nonmetal min. prods.","Truck","48.8653","31.58546023","20.6768","20.5237"
"Alabama","Missouri","Machinery","Truck","2.5385","1.54660398","22.9552","23.0283"
"Alabama","Montana","Wood prods.","Truck","9.1645","18.75108446","1.8687","1.8737"
"Alabama","Montana","Nonmetal min. prods.","Truck","3.3714","6.89805329","2.2995","2.2825"
"Alabama","Montana","Machinery","Truck","1.1184","2.24138708","6.1628","6.1824"
"Alabama","Nebraska","Wood prods.","Truck","8.8092","9.02457623","5.9589","5.9747"
"Alabama","Nebraska","Nonmetal min. prods.","Truck","0.3957","0.38442764","0.9714","0.9642"
"Alabama","Nebraska","Machinery","Truck","4.537","4.45718661","43.6527","43.7918"
"Alabama","Nevada","Wood prods.","Truck","0.0001","0.0001386","0","0"
"Alabama","Nevada","Nonmetal min. prods.","Truck","0.1177","0.21767118","1.0931","1.085"
"Alabama","Nevada","Machinery","Truck","0.7946","1.46848349","1.3118","1.316"
"Alabama","New Hampshire","Wood prods.","Truck","5.2117","7.63299419","3.5378","3.5472"
"Alabama","New Hampshire","Nonmetal min. prods.","Truck","0.0005","0.00071223","0.0001","0.0001"
"Alabama","New Hampshire","Machinery","Truck","1.079","1.3539651","33.0573","33.1625"
"Alabama","New Jersey","Wood prods.","Truck","4.7562","4.55204654","3.7097","3.7196"
"Alabama","New Jersey","Nonmetal min. prods.","Truck","0.4674","0.45520437","3.7802","3.7522"
"Alabama","New Jersey","Machinery","Truck","2.7259","2.62385785","12.6335","12.6738"
"Alabama","New Mexico","Wood prods.","Truck","2.1197","2.70277769","0.0348","0.0349"
"Alabama","New Mexico","Nonmetal min. prods.","Truck","0.0011","0.00132678","0.0001","0.0001"
"Alabama","New Mexico","Machinery","Truck","0.0005","0.00071244","0.0046","0.0046"
"Alabama","New York","Wood prods.","Truck","15.9175","16.38764719","17.9759","18.0238"
"Alabama","New York","Nonmetal min. prods.","Truck","10.4196","10.49362413","12.6784","12.5845"
"Alabama","New York","Machinery","Truck","2.1107","2.19254261","14.2","14.2453"
"Alabama","North Carolina","Wood prods.","Truck","207.6462","102.90434623","177.1379","177.61"
"Alabama","North Carolina","Nonmetal min. prods.","Truck","336.2892","175.87531219","128.7295","127.7763"
"Alabama","North Carolina","Machinery","Truck","28.1035","14.8022438","121.8607","122.2492"
"Alabama","North Dakota","Wood prods.","Truck","0","0","0","0"
"Alabama","North Dakota","Nonmetal min. prods.","Truck","0.0002","0.00034801","0","0"
