"","lon","lat","names"
"1",-86.902298,32.3182314,"Alabama"
"2",-149.4936733,64.2008413,"Alaska"
"3",-111.0937311,34.0489281,"Arizona"
"4",-91.8318334,35.20105,"Arkansas"
"5",-119.4179324,36.778261,"California"
"6",-105.7820674,39.5500507,"Colorado"
"7",-73.087749,41.6032207,"Connecticut"
"8",-75.5276699,38.9108325,"Delaware"
"9",-81.5157535,27.6648274,"Florida"
"10",-82.9000751,32.1656221,"Georgia"
"11",-155.5827818,19.8967662,"Hawaii"
"12",-114.7420408,44.0682019,"Idaho"
"13",-89.3985283,40.6331249,"Illinois"
"14",-86.1349019,40.2671941,"Indiana"
"15",-93.097702,41.8780025,"Iowa"
"16",-98.4842465,39.011902,"Kansas"
"17",-84.2700179,37.8393332,"Kentucky"
"18",-91.9623327,30.9842977,"Louisiana"
"19",-69.4454689,45.253783,"Maine"
"20",-76.6412712,39.0457549,"Maryland"
"21",-71.3824374,42.4072107,"Massachusetts"
"22",-85.6023643,44.3148443,"Michigan"
"23",-94.6858998,46.729553,"Minnesota"
"24",-89.3985283,32.3546679,"Mississippi"
"25",-91.8318334,37.9642529,"Missouri"
"26",-110.3625658,46.8796822,"Montana"
"27",-99.9018131,41.4925374,"Nebraska"
"28",-116.419389,38.8026097,"Nevada"
"29",-71.5723953,43.1938516,"New Hampshire"
"30",-74.4056612,40.0583238,"New Jersey"
"31",-105.8700901,34.5199402,"New Mexico"
"32",-74.0059413,40.7127837,"New York"
"33",-79.0192997,35.7595731,"North Carolina"
"34",-101.0020119,47.5514926,"North Dakota"
"35",-82.907123,40.4172871,"Ohio"
"36",-97.5164276,35.4675602,"Oklahoma"
"37",-120.5542012,43.8041334,"Oregon"
"38",-77.1945247,41.2033216,"Pennsylvania"
"39",-71.4774291,41.5800945,"Rhode Island"
"40",-81.1637245,33.836081,"South Carolina"
"41",-99.9018131,43.9695148,"South Dakota"
"42",-86.5804473,35.5174913,"Tennessee"
"43",-99.9018131,31.9685988,"Texas"
"44",-111.0937311,39.3209801,"Utah"
"45",-72.5778415,44.5588028,"Vermont"
"46",-78.6568942,37.4315734,"Virginia"
"47",-120.7401386,47.7510741,"Washington"
"48",-77.0368707,38.9071923,"Washington DC"
"49",-80.4549026,38.5976262,"West Virginia"
"50",-88.7878678,43.7844397,"Wisconsin"
"51",-107.2902839,43.0759678,"Wyoming"
