STATEFP,COUNTYFP,FIPS,YEAR
23,29,23029,1935
23,27,23027,1935
23,31,23031,1935
25,25,25025,1935
36,87,36087,1935
23,3,23003,1950
23,25,23025,1950
23,21,23021,1950
23,19,23019,1950
23,7,23007,1950
23,17,23017,1950
23,11,23011,1950
23,1,23001,1950
23,9,23009,1950
23,13,23013,1950
23,15,23015,1950
33,3,33003,1950
33,7,33007,1960
50,9,50009,1960
50,19,50019,1960
50,15,50015,1960
50,5,50005,1960
50,23,50023,1960
33,9,33009,1960
50,1,50001,1960
50,17,50017,1960
23,5,23005,1960
36,43,36043,1960
23,23,23023,1960
50,27,50027,1960
50,21,50021,1960
36,115,36115,1960
36,113,36113,1960
33,1,33001,1960
33,13,33013,1960
33,19,33019,1960
33,17,33017,1960
36,91,36091,1960
50,3,50003,1960
36,35,36035,1960
33,15,33015,1960
50,25,50025,1960
33,11,33011,1960
33,5,33005,1960
36,57,36057,1960
36,83,36083,1960
36,93,36093,1960
36,77,36077,1960
25,9,25009,1960
36,95,36095,1960
36,1,36001,1960
25,3,25003,1960
25,11,25011,1960
25,17,25017,1960
25,27,25027,1960
25,15,25015,1960
36,25,36025,1960
36,21,36021,1960
36,39,36039,1960
25,13,25013,1960
25,23,25023,1960
25,21,25021,1960
36,111,36111,1960
25,5,25005,1960
36,27,36027,1960
25,1,25001,1960
9,5,9005,1960
9,3,9003,1960
9,13,9013,1960
9,15,9015,1960
44,7,44007,1960
44,1,44001,1960
44,3,44003,1960
9,11,9011,1960
44,5,44005,1960
9,1,9001,1960
44,9,44009,1960
9,7,9007,1960
9,9,9009,1960
36,71,36071,1960
36,79,36079,1960
36,119,36119,1960
36,5,36005,1960
36,59,36059,1960
36,81,36081,1960
36,103,36103,1960
36,53,36053,1960
36,17,36017,1960
50,13,50013,1975
50,11,50011,1975
36,19,36019,1975
36,33,36033,1975
50,7,50007,1975
36,31,36031,1975
36,41,36041,1975
36,105,36105,1975
42,127,42127,1975
42,131,42131,1975
42,69,42069,1975
42,103,42103,1975
42,113,42113,1975
25,7,25007,1975
42,79,42079,1975
25,19,25019,1975
34,37,34037,1975
42,89,42089,1975
34,31,34031,1975
42,25,42025,1975
34,3,34003,1975
34,41,34041,1975
34,27,34027,1975
42,95,42095,1975
34,13,34013,1975
36,61,36061,1975
34,17,34017,1975
36,47,36047,1975
34,39,34039,1975
36,85,36085,1975
36,89,36089,1975
36,45,36045,1975
36,49,36049,1975
36,75,36075,1975
36,65,36065,1975
36,11,36011,1975
36,63,36063,1975
36,73,36073,1975
36,55,36055,1975
36,117,36117,1975
36,67,36067,1975
36,37,36037,1975
36,29,36029,1975
36,69,36069,1975
36,99,36099,1975
36,51,36051,1975
36,121,36121,1975
36,23,36023,1975
36,123,36123,1975
36,109,36109,1975
36,101,36101,1975
36,13,36013,1975
36,97,36097,1975
36,9,36009,1975
36,3,36003,1975
36,7,36007,1975
36,107,36107,1975
36,15,36015,1975
42,15,42015,1975
42,117,42117,1975
42,115,42115,1975
42,23,42023,1990
42,81,42081,1990
42,37,42037,1990
42,77,42077,1990
34,19,34019,1990
34,35,34035,1990
42,17,42017,1990
34,23,34023,1990
34,25,34025,1990
42,91,42091,1990
34,21,34021,1990
42,49,42049,1990
42,123,42123,1990
42,83,42083,1990
42,105,42105,1990
54,1,54001,1999
54,93,54093,1999
54,83,54083,1999
54,97,54097,1999
54,71,54071,1999
54,75,54075,1999
51,91,51091,1999
47,155,47155,1999
37,87,37087,1999
37,173,37173,1999
42,47,42047,2001
42,121,42121,2001
42,53,42053,2001
42,85,42085,2001
42,35,42035,2001
42,31,42031,2001
42,65,42065,2001
42,27,42027,2001
42,33,42033,2001
42,97,42097,2001
42,19,42019,2001
42,5,42005,2001
42,93,42093,2001
42,119,42119,2001
42,73,42073,2001
42,107,42107,2001
42,63,42063,2001
42,109,42109,2001
42,21,42021,2001
42,11,42011,2001
42,129,42129,2001
42,3,42003,2001
42,43,42043,2001
42,75,42075,2001
42,111,42111,2001
47,29,47029,2001
26,95,26095,2001
26,3,26003,2001
26,153,26153,2001
26,33,26033,2001
26,105,26105,2001
26,127,26127,2001
26,121,26121,2001
42,39,42039,2001
39,85,39085,2001
39,55,39055,2002
39,155,39155,2002
39,133,39133,2002
24,23,24023,2002
51,17,51017,2002
51,163,51163,2002
51,678,51678,2002
51,530,51530,2002
37,121,37121,2002
37,199,37199,2002
37,21,37021,2002
26,97,26097,2002
39,7,39007,2002
54,77,54077,2003
54,23,54023,2003
54,31,54031,2003
54,101,54101,2003
54,67,54067,2003
54,25,54025,2003
47,9,47009,2003
37,99,37099,2003
37,175,37175,2003
26,101,26101,2003
26,165,26165,2003
39,35,39035,2007
42,7,42007,2007
54,57,54057,2007
54,27,54027,2007
51,113,51113,2007
51,3,51003,2007
51,540,51540,2007
51,125,51125,2007
47,19,47019,2007
37,189,37189,2007
37,115,37115,2007
37,89,37089,2007
39,153,39153,2008
37,11,37011,2008
47,171,47171,2009
47,123,47123,2009
37,75,37075,2009
37,113,37113,2009
37,39,37039,2009
37,43,37043,2009
26,43,26043,2009
26,41,26041,2009
26,109,26109,2009
26,47,26047,2009
26,31,26031,2009
26,141,26141,2009
26,29,26029,2009
26,9,26009,2009
26,137,26137,2009
26,89,26089,2009
26,79,26079,2009
26,39,26039,2009
26,55,26055,2009
26,113,26113,2009
26,85,26085,2009
26,123,26123,2009
34,5,34005,2010
26,73,26073,2010
