STATEFP,COUNTYFP,FIPS,YEAR
18,141,18141,1962
26,27,26027,1962
26,159,26159,1962
18,1,18001,1965
18,3,18003,1965
18,9,18009,1965
18,11,18011,1965
18,15,18015,1965
18,17,18017,1965
18,23,18023,1965
18,33,18033,1965
18,35,18035,1965
18,39,18039,1965
18,49,18049,1965
18,53,18053,1965
18,57,18057,1965
18,59,18059,1965
18,65,18065,1965
18,67,18067,1965
18,69,18069,1965
18,73,18073,1965
18,75,18075,1965
18,85,18085,1965
18,87,18087,1965
18,95,18095,1965
18,99,18099,1965
18,103,18103,1965
18,111,18111,1965
18,113,18113,1965
18,131,18131,1965
18,135,18135,1965
18,149,18149,1965
18,151,18151,1965
18,157,18157,1965
18,159,18159,1965
18,161,18161,1965
18,169,18169,1965
18,177,18177,1965
18,179,18179,1965
18,181,18181,1965
18,183,18183,1965
26,5,26005,1965
26,15,26015,1965
26,23,26023,1965
26,25,26025,1965
26,35,26035,1965
26,37,26037,1965
26,45,26045,1965
26,49,26049,1965
26,51,26051,1965
26,57,26057,1965
26,59,26059,1965
26,65,26065,1965
26,67,26067,1965
26,73,26073,1965
26,75,26075,1965
26,77,26077,1965
26,81,26081,1965
26,85,26085,1965
26,87,26087,1965
26,91,26091,1965
26,93,26093,1965
26,107,26107,1965
26,111,26111,1965
26,113,26113,1965
26,117,26117,1965
26,121,26121,1965
26,123,26123,1965
26,125,26125,1965
26,129,26129,1965
26,133,26133,1965
26,139,26139,1965
26,143,26143,1965
26,145,26145,1965
26,149,26149,1965
26,155,26155,1965
26,161,26161,1965
39,3,39003,1965
39,11,39011,1965
39,21,39021,1965
39,23,39023,1965
39,27,39027,1965
39,33,39033,1965
39,37,39037,1965
39,39,39039,1965
39,41,39041,1965
39,47,39047,1965
39,49,39049,1965
39,51,39051,1965
39,57,39057,1965
39,63,39063,1965
39,65,39065,1965
39,69,39069,1965
39,77,39077,1965
39,83,39083,1965
39,89,39089,1965
39,91,39091,1965
39,97,39097,1965
39,101,39101,1965
39,107,39107,1965
39,109,39109,1965
39,113,39113,1965
39,117,39117,1965
39,125,39125,1965
39,129,39129,1965
39,135,39135,1965
39,137,39137,1965
39,139,39139,1965
39,147,39147,1965
39,149,39149,1965
39,159,39159,1965
39,161,39161,1965
39,165,39165,1965
39,171,39171,1965
39,173,39173,1965
39,175,39175,1965
17,19,17019,1968
17,43,17043,1968
17,53,17053,1968
17,75,17075,1968
17,91,17091,1968
17,183,17183,1968
17,197,17197,1968
18,5,18005,1968
18,7,18007,1968
18,13,18013,1968
18,29,18029,1968
18,31,18031,1968
18,41,18041,1968
18,45,18045,1968
18,47,18047,1968
18,63,18063,1968
18,71,18071,1968
18,77,18077,1968
18,79,18079,1968
18,81,18081,1968
18,97,18097,1968
18,105,18105,1968
18,107,18107,1968
18,109,18109,1968
18,115,18115,1968
18,119,18119,1968
18,121,18121,1968
18,133,18133,1968
18,137,18137,1968
18,139,18139,1968
18,143,18143,1968
18,145,18145,1968
18,155,18155,1968
18,165,18165,1968
18,171,18171,1968
21,11,21011,1968
21,15,21015,1968
21,17,21017,1968
21,19,21019,1968
21,23,21023,1968
21,37,21037,1968
21,41,21041,1968
21,43,21043,1968
21,63,21063,1968
21,69,21069,1968
21,77,21077,1968
21,81,21081,1968
21,89,21089,1968
21,97,21097,1968
21,103,21103,1968
21,117,21117,1968
21,127,21127,1968
21,135,21135,1968
21,161,21161,1968
21,181,21181,1968
21,187,21187,1968
21,191,21191,1968
21,201,21201,1968
21,205,21205,1968
21,209,21209,1968
21,223,21223,1968
26,9,26009,1968
26,19,26019,1968
26,29,26029,1968
26,39,26039,1968
26,79,26079,1968
26,101,26101,1968
26,119,26119,1968
26,135,26135,1968
26,137,26137,1968
26,165,26165,1968
36,9,36009,1968
39,1,39001,1968
39,5,39005,1968
39,9,39009,1968
39,13,39013,1968
39,15,39015,1968
39,17,39017,1968
39,19,39019,1968
39,25,39025,1968
39,29,39029,1968
39,31,39031,1968
39,45,39045,1968
39,53,39053,1968
39,55,39055,1968
39,59,39059,1968
39,61,39061,1968
39,67,39067,1968
39,71,39071,1968
