STATEFP,COUNTYFP,FIPS,YEAR
17,7,17007,2010
17,11,17011,2008
17,19,17019,2010
17,31,17031,2006
17,37,17037,2009
17,43,17043,2007
17,63,17063,2010
17,75,17075,2010
17,89,17089,2006
17,93,17093,2008
17,97,17097,2008
17,99,17099,2007
17,111,17111,2008
17,113,17113,2008
17,141,17141,2010
17,197,17197,2008
17,201,17201,2010
18,1,18001,2005
18,3,18003,2006
18,9,18009,2009
18,13,18013,2008
18,15,18015,2010
18,17,18017,2010
18,33,18033,2006
18,35,18035,2009
18,37,18037,2009
18,39,18039,2007
18,43,18043,2008
18,53,18053,2009
18,57,18057,2006
18,61,18061,2009
18,63,18063,2010
18,69,18069,2006
18,75,18075,2009
18,85,18085,2008
18,87,18087,2004
18,91,18091,2010
18,93,18093,2009
18,95,18095,2010
18,97,18097,2006
18,99,18099,2010
18,103,18103,2009
18,105,18105,2008
18,113,18113,2007
18,117,18117,2009
18,127,18127,2006
18,135,18135,2005
18,137,18137,2009
18,141,18141,2006
18,151,18151,2004
18,157,18157,2010
18,169,18169,2007
18,175,18175,2010
18,179,18179,2007
18,181,18181,2006
18,183,18183,2007
19,5,19005,2010
21,15,21015,2010
21,19,21019,2010
21,37,21037,2009
21,67,21067,2009
21,73,21073,2009
21,89,21089,2009
21,103,21103,2009
21,111,21111,2009
21,113,21113,2009
21,117,21117,2009
21,185,21185,2009
21,187,21187,2009
21,211,21211,2009
21,239,21239,2010
24,17,24017,2008
24,33,24033,2003
26,1,26001,2004
26,3,26003,2009
26,5,26005,2007
26,7,26007,2007
26,9,26009,2004
26,11,26011,2006
26,15,26015,2004
26,17,26017,2007
26,19,26019,2005
26,21,26021,2004
26,23,26023,2004
26,25,26025,2003
26,27,26027,2007
26,29,26029,2005
26,31,26031,2004
26,33,26033,2005
26,35,26035,2006
26,37,26037,2004
26,39,26039,2004
26,41,26041,2008
26,45,26045,2003
26,47,26047,2004
26,49,26049,2003
26,51,26051,2006
26,55,26055,2005
26,57,26057,2004
26,59,26059,2004
26,61,26061,2008
26,63,26063,2005
26,65,26065,2003
26,67,26067,2005
26,69,26069,2004
26,73,26073,2005
26,75,26075,2003
26,77,26077,2006
26,79,26079,2006
26,81,26081,2003
26,87,26087,2004
26,89,26089,2006
26,91,26091,2004
26,93,26093,2002
26,97,26097,2007
26,99,26099,2002
26,101,26101,2004
26,105,26105,2005
26,107,26107,2004
26,111,26111,2004
26,113,26113,2006
26,115,26115,2002
26,117,26117,2005
26,119,26119,2005
26,121,26121,2007
26,123,26123,2010
26,125,26125,2002
26,127,26127,2004
26,129,26129,2004
26,133,26133,2006
26,135,26135,2004
26,137,26137,2006
26,139,26139,2003
26,141,26141,2004
26,143,26143,2004
26,145,26145,2003
26,147,26147,2003
