STATEFP,COUNTYFP,FIPS,YEAR
1,33,1033,1948
1,59,1059,1948
1,71,1071,1948
1,77,1077,1948
1,79,1079,1948
1,83,1083,1948
1,89,1089,1948
1,95,1095,1948
1,103,1103,1948
5,7,5007,1948
5,15,5015,1948
5,21,5021,1948
5,31,5031,1948
5,33,5033,1948
5,35,5035,1948
5,37,5037,1948
5,47,5047,1948
5,55,5055,1948
5,67,5067,1948
5,77,5077,1948
5,87,5087,1948
5,93,5093,1948
5,107,5107,1948
5,111,5111,1948
5,121,5121,1948
5,123,5123,1948
5,131,5131,1948
5,143,5143,1948
5,147,5147,1948
8,1,8001,1948
8,5,8005,1948
8,9,8009,1948
8,69,8069,1948
8,75,8075,1948
8,87,8087,1948
8,95,8095,1948
8,99,8099,1948
8,115,8115,1948
8,121,8121,1948
8,123,8123,1948
9,1,9001,1925
9,3,9003,1925
9,5,9005,1925
9,7,9007,1925
9,9,9009,1925
9,11,9011,1925
9,13,9013,1925
9,15,9015,1925
10,1,10001,1925
10,3,10003,1925
10,5,10005,1925
11,1,11001,1937
13,241,13241,1948
13,281,13281,1948
17,1,17001,1937
17,3,17003,1937
17,5,17005,1937
17,7,17007,1937
17,9,17009,1937
17,11,17011,1937
17,13,17013,1937
17,15,17015,1937
17,17,17017,1937
17,19,17019,1937
17,21,17021,1937
17,23,17023,1937
17,25,17025,1937
17,27,17027,1937
17,29,17029,1937
17,31,17031,1925
17,33,17033,1937
17,35,17035,1937
17,37,17037,1937
17,39,17039,1937
17,41,17041,1937
17,43,17043,1937
17,45,17045,1937
17,47,17047,1937
17,49,17049,1937
17,51,17051,1937
17,53,17053,1937
17,55,17055,1937
17,57,17057,1937
17,59,17059,1937
17,61,17061,1937
17,63,17063,1937
17,65,17065,1937
17,67,17067,1937
17,69,17069,1937
17,71,17071,1937
17,73,17073,1937
17,75,17075,1937
17,77,17077,1937
17,79,17079,1937
17,81,17081,1937
17,83,17083,1937
17,85,17085,1937
17,87,17087,1937
17,89,17089,1937
17,91,17091,1937
17,93,17093,1937
17,95,17095,1937
17,97,17097,1925
17,99,17099,1937
17,101,17101,1937
17,103,17103,1937
17,105,17105,1937
17,107,17107,1937
17,109,17109,1937
17,111,17111,1925
17,113,17113,1937
17,115,17115,1937
17,117,17117,1937
17,119,17119,1937
17,121,17121,1937
17,123,17123,1937
17,125,17125,1937
17,127,17127,1937
17,129,17129,1937
17,131,17131,1937
17,133,17133,1937
17,135,17135,1937
17,137,17137,1937
17,139,17139,1937
17,141,17141,1937
17,143,17143,1937
17,145,17145,1937
17,147,17147,1937
17,149,17149,1937
17,151,17151,1937
17,153,17153,1937
17,155,17155,1937
17,157,17157,1937
17,159,17159,1937
17,161,17161,1937
17,163,17163,1937
17,165,17165,1937
17,167,17167,1937
17,169,17169,1937
17,171,17171,1937
17,173,17173,1937
17,175,17175,1937
17,177,17177,1937
17,179,17179,1937
17,181,17181,1937
17,183,17183,1937
17,185,17185,1937
17,187,17187,1937
17,189,17189,1937
17,191,17191,1937
17,193,17193,1937
17,195,17195,1937
17,197,17197,1937
17,199,17199,1937
17,201,17201,1937
17,203,17203,1937
18,1,18001,1925
18,3,18003,1925
18,5,18005,1925
18,7,18007,1925
18,9,18009,1925
18,11,18011,1925
18,13,18013,1937
18,15,18015,1925
18,17,18017,1925
18,19,18019,1937
18,21,18021,1937
18,23,18023,1925
18,25,18025,1937
18,27,18027,1937
18,29,18029,1925
18,31,18031,1925
18,33,18033,1925
18,35,18035,1925
18,37,18037,1937
18,39,18039,1925
18,41,18041,1925
18,43,18043,1937
18,45,18045,1937
18,47,18047,1925
18,49,18049,1925
18,51,18051,1937
18,53,18053,1925
18,55,18055,1937
18,57,18057,1925
18,59,18059,1925
18,61,18061,1937
18,63,18063,1925
18,65,18065,1925
18,67,18067,1925
18,69,18069,1925
18,71,18071,1937
18,73,18073,1925
18,75,18075,1925
18,77,18077,1925
18,79,18079,1925
18,81,18081,1925
18,83,18083,1937
18,85,18085,1925
18,87,18087,1925
18,89,18089,1925
18,91,18091,1925
18,93,18093,1937
18,95,18095,1925
18,97,18097,1925
18,99,18099,1925
18,101,18101,1937
18,103,18103,1925
18,105,18105,1937
18,107,18107,1925
18,109,18109,1925
18,111,18111,1925
18,113,18113,1925
18,115,18115,1925
18,117,18117,1937
18,119,18119,1937
18,121,18121,1937
18,123,18123,1937
18,125,18125,1937
18,127,18127,1925
18,129,18129,1937
18,131,18131,1925
18,133,18133,1937
18,135,18135,1925
18,137,18137,1925
18,139,18139,1925
18,141,18141,1925
18,143,18143,1937
18,145,18145,1925
18,147,18147,1937
18,149,18149,1925
18,151,18151,1925
18,153,18153,1937
18,155,18155,1925
18,157,18157,1925
18,159,18159,1925
18,161,18161,1925
18,163,18163,1937
18,165,18165,1937
18,167,18167,1937
18,169,18169,1925
18,171,18171,1937
18,173,18173,1937
18,175,18175,1937
18,177,18177,1925
18,179,18179,1925
18,181,18181,1925
18,183,18183,1925
19,1,19001,1948
19,3,19003,1948
19,5,19005,1937
19,7,19007,1937
19,9,19009,1948
19,11,19011,1937
19,13,19013,1937
19,15,19015,1937
19,17,19017,1937
19,19,19019,1937
19,21,19021,1948
19,23,19023,1937
19,25,19025,1948
19,27,19027,1948
19,29,19029,1948
19,31,19031,1937
19,33,19033,1937
19,35,19035,1948
19,37,19037,1937
19,39,19039,1937
19,41,19041,1948
19,43,19043,1937
19,45,19045,1937
19,47,19047,1948
19,49,19049,1937
19,51,19051,1937
19,53,19053,1937
19,55,19055,1937
19,57,19057,1937
19,59,19059,1948
19,61,19061,1937
19,63,19063,1948
19,65,19065,1937
19,67,19067,1937
19,69,19069,1937
19,71,19071,1948
19,73,19073,1948
19,75,19075,1937
19,77,19077,1948
19,79,19079,1937
19,81,19081,1937
19,83,19083,1937
19,85,19085,1948
19,87,19087,1937
19,89,19089,1937
19,91,19091,1948
19,93,19093,1948
19,95,19095,1937
19,97,19097,1937
19,99,19099,1937
19,101,19101,1937
19,103,19103,1937
19,105,19105,1937
19,107,19107,1937
19,109,19109,1948
19,111,19111,1937
19,113,19113,1937
19,115,19115,1937
19,117,19117,1937
19,119,19119,1948
19,121,19121,1937
19,123,19123,1937
19,125,19125,1937
19,127,19127,1937
19,129,19129,1948
19,131,19131,1937
19,133,19133,1948
19,135,19135,1937
19,137,19137,1948
19,139,19139,1937
19,141,19141,1948
19,143,19143,1948
19,145,19145,1948
19,147,19147,1948
19,149,19149,1948
19,151,19151,1948
19,153,19153,1937
19,155,19155,1948
19,157,19157,1937
19,159,19159,1937
19,161,19161,1948
19,163,19163,1937
19,165,19165,1948
19,167,19167,1948
19,169,19169,1937
19,171,19171,1937
19,173,19173,1948
19,175,19175,1937
19,177,19177,1937
19,179,19179,1937
19,181,19181,1937
19,183,19183,1937
19,185,19185,1937
19,187,19187,1948
19,189,19189,1937
19,191,19191,1937
19,193,19193,1948
19,195,19195,1937
19,197,19197,1937
20,1,20001,1948
20,3,20003,1948
20,5,20005,1948
20,7,20007,1948
20,9,20009,1948
20,11,20011,1948
20,13,20013,1948
20,15,20015,1948
20,17,20017,1948
20,19,20019,1948
20,21,20021,1948
20,23,20023,1948
20,25,20025,1948
20,27,20027,1948
20,29,20029,1948
20,31,20031,1948
20,33,20033,1948
20,35,20035,1948
20,37,20037,1948
20,39,20039,1948
20,41,20041,1948
20,43,20043,1948
20,45,20045,1948
20,47,20047,1948
20,49,20049,1948
20,51,20051,1948
20,53,20053,1948
20,55,20055,1948
20,57,20057,1948
20,59,20059,1948
20,61,20061,1948
20,63,20063,1948
20,65,20065,1948
20,67,20067,1948
20,69,20069,1948
20,73,20073,1948
20,75,20075,1948
20,77,20077,1948
20,79,20079,1948
20,81,20081,1948
20,83,20083,1948
20,85,20085,1948
20,87,20087,1948
20,89,20089,1948
20,91,20091,1948
20,93,20093,1948
20,95,20095,1948
20,97,20097,1948
20,99,20099,1948
20,103,20103,1948
20,105,20105,1948
20,107,20107,1948
20,109,20109,1948
20,111,20111,1948
20,113,20113,1948
20,115,20115,1948
20,117,20117,1948
20,119,20119,1948
20,121,20121,1948
20,123,20123,1948
20,125,20125,1948
20,127,20127,1948
20,129,20129,1948
20,131,20131,1948
20,133,20133,1948
20,135,20135,1948
20,137,20137,1948
20,139,20139,1948
20,141,20141,1948
20,143,20143,1948
20,145,20145,1948
20,147,20147,1948
20,149,20149,1948
20,151,20151,1948
20,153,20153,1948
20,155,20155,1948
20,157,20157,1948
20,159,20159,1948
20,161,20161,1948
20,163,20163,1948
20,165,20165,1948
20,167,20167,1948
20,169,20169,1948
20,173,20173,1948
20,175,20175,1948
20,177,20177,1948
20,179,20179,1948
20,181,20181,1948
20,183,20183,1948
20,185,20185,1948
20,187,20187,1948
20,189,20189,1948
20,191,20191,1948
20,193,20193,1948
20,195,20195,1948
20,197,20197,1948
20,199,20199,1948
20,201,20201,1948
20,205,20205,1948
20,207,20207,1948
20,209,20209,1948
21,1,21001,1937
21,3,21003,1937
21,5,21005,1937
21,7,21007,1937
21,9,21009,1937
21,11,21011,1937
21,15,21015,1925
21,17,21017,1937
21,19,21019,1937
21,21,21021,1937
21,23,21023,1925
21,25,21025,1937
21,27,21027,1937
21,29,21029,1937
21,31,21031,1937
21,33,21033,1937
21,35,21035,1948
21,37,21037,1925
21,39,21039,1948
21,41,21041,1937
21,43,21043,1937
21,45,21045,1937
21,47,21047,1937
21,49,21049,1937
21,53,21053,1948
21,55,21055,1937
21,57,21057,1948
21,59,21059,1937
21,61,21061,1937
21,63,21063,1937
21,65,21065,1937
21,67,21067,1937
21,69,21069,1937
21,73,21073,1937
21,75,21075,1948
21,77,21077,1937
21,79,21079,1937
21,81,21081,1937
21,83,21083,1948
21,85,21085,1937
21,87,21087,1937
21,89,21089,1925
21,91,21091,1937
21,93,21093,1937
21,97,21097,1937
21,99,21099,1937
21,101,21101,1937
21,103,21103,1937
21,105,21105,1948
21,107,21107,1937
21,109,21109,1937
21,111,21111,1937
21,113,21113,1937
21,115,21115,1937
21,117,21117,1925
21,123,21123,1937
21,127,21127,1937
21,129,21129,1937
21,135,21135,1925
21,137,21137,1937
21,139,21139,1937
21,141,21141,1937
21,143,21143,1948
21,145,21145,1937
21,149,21149,1937
21,151,21151,1937
21,153,21153,1937
21,155,21155,1937
21,157,21157,1948
21,159,21159,1937
21,161,21161,1925
21,163,21163,1937
21,165,21165,1937
21,167,21167,1937
21,169,21169,1937
21,171,21171,1937
21,173,21173,1937
21,175,21175,1937
21,177,21177,1937
21,179,21179,1937
21,181,21181,1937
21,183,21183,1937
21,185,21185,1937
21,187,21187,1937
21,191,21191,1925
21,197,21197,1937
21,199,21199,1937
21,201,21201,1937
21,203,21203,1937
21,205,21205,1937
21,207,21207,1937
21,209,21209,1937
21,211,21211,1937
21,213,21213,1937
21,215,21215,1937
21,217,21217,1937
21,219,21219,1937
21,221,21221,1948
21,223,21223,1937
21,225,21225,1937
21,227,21227,1937
21,229,21229,1937
21,231,21231,1948
21,233,21233,1937
21,237,21237,1937
21,239,21239,1937
23,1,23001,1925
23,3,23003,1937
23,5,23005,1920
23,7,23007,1937
23,9,23009,1925
23,11,23011,1925
23,13,23013,1925
23,15,23015,1925
23,17,23017,1925
23,19,23019,1925
23,21,23021,1937
23,23,23023,1925
23,25,23025,1925
23,27,23027,1925
23,29,23029,1925
23,31,23031,1920
24,1,24001,1925
24,3,24003,1937
24,5,24005,1937
24,9,24009,1937
24,11,24011,1925
24,13,24013,1937
24,15,24015,1937
24,17,24017,1937
24,19,24019,1925
24,21,24021,1937
24,23,24023,1925
24,25,24025,1937
24,27,24027,1937
24,29,24029,1937
24,31,24031,1937
24,33,24033,1937
24,35,24035,1937
24,37,24037,1937
24,39,24039,1925
24,41,24041,1937
24,43,24043,1925
24,45,24045,1925
24,47,24047,1925
24,510,24510,1937
25,1,25001,1920
25,3,25003,1920
25,5,25005,1920
25,7,25007,1920
25,9,25009,1920
25,11,25011,1925
25,13,25013,1925
25,15,25015,1925
25,17,25017,1920
25,19,25019,1920
25,21,25021,1920
25,23,25023,1920
25,25,25025,1920
25,27,25027,1920
26,1,26001,1925
26,3,26003,1925
26,5,26005,1925
26,7,26007,1925
26,9,26009,1925
26,11,26011,1925
26,15,26015,1925
26,17,26017,1925
26,21,26021,1925
26,23,26023,1925
26,25,26025,1925
26,27,26027,1925
26,29,26029,1925
26,31,26031,1925
26,33,26033,1925
26,35,26035,1925
26,37,26037,1925
