STATEFP,COUNTYFP,FIPS,YEAR
25,9,25009,1900
25,17,25017,1900
25,25,25025,1900
25,1,25001,1905
25,21,25021,1905
25,23,25023,1905
33,15,33015,1905
44,7,44007,1905
23,31,23031,1909
25,5,25005,1909
25,27,25027,1909
33,1,33001,1909
33,11,33011,1909
33,13,33013,1909
33,17,33017,1909
23,1,23001,1912
23,5,23005,1912
23,11,23011,1912
23,15,23015,1912
23,23,23023,1912
25,11,25011,1912
33,3,33003,1912
33,5,33005,1912
44,1,44001,1912
44,3,44003,1912
44,5,44005,1912
44,9,44009,1912
9,11,9011,1914
9,15,9015,1914
23,7,23007,1914
23,9,23009,1914
23,13,23013,1914
23,17,23017,1914
23,19,23019,1914
23,25,23025,1914
23,27,23027,1914
33,9,33009,1914
33,19,33019,1914
9,3,9003,1934
9,7,9007,1934
9,9,9009,1934
9,13,9013,1934
23,21,23021,1934
23,29,23029,1934
25,13,25013,1934
25,15,25015,1934
33,7,33007,1934
50,1,50001,1934
50,5,50005,1934
50,9,50009,1934
50,15,50015,1934
50,17,50017,1934
50,23,50023,1934
50,25,50025,1934
50,27,50027,1934
9,5,9005,1938
50,3,50003,1938
50,21,50021,1938
25,3,25003,1945
36,1,36001,1945
36,21,36021,1945
36,27,36027,1945
36,31,36031,1945
36,35,36035,1945
36,39,36039,1945
36,57,36057,1945
36,83,36083,1945
36,91,36091,1945
36,93,36093,1945
36,113,36113,1945
36,115,36115,1945
50,7,50007,1945
25,7,25007,1949
25,19,25019,1949
9,1,9001,1960
36,19,36019,1960
36,25,36025,1960
36,41,36041,1960
36,59,36059,1960
36,71,36071,1960
36,77,36077,1960
36,79,36079,1960
36,87,36087,1960
36,95,36095,1960
36,103,36103,1960
36,105,36105,1960
36,111,36111,1960
36,119,36119,1960
50,11,50011,1960
50,13,50013,1960
36,43,36043,1961
34,3,34003,1966
34,13,34013,1966
34,27,34027,1966
34,31,34031,1966
34,35,34035,1966
34,37,34037,1966
34,39,34039,1966
36,33,36033,1966
34,5,34005,1967
34,23,34023,1967
34,25,34025,1967
34,29,34029,1967
34,17,34017,1969
34,19,34019,1969
34,21,34021,1969
34,41,34041,1969
36,5,36005,1969
36,47,36047,1969
36,61,36061,1969
36,65,36065,1969
36,81,36081,1969
36,85,36085,1969
42,11,42011,1969
42,17,42017,1969
42,25,42025,1969
42,89,42089,1969
42,95,42095,1969
42,103,42103,1969
42,107,42107,1969
42,127,42127,1969
34,1,34001,1970
34,7,34007,1970
34,9,34009,1970
34,15,34015,1970
42,27,42027,1970
42,69,42069,1970
42,77,42077,1970
42,79,42079,1970
42,91,42091,1970
42,101,42101,1970
42,115,42115,1970
42,131,42131,1970
34,11,34011,1972
34,33,34033,1972
36,7,36007,1972
36,17,36017,1972
36,53,36053,1972
36,89,36089,1972
42,29,42029,1972
42,37,42037,1972
42,43,42043,1972
42,45,42045,1972
42,71,42071,1972
42,75,42075,1972
42,93,42093,1972
42,97,42097,1972
42,113,42113,1972
10,3,10003,1973
24,15,24015,1973
24,29,24029,1973
36,67,36067,1973
42,1,42001,1973
42,15,42015,1973
42,35,42035,1973
42,41,42041,1973
42,61,42061,1973
42,67,42067,1973
42,81,42081,1973
42,87,42087,1973
42,99,42099,1973
42,109,42109,1973
42,119,42119,1973
42,133,42133,1973
24,25,24025,1974
24,43,24043,1974
36,3,36003,1974
36,11,36011,1974
36,15,36015,1974
36,23,36023,1974
36,45,36045,1974
36,49,36049,1974
36,51,36051,1974
36,55,36055,1974
36,69,36069,1974
36,75,36075,1974
36,97,36097,1974
36,99,36099,1974
36,101,36101,1974
36,107,36107,1974
36,109,36109,1974
36,117,36117,1974
36,123,36123,1974
42,9,42009,1974
42,13,42013,1974
42,21,42021,1974
42,23,42023,1974
42,33,42033,1974
42,47,42047,1974
42,55,42055,1974
42,57,42057,1974
42,63,42063,1974
42,65,42065,1974
42,83,42083,1974
42,105,42105,1974
42,111,42111,1974
42,117,42117,1974
24,5,24005,1981
24,13,24013,1981
24,21,24021,1981
26,57,26057,1981
26,73,26073,1981
26,111,26111,1981
26,117,26117,1981
26,133,26133,1981
26,145,26145,1981
36,9,36009,1981
36,13,36013,1981
36,29,36029,1981
36,37,36037,1981
36,63,36063,1981
36,73,36073,1981
36,121,36121,1981
42,3,42003,1981
42,5,42005,1981
42,7,42007,1981
42,19,42019,1981
42,31,42031,1981
42,39,42039,1981
42,49,42049,1981
42,51,42051,1981
42,53,42053,1981
42,59,42059,1981
42,73,42073,1981
42,85,42085,1981
42,121,42121,1981
42,123,42123,1981
42,125,42125,1981
42,129,42129,1981
24,31,24031,1982
24,510,24510,1982
26,17,26017,1982
26,21,26021,1982
26,35,26035,1982
26,77,26077,1982
26,81,26081,1982
26,107,26107,1982
26,125,26125,1982
26,163,26163,1982
54,37,54037,1982
10,1,10001,1983
10,5,10005,1983
24,1,24001,1983
24,3,24003,1983
24,11,24011,1983
24,19,24019,1983
24,27,24027,1983
24,33,24033,1983
24,35,24035,1983
24,41,24041,1983
24,45,24045,1983
24,47,24047,1983
26,55,26055,1983
26,121,26121,1983
26,139,26139,1983
50,19,50019,1983
51,59,51059,1983
51,61,51061,1983
51,107,51107,1983
54,3,54003,1983
54,65,54065,1983
23,3,23003,1984
26,11,26011,1984
26,49,26049,1984
26,51,26051,1984
26,93,26093,1984
26,159,26159,1984
51,13,51013,1984
51,43,51043,1984
51,47,51047,1984
51,69,51069,1984
51,153,51153,1984
51,171,51171,1984
51,179,51179,1984
51,187,51187,1984
51,510,51510,1984
51,600,51600,1984
51,610,51610,1984
51,683,51683,1984
51,840,51840,1984
24,23,24023,1985
54,23,54023,1985
54,27,54027,1985
54,57,54057,1985
11,1,11001,1986
26,23,26023,1986
26,25,26025,1986
26,37,26037,1986
26,45,26045,1986
26,63,26063,1986
26,65,26065,1986
26,67,26067,1986
26,69,26069,1986
26,75,26075,1986
26,87,26087,1986
26,91,26091,1986
26,99,26099,1986
26,113,26113,1986
26,115,26115,1986
26,123,26123,1986
26,129,26129,1986
26,143,26143,1986
26,147,26147,1986
26,151,26151,1986
26,155,26155,1986
26,157,26157,1986
26,161,26161,1986
51,1,51001,1986
51,113,51113,1986
51,139,51139,1986
51,157,51157,1986
39,7,39007,1987
39,95,39095,1987
51,33,51033,1987
51,73,51073,1987
51,79,51079,1987
51,99,51099,1987
51,101,51101,1987
51,115,51115,1987
51,119,51119,1987
51,131,51131,1987
51,133,51133,1987
51,137,51137,1987
51,159,51159,1987
51,165,51165,1987
51,177,51177,1987
51,193,51193,1987
51,660,51660,1987
24,9,24009,1989
24,17,24017,1989
24,37,24037,1989
24,39,24039,1989
26,1,26001,1989
26,5,26005,1989
26,7,26007,1989
26,9,26009,1989
26,15,26015,1989
26,19,26019,1989
26,27,26027,1989
26,29,26029,1989
26,31,26031,1989
26,39,26039,1989
26,47,26047,1989
26,59,26059,1989
26,79,26079,1989
26,85,26085,1989
26,89,26089,1989
26,101,26101,1989
26,105,26105,1989
26,119,26119,1989
26,127,26127,1989
26,135,26135,1989
26,137,26137,1989
26,149,26149,1989
26,165,26165,1989
39,55,39055,1989
39,85,39085,1989
39,155,39155,1989
51,3,51003,1989
51,15,51015,1989
51,65,51065,1989
51,75,51075,1989
51,85,51085,1989
51,87,51087,1989
51,109,51109,1989
51,145,51145,1989
51,199,51199,1989
54,1,54001,1989
54,31,54031,1989
54,61,54061,1989
54,71,54071,1989
54,77,54077,1989
54,93,54093,1989
37,53,37053,1990
37,55,37055,1990
51,36,51036,1990
51,41,51041,1990
51,57,51057,1990
51,93,51093,1990
51,95,51095,1990
51,97,51097,1990
51,127,51127,1990
51,149,51149,1990
51,181,51181,1990
51,183,51183,1990
51,650,51650,1990
51,700,51700,1990
51,710,51710,1990
51,740,51740,1990
51,810,51810,1990
51,175,51175,1991
51,570,51570,1991
51,620,51620,1991
51,670,51670,1991
51,730,51730,1991
51,760,51760,1991
51,830,51830,1991
51,540,51540,1992
51,630,51630,1992
51,685,51685,1992
26,33,26033,1994
26,95,26095,1994
26,97,26097,1994
26,141,26141,1994
39,19,39019,1994
39,29,39029,1994
39,35,39035,1994
39,81,39081,1994
39,99,39099,1994
39,133,39133,1994
39,151,39151,1994
39,153,39153,1994
51,7,51007,1994
51,9,51009,1994
51,17,51017,1994
51,29,51029,1994
51,49,51049,1994
51,53,51053,1994
51,81,51081,1994
51,91,51091,1994
51,125,51125,1994
51,135,51135,1994
51,147,51147,1994
51,163,51163,1994
51,550,51550,1994
51,595,51595,1994
51,678,51678,1994
51,790,51790,1994
51,800,51800,1994
54,9,54009,1994
54,29,54029,1994
54,49,54049,1994
54,51,54051,1994
54,69,54069,1994
54,75,54075,1994
54,83,54083,1994
54,91,54091,1994
54,103,54103,1994
51,530,51530,1996
54,95,54095,1996
39,13,39013,1998
39,31,39031,1998
39,59,39059,1998
39,67,39067,1998
39,75,39075,1998
39,111,39111,1998
39,123,39123,1998
39,157,39157,1998
51,11,51011,1998
51,25,51025,1998
51,31,51031,1998
51,37,51037,1998
51,83,51083,1998
51,103,51103,1998
51,111,51111,1998
51,117,51117,1998
51,143,51143,1998
51,735,51735,1998
51,820,51820,1998
54,17,54017,1998
54,33,54033,1998
54,41,54041,1998
54,97,54097,1998
54,101,54101,1998
55,9,55009,1998
55,29,55029,1998
55,61,55061,1998
55,71,55071,1998
18,151,18151,1999
39,93,39093,1999
39,103,39103,1999
39,169,39169,1999
55,15,55015,1999
55,59,55059,1999
55,75,55075,1999
55,78,55078,1999
55,79,55079,1999
55,83,55083,1999
55,87,55087,1999
55,89,55089,1999
55,101,55101,1999
55,115,55115,1999
55,117,55117,1999
55,131,55131,1999
55,133,55133,1999
18,3,18003,2000
18,39,18039,2000
18,87,18087,2000
18,127,18127,2000
26,3,26003,2000
26,41,26041,2000
26,43,26043,2000
26,103,26103,2000
26,109,26109,2000
26,153,26153,2000
39,5,39005,2000
39,39,39039,2000
39,43,39043,2000
39,51,39051,2000
39,69,39069,2000
39,89,39089,2000
39,119,39119,2000
39,121,39121,2000
39,143,39143,2000
39,171,39171,2000
39,173,39173,2000
51,5,51005,2000
51,19,51019,2000
51,23,51023,2000
51,515,51515,2000
51,680,51680,2000
51,780,51780,2000
55,27,55027,2000
55,39,55039,2000
55,139,55139,2000
17,97,17097,2002
18,33,18033,2002
18,113,18113,2002
26,13,26013,2002
26,53,26053,2002
26,61,26061,2002
26,71,26071,2002
26,83,26083,2002
26,131,26131,2002
39,45,39045,2002
39,77,39077,2002
39,83,39083,2002
39,115,39115,2002
39,127,39127,2002
39,139,39139,2002
39,167,39167,2002
54,7,54007,2002
54,13,54013,2002
54,21,54021,2002
54,25,54025,2002
54,67,54067,2002
54,73,54073,2002
54,85,54085,2002
54,105,54105,2002
54,107,54107,2002
55,127,55127,2002
55,135,55135,2002
55,137,55137,2002
55,21,55021,2003
55,37,55037,2003
55,41,55041,2003
55,47,55047,2003
55,55,55055,2003
55,67,55067,2003
55,97,55097,2003
55,105,55105,2003
55,141,55141,2003
39,73,39073,2005
55,1,55001,2005
55,25,55025,2005
55,69,55069,2005
55,73,55073,2005
55,77,55077,2005
55,85,55085,2005
55,125,55125,2005
39,41,39041,2007
39,49,39049,2007
39,147,39147,2007
51,45,51045,2007
51,71,51071,2007
51,161,51161,2007
51,770,51770,2007
51,775,51775,2007
54,35,54035,2007
54,63,54063,2007
55,57,55057,2007
55,111,55111,2007
17,111,17111,2010
17,31,17031,2010
17,43,17043,2010
18,141,18141,2010
39,117,39117,2010
51,121,51121,2010
18,91,18091,2012
39,9,39009,2012
39,33,39033,2012
39,101,39101,2012
39,163,39163,2012
51,580,51580,2012
51,21,51021,2012
51,63,51063,2012
51,67,51067,2012
51,155,51155,2012
54,19,54019,2012
55,3,55003,2012
55,51,55051,2012
