STATEFP,COUNTYFP,FIPS,YEAR
51,87,51087,1951
51,67,51067,1971
51,133,51133,1971
51,133,51133,1971
51,143,51143,1971
51,161,51161,1971
51,33,51033,1977
51,85,51085,1977
42,91,42091,1979
51,23,51023,1979
51,63,51063,1979
51,121,51121,1979
42,17,42017,1980
51,19,51019,1980
51,163,51163,1980
42,45,42045,1981
51,9,51009,1981
51,11,51011,1981
51,31,51031,1981
36,47,36047,1984
36,59,36059,1984
36,59,36059,1984
36,81,36081,1984
36,81,36081,1984
36,81,36081,1984
36,103,36103,1984
36,103,36103,1984
36,103,36103,1984
36,103,36103,1984
36,103,36103,1984
36,103,36103,1984
36,103,36103,1984
36,103,36103,1984
9,9,9009,1985
9,1,9001,1986
9,7,9007,1986
24,3,24003,1986
24,5,24005,1986
24,5,24005,1986
24,33,24033,1986
24,510,24510,1986
24,510,24510,1986
42,29,42029,1986
42,71,42071,1986
42,95,42095,1986
44,1,44001,1986
44,3,44003,1986
44,7,44007,1986
44,9,44009,1986
36,119,36119,1987
42,11,42011,1987
42,133,42133,1987
9,3,9003,1988
9,11,9011,1988
9,13,9013,1988
24,35,24035,1988
24,35,24035,1988
24,35,24035,1988
24,35,24035,1988
24,35,24035,1988
34,25,34025,1988
34,27,34027,1988
34,37,34037,1988
34,41,34041,1988
36,71,36071,1988
36,79,36079,1988
42,77,42077,1988
42,89,42089,1988
25,13,25013,1989
36,27,36027,1989
36,87,36087,1989
9,5,9005,1990
9,15,9015,1990
25,17,25017,1990
34,31,34031,1990
24,21,24021,1991
24,25,24025,1991
24,25,24025,1991
24,25,24025,1991
25,21,25021,1991
25,21,25021,1991
34,3,34003,1991
34,5,34005,1991
34,13,34013,1991
34,19,34019,1991
34,21,34021,1991
34,23,34023,1991
34,35,34035,1991
36,5,36005,1991
36,61,36061,1991
36,85,36085,1991
36,105,36105,1991
36,111,36111,1991
42,1,42001,1991
42,25,42025,1991
42,55,42055,1991
42,75,42075,1991
42,101,42101,1991
42,107,42107,1991
51,3,51003,1991
51,5,51005,1991
51,15,51015,1991
51,59,51059,1991
51,79,51079,1991
51,89,51089,1991
51,111,51111,1991
51,113,51113,1991
51,125,51125,1991
51,139,51139,1991
51,141,51141,1991
51,153,51153,1991
51,157,51157,1991
51,165,51165,1991
51,171,51171,1991
51,187,51187,1991
51,620,51620,1991
24,15,24015,1992
25,1,25001,1992
25,1,25001,1992
25,9,25009,1992
25,23,25023,1992
34,1,34001,1992
34,1,34001,1992
34,1,34001,1992
34,1,34001,1992
34,1,34001,1992
34,1,34001,1992
34,7,34007,1992
34,9,34009,1992
34,9,34009,1992
34,9,34009,1992
34,9,34009,1992
34,9,34009,1992
34,9,34009,1992
34,9,34009,1992
34,9,34009,1992
34,11,34011,1992
34,15,34015,1992
34,17,34017,1992
34,29,34029,1992
34,29,34029,1992
34,29,34029,1992
34,29,34029,1992
34,29,34029,1992
34,29,34029,1992
34,29,34029,1992
34,29,34029,1992
34,29,34029,1992
34,29,34029,1992
34,29,34029,1992
34,33,34033,1992
34,39,34039,1992
36,21,36021,1992
42,43,42043,1992
42,103,42103,1992
51,35,51035,1992
51,155,51155,1992
54,23,54023,1992
54,27,54027,1992
54,31,54031,1992
54,71,54071,1992
10,3,10003,1993
10,3,10003,1993
10,3,10003,1993
24,9,24009,1993
25,5,25005,1993
25,5,25005,1993
42,69,42069,1993
44,5,44005,1993
44,5,44005,1993
44,5,44005,1993
44,5,44005,1993
51,13,51013,1993
51,17,51017,1993
51,21,51021,1993
51,41,51041,1993
51,43,51043,1993
51,45,51045,1993
51,57,51057,1993
51,65,51065,1993
51,69,51069,1993
51,71,51071,1993
51,77,51077,1993
51,91,51091,1993
51,101,51101,1993
51,137,51137,1993
51,173,51173,1993
51,177,51177,1993
51,191,51191,1993
51,197,51197,1993
54,57,54057,1993
54,65,54065,1993
54,75,54075,1993
24,13,24013,1994
25,15,25015,1994
24,43,24043,1995
25,27,25027,1995
37,169,37169,1995
37,171,37171,1995
42,9,42009,1995
42,41,42041,1995
37,67,37067,1996
37,157,37157,1996
