STATEFP,COUNTYFP,FIPS,YEAR
1,1,1001,1998
1,7,1007,1998
1,9,1009,1998
1,11,1011,1998
1,15,1015,1998
1,17,1017,1998
1,19,1019,1998
1,21,1021,1998
1,27,1027,1998
1,29,1029,1998
1,37,1037,1998
1,43,1043,1998
1,47,1047,1998
1,49,1049,1980
1,51,1051,1998
1,55,1055,1998
1,57,1057,1998
1,65,1065,1998
1,71,1071,1980
1,73,1073,1998
1,79,1079,1998
1,81,1081,1998
1,83,1083,1998
1,85,1085,1998
1,87,1087,1998
1,89,1089,1998
1,91,1091,1998
1,95,1095,1998
1,101,1101,1998
1,103,1103,1998
1,105,1105,1998
1,111,1111,1998
1,113,1113,1998
1,115,1115,1998
1,117,1117,1998
1,121,1121,1998
1,123,1123,1998
1,125,1125,1998
1,127,1127,1998
1,131,1131,1998
1,133,1133,1998
9,3,9003,1950
9,5,9005,1940
9,13,9013,1950
9,15,9015,1950
10,3,10003,1930
11,1,11001,1940
13,9,13009,1998
13,11,13011,1980
13,13,13013,1980
13,15,13015,1980
13,21,13021,1998
13,33,13033,1998
13,35,13035,1998
13,45,13045,1998
13,47,13047,1980
13,53,13053,1998
13,55,13055,1980
13,57,13057,1980
13,59,13059,1980
13,63,13063,1998
13,67,13067,1998
13,73,13073,1998
13,77,13077,1998
13,79,13079,1998
13,83,13083,1980
13,85,13085,1980
13,89,13089,1998
13,97,13097,1998
13,105,13105,1980
13,111,13111,1980
13,113,13113,1998
13,115,13115,1980
13,117,13117,1980
13,119,13119,1980
13,121,13121,1980
13,123,13123,1980
13,125,13125,1998
13,129,13129,1980
13,133,13133,1998
13,135,13135,1980
13,137,13137,1980
13,139,13139,1980
13,141,13141,1998
13,143,13143,1998
13,145,13145,1998
13,147,13147,1980
13,149,13149,1998
13,151,13151,1998
13,157,13157,1980
13,159,13159,1998
13,163,13163,1998
13,165,13165,1998
13,169,13169,1998
13,171,13171,1998
13,181,13181,1980
13,187,13187,1980
13,189,13189,1998
13,195,13195,1980
13,197,13197,1998
13,199,13199,1998
13,207,13207,1998
13,211,13211,1998
13,213,13213,1980
13,215,13215,1998
13,217,13217,1998
13,219,13219,1998
13,221,13221,1980
13,223,13223,1998
13,225,13225,1998
13,227,13227,1980
13,231,13231,1998
13,233,13233,1998
13,237,13237,1998
13,241,13241,1980
13,245,13245,1998
13,247,13247,1998
13,255,13255,1998
13,257,13257,1980
13,263,13263,1998
13,265,13265,1998
13,269,13269,1998
13,281,13281,1980
13,285,13285,1998
13,289,13289,1998
13,291,13291,1980
13,293,13293,1998
13,295,13295,1980
13,297,13297,1998
13,301,13301,1998
13,303,13303,1998
13,311,13311,1980
13,313,13313,1980
13,317,13317,1980
13,319,13319,1998
17,5,17005,1998
17,7,17007,1998
17,11,17011,1998
17,15,17015,1998
17,17,17017,1998
17,19,17019,1998
17,21,17021,1998
17,23,17023,1998
17,25,17025,1998
17,27,17027,1998
17,29,17029,1998
17,31,17031,1998
17,33,17033,1998
17,35,17035,1998
17,37,17037,1998
17,39,17039,1998
17,41,17041,1998
17,43,17043,1998
17,45,17045,1998
17,47,17047,1998
17,49,17049,1998
17,51,17051,1998
17,53,17053,1998
17,55,17055,1998
17,57,17057,1998
17,59,17059,1998
17,61,17061,1998
17,63,17063,1998
17,65,17065,1998
17,69,17069,1998
17,73,17073,1998
17,75,17075,1998
17,79,17079,1998
17,81,17081,1998
17,83,17083,1998
17,89,17089,1998
17,91,17091,1998
17,93,17093,1998
17,95,17095,1998
17,97,17097,1998
17,99,17099,1998
17,101,17101,1998
17,103,17103,1998
17,105,17105,1998
17,107,17107,1998
17,111,17111,1998
17,113,17113,1998
17,115,17115,1998
17,117,17117,1998
17,119,17119,1998
17,121,17121,1998
17,123,17123,1998
17,125,17125,1998
17,127,17127,1998
17,129,17129,1998
17,135,17135,1998
17,137,17137,1998
17,139,17139,1998
17,141,17141,1998
17,143,17143,1998
17,145,17145,1998
17,147,17147,1998
17,151,17151,1998
17,155,17155,1998
17,159,17159,1998
17,163,17163,1998
17,165,17165,1998
17,167,17167,1998
17,171,17171,1998
17,173,17173,1998
17,175,17175,1998
17,177,17177,1998
17,179,17179,1998
17,183,17183,1998
17,185,17185,1998
17,187,17187,1998
17,189,17189,1998
17,191,17191,1998
17,193,17193,1998
17,195,17195,1998
17,197,17197,1998
17,199,17199,1998
17,201,17201,1998
17,203,17203,1998
18,1,18001,1998
18,3,18003,1998
18,5,18005,1998
18,7,18007,1998
18,9,18009,1998
18,11,18011,1998
18,13,18013,1998
18,15,18015,1998
18,17,18017,1998
18,19,18019,1998
18,21,18021,1998
18,23,18023,1998
18,25,18025,1998
18,27,18027,1998
18,29,18029,1998
18,31,18031,1998
18,33,18033,1998
18,35,18035,1998
18,37,18037,1998
18,39,18039,1998
18,41,18041,1998
18,43,18043,1998
18,45,18045,1998
18,47,18047,1998
18,49,18049,1998
18,51,18051,1998
18,53,18053,1998
18,55,18055,1998
18,57,18057,1998
18,59,18059,1998
