STATEFP,COUNTYFP,FIPS,YEAR
1,1,1001,1920
1,3,1003,1936
1,5,1005,1920
1,7,1007,1920
1,9,1009,1920
1,11,1011,1920
1,13,1013,1936
1,15,1015,1920
1,17,1017,1920
1,19,1019,1920
1,21,1021,1920
1,23,1023,1936
1,25,1025,1936
1,27,1027,1920
1,29,1029,1920
1,31,1031,1936
1,33,1033,1920
1,35,1035,1936
1,37,1037,1920
1,39,1039,1936
1,41,1041,1936
1,43,1043,1920
1,45,1045,1936
1,47,1047,1920
1,49,1049,1920
1,51,1051,1920
1,53,1053,1936
1,55,1055,1920
1,57,1057,1920
1,59,1059,1920
1,61,1061,1936
1,63,1063,1920
1,65,1065,1920
1,67,1067,1936
1,69,1069,1936
1,71,1071,1920
1,73,1073,1920
1,75,1075,1920
1,77,1077,1920
1,79,1079,1920
1,81,1081,1920
1,83,1083,1920
1,85,1085,1926
1,87,1087,1920
1,89,1089,1920
1,91,1091,1926
1,93,1093,1920
1,95,1095,1920
1,97,1097,1936
1,99,1099,1936
1,101,1101,1926
1,103,1103,1920
1,105,1105,1920
1,107,1107,1920
1,109,1109,1926
1,111,1111,1920
1,113,1113,1920
1,115,1115,1920
1,117,1117,1920
1,119,1119,1926
1,121,1121,1920
1,123,1123,1920
1,125,1125,1920
1,127,1127,1920
1,129,1129,1936
1,131,1131,1926
1,133,1133,1920
5,1,5001,1936
5,7,5007,1947
5,15,5015,1947
5,17,5017,1936
5,21,5021,1936
5,23,5023,1947
5,31,5031,1936
5,35,5035,1936
5,37,5037,1936
5,41,5041,1936
5,45,5045,1947
5,53,5053,1947
5,55,5055,1936
5,63,5063,1947
5,67,5067,1947
5,69,5069,1947
5,75,5075,1936
5,77,5077,1936
5,85,5085,1947
5,93,5093,1936
5,95,5095,1936
5,107,5107,1936
5,111,5111,1936
5,119,5119,1947
5,121,5121,1936
5,123,5123,1936
5,125,5125,1947
5,143,5143,1947
5,145,5145,1947
5,147,5147,1947
9,1,9001,1926
9,3,9003,1926
9,5,9005,1926
9,7,9007,1926
9,9,9009,1926
9,11,9011,1926
9,13,9013,1926
9,15,9015,1926
10,1,10001,1926
10,3,10003,1926
10,5,10005,1926
11,1,11001,1926
12,1,12001,1947
12,3,12003,1936
12,5,12005,1936
12,7,12007,1936
12,13,12013,1936
12,17,12017,1947
12,19,12019,1947
12,23,12023,1936
12,29,12029,1947
12,31,12031,1947
12,33,12033,1936
12,35,12035,1947
12,37,12037,1936
12,39,12039,1936
12,41,12041,1947
12,45,12045,1936
12,47,12047,1936
12,59,12059,1936
12,63,12063,1936
12,65,12065,1936
12,67,12067,1936
12,69,12069,1947
12,73,12073,1936
12,75,12075,1947
12,77,12077,1936
12,79,12079,1936
12,83,12083,1947
12,89,12089,1936
12,91,12091,1936
12,107,12107,1947
12,109,12109,1947
12,113,12113,1936
12,119,12119,1947
12,121,12121,1936
12,123,12123,1936
12,125,12125,1936
12,127,12127,1947
12,129,12129,1936
12,131,12131,1936
12,133,12133,1936
13,1,13001,1936
13,3,13003,1936
13,5,13005,1936
13,7,13007,1936
13,9,13009,1920
13,11,13011,1920
13,13,13013,1920
13,15,13015,1920
13,17,13017,1936
